Date,Opp,Tm_Score,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Opp_eFG%.1,Opp_TOV%,DRB%,Opp_FT/FGA
2022-11-24,Butler,70,97.19999999999999,95.38000000000001,75.2,0.3498,0.4434,0.524,55.32000000000001,49.48,7.659999999999999,14.460000000000003,0.499,20.9,34.6,0.22460000000000005,0.46880000000000005,14.059999999999999,76.6,0.24020000000000002
2022-11-25,Dayton,79,101.05999999999999,101.67999999999999,74.22,0.3302,0.449,0.5302,56.17999999999999,52.02,7.6,13.360000000000003,0.5074,18.82,36.9,0.21339999999999998,0.49560000000000004,12.419999999999998,76.2,0.2454
2022-11-29,Westminster (UT),100,103.94000000000001,101.72,71.14,0.3294,0.4508,0.5344,57.08,57.739999999999995,8.540000000000001,14.440000000000001,0.512,17.020000000000003,38.239999999999995,0.21280000000000002,0.5076,13.2,76.47999999999999,0.2274
2022-12-03,South Dakota,68,109.96,100.43999999999998,73.38000000000001,0.31779999999999997,0.48100000000000004,0.5644,56.3,62.17999999999999,11.86,10.899999999999999,0.5466,16.02,37.88,0.2064,0.5234,16.92,77.44,0.2658
2022-12-07,Utah Valley,60,105.84,100.11999999999999,72.84,0.30619999999999997,0.4828,0.5428,53.28000000000001,62.85999999999999,14.26,9.499999999999998,0.5174000000000001,15.220000000000002,32.3,0.20740000000000003,0.5418,19.520000000000003,78.1,0.308
2022-12-10,Creighton,83,102.7,99.7,71.76,0.31379999999999997,0.46719999999999995,0.5229999999999999,53.1,58.06,14.959999999999999,9.24,0.491,14.540000000000001,32.28,0.2172,0.5596,21.64,78.3,0.3156
2022-12-15,Western Oregon,97,103.02000000000001,97.9,74.0,0.3376,0.479,0.5351999999999999,53.7,61.339999999999996,13.8,10.780000000000001,0.5030000000000001,15.48,31.6,0.23220000000000002,0.5342,20.82,78.6,0.35039999999999993
2022-12-17,Utah,75,106.26000000000002,93.78,76.61999999999999,0.3508,0.489,0.5452,55.660000000000004,64.96000000000001,13.9,12.02,0.5138,15.220000000000002,31.7,0.2412,0.536,22.860000000000003,83.56,0.32539999999999997
2022-12-20,Lindenwood,90,98.92,92.05999999999999,77.11999999999999,0.364,0.44580000000000003,0.5158,55.8,62.580000000000005,11.48,13.5,0.47459999999999997,15.9,29.8,0.2592,0.5182,20.9,85.14000000000001,0.3048
2022-12-22,Weber State,63,105.67999999999999,90.62,76.44,0.3204,0.4264,0.554,58.919999999999995,62.959999999999994,9.959999999999999,15.419999999999998,0.5244,16.26,32.6,0.2224,0.5034,18.68,85.47999999999999,0.24359999999999998
2022-12-29,Pacific,69,107.08000000000001,85.9,76.05999999999999,0.31520000000000004,0.426,0.5668,61.379999999999995,66.96,8.559999999999999,19.119999999999997,0.5342,16.7,31.859999999999996,0.2306,0.46580000000000005,16.779999999999998,90.35999999999999,0.20800000000000002
2022-12-31,Portland,71,106.76000000000002,80.66,73.60000000000001,0.312,0.4506,0.575,60.879999999999995,64.78,8.639999999999999,17.3,0.54,17.580000000000002,30.22,0.23659999999999998,0.4474,17.2,89.29999999999998,0.153
2023-01-05,Loyola Marymount,59,102.46,81.05999999999999,71.92,0.32480000000000003,0.4598,0.5738000000000001,59.92,60.8,6.619999999999999,14.16,0.5344,20.06,27.7,0.2526,0.43500000000000005,15.039999999999997,87.78,0.1826
2023-01-07,San Diego,68,99.64,81.89999999999999,70.74000000000001,0.2804,0.4248,0.56,58.779999999999994,57.739999999999995,7.0200000000000005,14.560000000000002,0.5266,20.3,26.059999999999995,0.21760000000000002,0.441,15.080000000000002,86.22,0.1928
2023-01-12,Gonzaga,74,95.28,79.5,69.52,0.3236,0.3986,0.5474,56.21999999999999,58.17999999999999,7.459999999999999,12.8,0.5048,20.18,21.42,0.25880000000000003,0.41580000000000006,15.960000000000003,84.78,0.21480000000000002
2023-01-14,Pepperdine,91,96.22,82.47999999999999,71.2,0.281,0.38899999999999996,0.563,51.44000000000001,59.04,9.459999999999999,8.46,0.5353999999999999,20.740000000000002,17.84,0.21059999999999998,0.42379999999999995,16.8,77.2,0.201
2023-01-19,Santa Clara,76,101.03999999999999,90.28,72.02000000000001,0.32780000000000004,0.37,0.5742,52.02,59.64000000000001,9.34,9.5,0.5453999999999999,19.18,20.2,0.24459999999999998,0.4622,16.42,77.7,0.21939999999999998
