Date,Opp,Tm_Score,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Opp_eFG%.1,Opp_TOV%,DRB%,Opp_FT/FGA
2022-11-23,Evansville,76,97.58,80.43999999999998,66.56,0.209,0.3882,0.5004,53.68000000000001,51.44,8.879999999999999,10.86,0.47359999999999997,16.860000000000003,36.9,0.1514,0.4046,20.26,69.96000000000001,0.1798
2022-11-27,Miami (FL),64,97.38,73.93999999999998,66.7,0.2412,0.38380000000000003,0.5182,54.4,56.5,8.819999999999999,11.4,0.48900000000000005,18.5,34.1,0.178,0.364,19.36,71.08,0.14479999999999998
2022-12-04,Samford,80,97.66,78.9,65.67999999999999,0.2546,0.40040000000000003,0.5266,50.58,53.54,10.16,11.459999999999999,0.4968,18.38,31.580000000000002,0.18819999999999998,0.3822,19.78,65.64,0.16019999999999998
2022-12-11,Tarleton State,75,96.5,87.42,66.62,0.34859999999999997,0.4226,0.5317999999999999,50.440000000000005,57.620000000000005,9.780000000000001,9.120000000000001,0.49540000000000006,19.32,30.1,0.2522,0.4128,17.939999999999998,67.98,0.223
2022-12-14,Ole Miss,72,104.88000000000002,88.34,65.7,0.363,0.4298,0.5704,51.879999999999995,55.81999999999999,10.18,10.059999999999999,0.5452,18.3,30.279999999999994,0.24939999999999998,0.43740000000000007,18.36,71.0,0.1984
2022-12-17,Missouri,66,109.55999999999999,91.78,65.72,0.3734,0.3814,0.5742,54.46,50.959999999999994,11.12,11.079999999999998,0.5438,17.119999999999997,34.959999999999994,0.2656,0.4628,17.76,72.34,0.21259999999999998
2022-12-21,Stetson,73,109.12,97.58,64.08000000000001,0.3618,0.41200000000000003,0.5602,53.8,54.879999999999995,12.32,10.7,0.5342,16.119999999999997,36.61999999999999,0.2464,0.512,19.220000000000002,72.74,0.2292
2022-12-28,Wichita State,52,114.3,96.96,62.82000000000001,0.3242,0.42119999999999996,0.5698000000000001,54.84000000000001,62.839999999999996,11.540000000000001,12.68,0.546,14.16,36.8,0.2246,0.4962000000000001,17.22,74.53999999999999,0.2096
2022-12-31,Houston,65,112.14000000000001,93.06,60.220000000000006,0.2384,0.41319999999999996,0.5474,55.42,65.91999999999999,12.6,16.380000000000003,0.5236,13.719999999999999,38.699999999999996,0.175,0.49400000000000005,18.919999999999998,74.34,0.1782
2023-01-04,East Carolina,64,106.94000000000001,98.2,61.28000000000001,0.2404,0.42119999999999996,0.5218,54.42,62.959999999999994,12.1,15.120000000000001,0.4864,13.719999999999999,39.92,0.19,0.4918,16.34,70.84,0.187
2023-01-08,SMU,85,103.84,97.62,61.5,0.2666,0.42279999999999995,0.5257999999999999,54.14,61.67999999999999,10.2,14.1,0.4856,14.780000000000001,36.9,0.2138,0.476,14.919999999999998,71.74,0.198
2023-01-11,Memphis,107,109.44000000000001,92.60000000000001,61.779999999999994,0.2792,0.403,0.542,56.96,56.879999999999995,8.58,14.1,0.4988,14.02,39.48,0.23180000000000006,0.44560000000000005,14.66,73.44,0.1988
2023-01-14,Tulane,69,108.3,95.98000000000002,64.44,0.3598,0.43100000000000005,0.5511999999999999,55.86,56.17999999999999,7.76,13.34,0.496,15.319999999999999,37.62,0.30399999999999994,0.46420000000000006,15.14,74.1,0.27
2023-01-21,South Florida,72,106.44000000000001,98.64000000000001,69.6,0.35719999999999996,0.445,0.5548,55.94,55.839999999999996,6.58,11.42,0.5016,16.8,36.08,0.2994,0.46959999999999996,14.36,76.08,0.3042
2023-01-25,Houston,71,106.5,100.42,71.1,0.3742,0.425,0.5599999999999999,54.3,55.96,6.94,12.3,0.511,16.22,32.08,0.30179999999999996,0.4918,15.88,76.91999999999999,0.31660000000000005
2023-01-28,Temple,70,110.0,108.4,70.36,0.3752,0.453,0.567,51.379999999999995,59.04,7.959999999999999,15.62,0.5187999999999999,14.4,31.140000000000004,0.3034,0.5286000000000001,16.139999999999997,73.52,0.31660000000000005
