Date,Opp,Tm_Score,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Opp_eFG%.1,Opp_TOV%,DRB%,Opp_FT/FGA
2022-11-23,Chicago State,77,94.14000000000001,99.17999999999999,66.88,0.2768,0.2584,0.4986,49.040000000000006,51.239999999999995,11.88,8.1,0.47640000000000005,16.98,30.639999999999997,0.179,0.46399999999999997,16.82,66.97999999999999,0.2878
2022-11-26,Western Michigan,71,101.66,100.97999999999999,63.96,0.2868,0.2612,0.5147999999999999,47.519999999999996,46.48,11.220000000000002,10.38,0.49000000000000005,14.959999999999999,32.0,0.19419999999999998,0.4716,16.92,62.31999999999999,0.2486
2022-12-01,Oakland,80,106.44000000000001,95.22,63.48,0.27440000000000003,0.3012,0.5436,49.38000000000001,49.339999999999996,11.3,9.56,0.5202,15.86,32.779999999999994,0.18839999999999998,0.4688,19.02,64.4,0.2202
2022-12-03,Detroit Mercy,92,108.08,88.72,64.34,0.2298,0.3016,0.5349999999999999,52.7,48.76,10.879999999999999,9.24,0.5104,14.559999999999999,36.279999999999994,0.1668,0.4244,18.04,67.06,0.21760000000000002
2022-12-07,St. Bonaventure,42,117.05999999999999,93.82000000000001,66.2,0.2778,0.3468,0.5599999999999999,51.04,50.62,8.84,8.2,0.5279999999999999,12.179999999999998,36.61999999999999,0.21259999999999998,0.43759999999999993,16.76,63.54,0.2244
2022-12-10,Kent State,58,111.17999999999999,96.67999999999999,64.78,0.2884,0.313,0.5241999999999999,48.48,46.8,8.7,8.379999999999999,0.4968,11.280000000000001,35.16,0.19319999999999998,0.4478,16.26,60.32000000000001,0.1848
2022-12-18,Loyola Marymount,59,102.83999999999999,95.67999999999999,66.1,0.33199999999999996,0.31699999999999995,0.5056,49.339999999999996,51.260000000000005,8.2,6.08,0.466,12.979999999999999,31.72,0.23099999999999996,0.4438,15.14,65.84,0.1902
2022-12-21,Mt. St. Joseph,78,98.67999999999998,102.1,66.32000000000001,0.372,0.3074,0.4704,48.06,46.58,7.5200000000000005,6.540000000000001,0.42680000000000007,11.440000000000001,32.08,0.25179999999999997,0.46299999999999997,13.319999999999999,63.56,0.1854
2022-12-29,Youngstown State,71,103.02000000000001,100.41999999999999,64.0,0.3484,0.363,0.492,47.44,49.3,7.9,10.059999999999999,0.4506,11.100000000000001,30.26,0.23820000000000002,0.47300000000000003,14.84,64.12,0.13699999999999998
2022-12-31,Robert Morris,63,99.3,105.2,62.620000000000005,0.3304,0.3366,0.4838,48.68,51.720000000000006,7.76,9.52,0.4478,12.22,30.52,0.21480000000000002,0.5088,14.459999999999999,67.56000000000002,0.1564
2023-01-05,Milwaukee,64,104.85999999999999,101.88000000000001,63.52,0.30479999999999996,0.3252,0.5164,49.7,51.14,9.8,9.38,0.479,11.18,28.639999999999997,0.21900000000000003,0.5172000000000001,16.740000000000002,72.41999999999999,0.1678
