Date,Opp,Tm_Score,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Opp_eFG%.1,Opp_TOV%,DRB%,Opp_FT/FGA
2022-11-24,NC State,64,90.54,78.8,66.22,0.35119999999999996,0.4716,0.4917999999999999,55.620000000000005,58.4,8.180000000000001,12.32,0.4558,19.0,29.139999999999997,0.2446,0.3806,14.7,77.94,0.15419999999999998
2022-11-25,BYU,75,87.56000000000002,87.42,66.38000000000001,0.294,0.4386,0.4856,51.720000000000006,52.56,9.040000000000001,8.9,0.45360000000000006,20.54,29.7,0.20400000000000001,0.4166,15.26,71.26,0.1816
2022-11-30,Western Michigan,67,86.34,90.82000000000001,65.78,0.2838,0.41479999999999995,0.4854,50.0,56.46,9.26,11.18,0.4554,20.52,28.26,0.19460000000000002,0.4508000000000001,15.979999999999999,70.46000000000001,0.1768
2022-12-03,Southeastern Louisiana,80,93.38,88.84,64.25999999999999,0.3566,0.3694,0.4976,51.379999999999995,60.08,8.559999999999999,14.12,0.4666,17.240000000000002,30.359999999999996,0.24,0.4302,14.719999999999999,70.3,0.1598
2022-12-07,Virginia Tech,49,98.5,94.97999999999999,64.92,0.4798,0.3595999999999999,0.5356,52.58,57.879999999999995,6.959999999999999,14.780000000000001,0.5028,17.58,29.82,0.3294,0.46020000000000005,13.66,72.34,0.1932
2022-12-10,UNC Asheville,79,100.2,104.72,65.46000000000001,0.5024,0.30779999999999996,0.5342,53.220000000000006,58.160000000000004,6.0200000000000005,14.0,0.49980000000000013,16.419999999999998,31.939999999999998,0.3402,0.5152000000000001,12.34,74.6,0.1816
2022-12-17,Wyoming,66,104.28,98.6,65.67999999999999,0.4868,0.3144,0.5518,57.739999999999995,60.660000000000004,5.9799999999999995,16.56,0.5186,16.839999999999996,35.8,0.33340000000000003,0.48339999999999994,11.819999999999999,78.32000000000001,0.16199999999999998
2022-12-20,Alcorn State,88,105.38000000000002,93.02000000000001,64.9,0.454,0.31659999999999994,0.5746,60.339999999999996,60.08,5.859999999999999,15.940000000000003,0.5516,18.22,33.6,0.30260000000000004,0.454,11.559999999999999,82.52,0.1444
2022-12-28,Duquesne,69,109.3,91.1,66.26,0.3996,0.31039999999999995,0.5822,60.58,60.6,5.1,16.4,0.5609999999999999,17.72,36.120000000000005,0.2726,0.4412,10.419999999999998,81.3,0.12799999999999997
2022-12-31,Davidson,69,105.42,85.54,66.6,0.2686,0.30379999999999996,0.5568,60.64,58.52,5.9399999999999995,14.679999999999998,0.5368,18.759999999999998,38.14,0.18259999999999998,0.4284,11.760000000000002,80.91999999999999,0.088
2023-01-04,St. Joseph's,76,113.05999999999999,80.29999999999998,65.53999999999999,0.3396,0.3092,0.5974,61.8,60.260000000000005,5.96,14.62,0.5740000000000001,17.82,36.92,0.2386,0.3966,11.24,80.28,0.10059999999999998
2023-01-10,Fordham,82,114.28,81.84,64.29999999999998,0.356,0.3426,0.6095999999999999,60.60000000000001,62.75999999999999,5.200000000000001,16.060000000000002,0.588,16.72,35.04,0.2484,0.38999999999999996,10.72,78.74,0.10539999999999998
2023-01-13,VCU,62,115.74000000000001,82.11999999999999,66.25999999999999,0.4048,0.3336,0.6260000000000001,58.75999999999999,58.48,6.4799999999999995,13.959999999999999,0.599,16.839999999999996,32.22,0.2972,0.39239999999999997,11.860000000000001,75.16,0.1066
2023-01-17,Davidson,68,107.97999999999999,87.18,66.33999999999999,0.38900000000000007,0.3086,0.615,57.32000000000001,53.08,7.659999999999999,12.02,0.5936,19.279999999999998,27.8,0.273,0.43360000000000004,13.5,76.53999999999999,0.099
2023-01-21,George Washington,69,109.23999999999998,89.72,65.42,0.44000000000000006,0.3016,0.6298,55.36,55.96,8.1,15.3,0.607,18.48,24.28,0.3082000000000001,0.4244,12.52,73.22,0.1044
2023-01-25,Rhode Island,70,106.42,93.38000000000001,67.24000000000001,0.35419999999999996,0.3268,0.6108,52.620000000000005,56.44,9.18,15.8,0.5884,17.919999999999998,22.96,0.25759999999999994,0.4514,14.6,73.86,0.1552
2023-01-28,Richmond,86,104.52000000000001,99.4,67.4,0.36219999999999997,0.3106,0.591,49.739999999999995,52.98,9.5,13.940000000000001,0.5672,17.48,20.78,0.2592,0.48500000000000004,15.539999999999997,72.82000000000001,0.21280000000000002
2023-01-31,Loyola (IL),85,107.48000000000002,101.24000000000001,66.5,0.2734,0.3384,0.5833999999999999,51.059999999999995,57.339999999999996,8.760000000000002,12.940000000000001,0.5616,15.080000000000002,23.080000000000002,0.19259999999999997,0.49420000000000003,14.459999999999999,76.5,0.2104
2023-02-04,St. Bonaventure,59,113.26000000000002,105.58000000000001,65.5,0.31739999999999996,0.4006,0.5963999999999999,50.059999999999995,63.67999999999999,8.68,13.66,0.5702,12.059999999999999,21.78,0.23199999999999998,0.5146,14.64,76.0,0.23420000000000002
2023-02-07,VCU,62,111.04,108.46,64.92,0.29999999999999993,0.4112,0.5638,50.38,61.9,8.120000000000001,10.08,0.5342,10.679999999999998,23.979999999999997,0.219,0.5314,13.86,76.86,0.2716
2023-02-10,Saint Louis,70,110.97999999999999,105.17999999999999,63.42,0.33019999999999994,0.41459999999999997,0.576,51.64,64.62,8.6,10.620000000000001,0.5526,13.479999999999999,26.360000000000003,0.2242,0.5094,13.319999999999999,73.14,0.225
2023-02-17,Loyola (IL),65,111.72,99.74,62.879999999999995,0.374,0.44480000000000003,0.5804,54.220000000000006,66.72,7.68,9.0,0.5544,13.320000000000002,26.179999999999996,0.25579999999999997,0.4903999999999999,12.680000000000001,76.6,0.1746
2023-02-22,UMass,72,105.35999999999999,96.4,62.9,0.4144,0.42400000000000004,0.5522,55.04,64.82000000000001,7.9799999999999995,8.16,0.5216000000000001,14.9,28.3,0.2848,0.4664,12.88,75.92,0.1884
2023-02-25,George Mason,69,104.3,90.67999999999999,62.79999999999999,0.34859999999999997,0.39180000000000004,0.5502,54.879999999999995,65.06,7.919999999999999,7.220000000000001,0.5238,15.179999999999998,26.540000000000003,0.2374,0.421,11.66,77.02000000000001,0.2122
2023-02-28,La Salle,77,108.63999999999999,93.81999999999998,62.36,0.42279999999999995,0.38039999999999996,0.5888,53.879999999999995,65.42,6.299999999999999,7.140000000000001,0.5706,16.16,23.759999999999998,0.2782,0.4478,12.18,79.48,0.2412
2023-03-03,Saint Louis,61,114.91999999999999,93.36,61.64,0.396,0.3832,0.6142000000000001,52.279999999999994,65.12,6.08,5.659999999999999,0.6006,14.26,22.48,0.2606,0.43740000000000007,12.68,77.44,0.2404
2023-03-09,St. Joseph's,60,111.96,96.32000000000001,61.67999999999999,0.3076,0.3614,0.5828,49.440000000000005,64.82000000000001,6.4,6.140000000000001,0.5716,12.680000000000001,22.34,0.202,0.4474,12.559999999999999,73.9,0.2294
2023-03-11,Fordham,78,111.94000000000001,99.17999999999999,60.61999999999999,0.318,0.378,0.5650000000000001,48.14,68.02000000000001,7.540000000000001,10.319999999999999,0.5518,12.2,25.160000000000004,0.20600000000000002,0.4622,13.160000000000002,70.75999999999999,0.2232
2023-03-12,VCU,56,114.72,104.41999999999999,60.260000000000005,0.344,0.38980000000000004,0.5814,49.5,67.03999999999999,7.26,11.180000000000001,0.5682,12.820000000000002,28.619999999999997,0.2266,0.49260000000000004,13.12,69.2,0.19780000000000003
