Date,Opp,Tm_Score,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Opp_eFG%.1,Opp_TOV%,DRB%,Opp_FT/FGA
2022-11-24,Siena,63,97.9,106.25999999999999,71.24,0.3992,0.304,0.5256000000000001,45.6,51.42,7.499999999999998,12.1,0.49400000000000005,16.04,25.28,0.2722,0.48900000000000005,13.180000000000001,63.839999999999996,0.22479999999999997
2022-11-25,Stanford,60,92.5,102.72,72.94,0.3986,0.31120000000000003,0.5168,44.66,54.04,9.879999999999999,12.559999999999999,0.47240000000000004,17.880000000000003,22.56,0.29379999999999995,0.49219999999999997,15.440000000000001,66.12,0.25420000000000004
2022-11-27,Nebraska,58,93.74000000000001,102.72,73.34,0.44860000000000005,0.32680000000000003,0.532,46.04,55.519999999999996,9.8,13.940000000000001,0.48319999999999996,18.48,20.720000000000002,0.3296,0.49079999999999996,14.38,69.74000000000001,0.25980000000000003
2022-11-30,Purdue,69,90.92,102.78000000000002,72.68,0.34940000000000004,0.3116,0.4992,45.220000000000006,56.3,10.440000000000001,15.66,0.4548,18.119999999999997,23.9,0.2556,0.49820000000000003,15.440000000000001,67.67999999999999,0.22879999999999998
2022-12-03,Virginia,57,92.16,104.4,72.03999999999999,0.34259999999999996,0.3258,0.4958,44.92,60.3,10.78,15.5,0.4544,16.3,23.54,0.246,0.515,15.180000000000001,68.74,0.22400000000000003
2022-12-10,Louisville,75,85.96,102.32000000000001,71.4,0.2874,0.33199999999999996,0.46659999999999996,43.019999999999996,59.580000000000005,11.14,12.64,0.4244,17.5,22.360000000000003,0.2142,0.5014000000000001,16.62,66.82,0.276
2022-12-13,USC Upstate,80,90.36000000000001,95.84,70.54,0.248,0.3386,0.48019999999999996,45.14,55.86,9.580000000000002,14.760000000000002,0.446,15.74,22.86,0.184,0.46620000000000006,16.419999999999998,67.72,0.2246
2022-12-17,St. John's (NY),79,95.38000000000002,93.38,71.04,0.2524,0.3104,0.49000000000000005,48.58,52.760000000000005,8.120000000000001,13.52,0.45280000000000004,14.719999999999999,28.4,0.196,0.4518,16.639999999999997,68.88000000000001,0.23479999999999998
2022-12-21,Notre Dame,73,100.32000000000002,97.34,71.58,0.2682,0.3058,0.5218,46.9,50.58,7.5,11.1,0.4838,14.139999999999997,25.320000000000004,0.21459999999999999,0.46020000000000005,15.839999999999998,67.91999999999999,0.2862
2022-12-31,Duke,67,105.22,99.2,69.34,0.275,0.31639999999999996,0.5414,48.96,53.7,7.220000000000001,9.02,0.5044000000000001,13.62,26.3,0.2204,0.4766,15.26,70.72,0.233
2023-01-07,Georgia Tech,75,107.94000000000001,106.1,69.55999999999999,0.35300000000000004,0.3214,0.5672,48.720000000000006,52.760000000000005,8.08,7.779999999999999,0.5232,13.439999999999998,23.619999999999997,0.27799999999999997,0.5172,14.459999999999999,71.35999999999999,0.2102
2023-01-11,Wake Forest,75,108.9,110.05999999999999,68.94,0.3276,0.34219999999999995,0.5751999999999999,47.839999999999996,58.82000000000001,8.16,3.66,0.5364,13.579999999999998,23.1,0.2556,0.5276,13.76,70.38,0.2278
2023-01-14,Virginia,58,108.1,118.16,68.5,0.3,0.3648,0.5828,48.7,59.879999999999995,8.5,5.12,0.5517999999999998,14.16,20.720000000000002,0.22699999999999995,0.59,13.7,74.82000000000001,0.23620000000000002
2023-01-17,Notre Dame,84,106.06000000000002,115.32000000000001,65.7,0.2862,0.36979999999999996,0.5603999999999999,50.84,58.7,7.220000000000001,7.840000000000001,0.5264,13.079999999999998,21.660000000000004,0.21939999999999998,0.5810000000000001,12.6,78.53999999999999,0.1824
2023-01-21,Pitt,71,106.17999999999999,112.1,67.34,0.34640000000000004,0.36060000000000003,0.5716,52.660000000000004,57.96,5.6,10.700000000000001,0.5344,14.440000000000001,22.32,0.264,0.5538000000000001,11.520000000000001,77.84,0.18680000000000002
2023-01-24,Miami (FL),63,108.02000000000001,106.12,66.94000000000001,0.3014,0.381,0.5890000000000001,52.9,57.879999999999995,5.0600000000000005,12.52,0.5630000000000001,15.160000000000002,21.080000000000002,0.223,0.531,12.260000000000002,79.97999999999999,0.16799999999999998
2023-01-28,Clemson,81,103.14000000000001,110.9,68.0,0.3164,0.36879999999999996,0.5642,50.54,51.78000000000001,6.62,16.16,0.5356,15.24,20.7,0.23199999999999998,0.5674,13.02,78.32,0.18359999999999999
2023-02-01,NC State,66,103.05999999999999,106.84,69.16,0.3292,0.3878,0.5538,47.440000000000005,53.3,6.74,14.26,0.5214,14.559999999999999,20.16,0.24380000000000002,0.5436,14.1,74.8,0.20739999999999997
2023-02-04,Louisville,81,102.9,111.74000000000001,71.0,0.34299999999999997,0.3532,0.5622,45.18000000000001,52.64000000000001,7.5600000000000005,12.8,0.5346,15.38,19.64,0.24300000000000002,0.5485999999999999,14.24,70.20000000000002,0.25460000000000005
2023-02-08,Syracuse,67,102.72,114.34,70.67999999999999,0.2948,0.3594,0.5504,43.36,54.92,9.580000000000002,13.5,0.5292,14.12,20.3,0.1982,0.5672,15.780000000000001,69.28,0.257
2023-02-11,Pitt,75,98.97999999999999,115.18000000000002,72.47999999999999,0.2574,0.3822,0.5184,43.120000000000005,60.68000000000001,9.94,12.38,0.4978000000000001,13.5,22.740000000000002,0.17139999999999997,0.569,15.580000000000002,67.56000000000002,0.26139999999999997
2023-02-15,Clemson,54,102.6,114.67999999999999,72.36,0.2976,0.38360000000000005,0.5339999999999999,45.019999999999996,60.239999999999995,8.0,10.46,0.5036,13.680000000000001,24.759999999999998,0.2138,0.5332,13.26,66.96000000000001,0.2718
2023-02-18,Boston College,69,97.91999999999999,121.85999999999999,70.22,0.2656,0.3684,0.5229999999999999,43.559999999999995,58.85999999999999,8.6,10.720000000000002,0.49960000000000004,15.02,22.759999999999998,0.1808,0.5614,11.42,66.52,0.23020000000000002
2023-02-25,Miami (FL),85,97.7,115.28,71.14,0.3142,0.389,0.5092000000000001,44.82,52.54,11.520000000000001,10.620000000000001,0.4640000000000001,14.34,24.7,0.24159999999999998,0.5576,15.059999999999999,69.17999999999999,0.3144
2023-02-27,UNC,66,96.88,115.08,72.3,0.2974,0.3782,0.5172,44.82,50.779999999999994,12.16,9.16,0.4702,15.3,22.82,0.23759999999999998,0.5668,15.440000000000001,70.0,0.30720000000000003
2023-03-04,Virginia Tech,60,97.64,116.54,71.56,0.3436,0.3238,0.517,44.48,40.220000000000006,11.12,8.86,0.4676,14.460000000000003,22.080000000000002,0.263,0.58,16.1,70.84,0.3262
2023-03-07,Georgia Tech,60,94.7,118.0,70.38,0.269,0.33399999999999996,0.5104,43.3,39.12,11.82,9.860000000000001,0.476,15.320000000000002,19.619999999999997,0.19519999999999998,0.6152,17.06,72.03999999999999,0.29719999999999996
