Date,Opp,Tm_Score,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Opp_eFG%.1,Opp_TOV%,DRB%,Opp_FT/FGA
2022-11-26,New Hampshire,75,110.24000000000001,101.72,70.44000000000001,0.41459999999999997,0.433,0.6034,54.38000000000001,52.42,7.94,11.86,0.5731999999999999,18.019999999999996,28.880000000000003,0.29779999999999995,0.496,12.62,72.84,0.18979999999999997
2022-11-30,South Carolina,79,111.46,103.46000000000001,68.22,0.39139999999999997,0.4154,0.613,55.11999999999999,51.760000000000005,7.279999999999999,12.74,0.5718,17.240000000000002,28.060000000000002,0.3102,0.5012000000000001,10.66,73.2,0.14420000000000002
2022-12-04,Radford,76,111.1,98.76000000000002,67.47999999999999,0.3068,0.4212000000000001,0.6016,52.96,52.42,8.239999999999998,11.959999999999999,0.5671999999999999,16.96,28.26,0.24020000000000002,0.4766,11.86,70.22,0.1284
2022-12-10,American,64,108.4,97.32000000000002,68.38,0.326,0.4184,0.5772000000000002,50.74,50.6,8.7,10.219999999999999,0.5472,15.88,28.48,0.2358,0.4734,12.54,69.76000000000002,0.16140000000000002
2022-12-13,Coppin State,83,108.9,100.68,67.0,0.28900000000000003,0.4572,0.5690000000000001,49.660000000000004,51.42,9.819999999999999,12.02,0.5382,14.14,26.82,0.21580000000000005,0.5074,13.7,71.08,0.1776
2022-12-22,Washington State,64,112.05999999999999,98.88,67.46,0.2986,0.471,0.5784,52.279999999999994,51.379999999999995,8.6,10.54,0.5428,14.120000000000001,28.68,0.233,0.5045999999999999,13.080000000000002,75.32000000000001,0.1544
2022-12-23,Pepperdine,70,107.25999999999999,101.46,68.1,0.2768,0.4556,0.5589999999999999,48.65999999999999,49.52,8.86,7.1800000000000015,0.533,13.84,24.979999999999997,0.19680000000000003,0.5264,15.320000000000002,73.76,0.181
2022-12-25,Seattle,67,102.1,106.36000000000001,69.97999999999999,0.29779999999999995,0.39940000000000003,0.5348,45.959999999999994,40.7,8.9,6.220000000000001,0.5014,13.8,22.2,0.2182,0.5708,16.84,73.6,0.18860000000000002
2022-12-31,Loyola (IL),97,98.91999999999999,105.16,70.52,0.3428,0.406,0.5234,44.739999999999995,39.92,8.84,6.9799999999999995,0.4856,13.62,20.740000000000002,0.2452,0.5516,16.740000000000002,71.67999999999999,0.17
2023-01-04,Richmond,63,107.23999999999998,109.12,71.34,0.37,0.36860000000000004,0.5810000000000001,47.220000000000006,40.400000000000006,6.659999999999999,5.98,0.5446,15.280000000000001,25.479999999999997,0.2826,0.5511999999999999,14.959999999999999,69.61999999999999,0.1394
