Date,Opp,Tm_Score,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Opp_eFG%.1,Opp_TOV%,DRB%,Opp_FT/FGA
2022-11-23,Brown,73,118.6,81.06,76.96,0.2476,0.3044,0.6020000000000001,60.42,48.959999999999994,11.36,14.24,0.5924,15.780000000000001,40.28,0.1662,0.3862,16.439999999999998,75.34,0.2062
2022-11-27,Stonehill,73,111.82000000000001,87.64,75.38,0.2864,0.2722,0.6115999999999999,56.58,50.559999999999995,10.92,16.060000000000002,0.5932,18.98,34.28,0.20860000000000004,0.42940000000000006,17.419999999999998,72.5,0.21479999999999996
2022-11-30,Merrimack,77,110.2,88.94000000000001,73.60000000000001,0.30619999999999997,0.28200000000000003,0.5840000000000001,57.81999999999999,54.120000000000005,10.620000000000001,14.12,0.562,17.54,34.38,0.2184,0.43360000000000004,15.919999999999998,75.32,0.18860000000000002
2022-12-03,Sacred Heart,70,113.4,83.08,73.62,0.3014,0.298,0.6082,61.98,60.08,11.959999999999999,15.9,0.5877999999999999,18.82,36.120000000000005,0.2162,0.44719999999999993,18.580000000000002,81.42,0.1256
2022-12-05,LIU,84,109.32000000000001,78.34,72.8,0.3046,0.29279999999999995,0.5868,62.540000000000006,58.86,11.02,15.3,0.5616,19.339999999999996,36.74,0.2218,0.4338,19.82,82.66,0.1276
2022-12-08,UMass,85,104.02000000000001,81.5,72.56,0.3046,0.30379999999999996,0.5684,59.52,58.620000000000005,11.580000000000002,15.1,0.5444,19.52,33.599999999999994,0.21259999999999998,0.4408,20.340000000000003,82.79999999999998,0.18319999999999997
2022-12-10,St. Francis (NY),68,104.71999999999998,84.03999999999999,74.35999999999999,0.30060000000000003,0.33940000000000003,0.5742,58.14,61.36,10.98,13.540000000000001,0.5588,19.12,33.6,0.195,0.4258,19.28,80.44,0.24159999999999998
2022-12-13,Rhode Island,75,103.84,84.58000000000001,74.03999999999999,0.34140000000000004,0.32719999999999994,0.5885999999999999,54.4,58.42,10.100000000000001,13.3,0.567,19.919999999999998,29.259999999999998,0.23500000000000001,0.4196,19.12,76.26,0.24700000000000003
2022-12-21,Boston University,68,102.78,90.98,72.76000000000002,0.3524,0.29259999999999997,0.5698,50.620000000000005,53.92,9.24,11.6,0.542,18.0,28.76,0.2502,0.4194,17.259999999999998,70.11999999999999,0.28840000000000005
2022-12-31,NJIT,67,103.78,92.6,71.56000000000002,0.3686,0.2608,0.5736000000000001,49.68,50.50000000000001,9.919999999999998,14.260000000000002,0.5514,17.2,27.759999999999998,0.248,0.42139999999999994,17.32,69.26,0.28419999999999995
2023-01-05,Maine,72,100.5,93.86,70.66,0.3534,0.2626,0.5616,51.220000000000006,48.660000000000004,9.78,13.060000000000002,0.5384,19.22,30.76,0.2372,0.4274,16.48,68.78,0.26039999999999996
2023-01-08,Albany (NY),63,100.74000000000001,94.76,68.1,0.384,0.25020000000000003,0.5449999999999999,53.220000000000006,46.2,8.78,14.2,0.5156000000000001,18.54,32.660000000000004,0.2616,0.437,15.060000000000002,71.56,0.23299999999999996
2023-01-11,Vermont,80,98.92,103.55999999999999,68.19999999999999,0.339,0.2502,0.5307999999999999,51.94000000000001,44.0,9.68,16.380000000000003,0.5014000000000001,18.140000000000004,32.8,0.2318,0.47859999999999997,14.84,70.1,0.2768
2023-01-14,Binghamton,65,103.67999999999999,103.25999999999999,67.62,0.3584,0.3006,0.5715999999999999,54.2,43.28,7.94,14.679999999999998,0.544,18.72,30.439999999999998,0.24900000000000003,0.4808,12.2,74.3,0.252
2023-01-18,UMBC,81,103.38,105.54,67.24,0.3644,0.3452,0.5568,56.42,41.4,7.42,12.260000000000002,0.5188,18.82,34.3,0.2672,0.49400000000000005,10.48,76.86,0.27640000000000003
2023-01-22,Bryant,98,108.13999999999999,109.35999999999999,66.66,0.31520000000000004,0.36239999999999994,0.5638,55.5,48.0,6.3,11.459999999999999,0.5244,17.0,35.040000000000006,0.24520000000000003,0.513,10.26,75.2,0.2764
2023-01-25,Maine,70,111.46,108.46,68.97999999999999,0.2732,0.37679999999999997,0.5640000000000001,57.67999999999999,49.12,7.340000000000001,11.44,0.5266,15.780000000000001,37.88000000000001,0.21780000000000005,0.5186,11.419999999999998,78.08,0.3122
2023-01-28,New Hampshire,65,112.36000000000001,102.92,69.88,0.27640000000000003,0.3812,0.563,60.68000000000001,48.760000000000005,6.94,8.52,0.5258,16.259999999999998,40.0,0.2192,0.5187999999999999,12.7,83.47999999999999,0.2944
2023-02-01,Albany (NY),66,106.42,102.66000000000001,70.9,0.2888,0.33799999999999997,0.5186,58.720000000000006,50.04,7.460000000000001,8.16,0.47619999999999996,15.98,40.94,0.22240000000000001,0.5256000000000001,14.74,82.12,0.2944
2023-02-04,NJIT,90,107.0,98.16,70.6,0.26620000000000005,0.344,0.5357999999999999,57.86,53.48,7.779999999999999,10.92,0.496,15.779999999999998,37.2,0.21200000000000002,0.5072000000000001,16.52,81.26,0.26239999999999997
2023-02-06,Hartford,70,109.68000000000002,93.97999999999999,70.78,0.298,0.33520000000000005,0.5456,58.2,51.38000000000001,8.379999999999999,12.540000000000001,0.5028,15.059999999999999,37.18000000000001,0.23759999999999998,0.4882000000000001,16.96,80.8,0.25199999999999995
2023-02-11,Vermont,81,105.75999999999999,88.3,68.44,0.3588,0.33759999999999996,0.5452,55.05999999999999,57.46,7.92,12.62,0.5012000000000001,15.940000000000001,32.059999999999995,0.2736,0.4596,17.419999999999998,78.03999999999999,0.20139999999999997
2023-02-15,Bryant,85,109.58,94.24,67.94,0.3668,0.352,0.5724,55.2,58.0,8.26,13.080000000000002,0.5284,15.180000000000001,30.5,0.2874,0.49640000000000006,16.900000000000002,78.66,0.20140000000000002
2023-02-18,Binghamton,84,113.63999999999999,93.47999999999999,69.06,0.41059999999999997,0.362,0.5842,54.620000000000005,56.34000000000001,8.72,14.440000000000001,0.5376,13.379999999999999,29.560000000000002,0.31920000000000004,0.4908,17.32,77.61999999999999,0.22759999999999997
2023-02-22,UMBC,75,118.64000000000001,99.13999999999999,69.32,0.4588,0.3254,0.5982000000000001,52.379999999999995,54.779999999999994,10.440000000000001,11.52,0.5484,13.12,32.94,0.35700000000000004,0.5227999999999999,18.839999999999996,71.25999999999999,0.253
2023-02-25,New Hampshire,92,114.16,101.84,69.11999999999999,0.5102,0.3018,0.5864,52.2,50.559999999999995,9.84,10.919999999999998,0.5342,14.2,31.96,0.3874000000000001,0.5314,17.859999999999996,72.72,0.2626
2023-03-04,Maine,85,121.13999999999999,104.17999999999999,68.96000000000001,0.42919999999999997,0.2826,0.6003999999999999,53.720000000000006,42.62,11.1,10.059999999999999,0.5528000000000001,11.7,34.26,0.33540000000000003,0.5426,17.859999999999996,73.22,0.271
2023-03-07,New Hampshire,75,123.48000000000002,93.44000000000001,68.33999999999999,0.42400000000000004,0.2516,0.6056,54.6,42.779999999999994,11.5,11.52,0.5599999999999999,11.459999999999999,38.18,0.33039999999999997,0.475,18.54,69.88,0.21939999999999998
2023-03-11,Vermont,59,123.84,94.16,66.34,0.42780000000000007,0.2412,0.6279999999999999,55.239999999999995,41.36,12.34,11.6,0.5841999999999999,13.74,37.940000000000005,0.3412,0.48200000000000004,18.400000000000002,69.16,0.18919999999999998
