Date,Opp,Tm_Score,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Opp_eFG%.1,Opp_TOV%,DRB%,Opp_FT/FGA
2022-11-23,Baylor,60,100.7,99.19999999999999,71.54,0.259,0.4284,0.5132,52.019999999999996,44.3,12.719999999999999,8.06,0.49659999999999993,16.740000000000002,32.480000000000004,0.1584,0.5314,18.3,74.67999999999999,0.21580000000000005
2022-11-28,UT-Martin,83,90.6,111.5,69.36,0.2892,0.4346,0.4904,49.21999999999999,46.660000000000004,11.819999999999999,7.260000000000001,0.46419999999999995,19.560000000000002,28.860000000000003,0.1888,0.5833999999999999,15.48,72.78,0.2254
2022-11-30,Tennessee,40,98.52000000000001,115.72,68.5,0.3562,0.44539999999999996,0.5130000000000001,50.39999999999999,49.38,11.680000000000001,7.56,0.4972,17.82,32.08,0.2048,0.5913999999999999,13.7,70.89999999999999,0.223
2022-12-09,Northern Iowa,52,90.52000000000001,113.22,67.97999999999999,0.316,0.458,0.4782,50.78000000000001,47.18,12.079999999999998,8.76,0.4631999999999999,19.979999999999997,34.18,0.178,0.5589999999999999,13.3,68.39999999999999,0.21740000000000004
2022-12-11,Iowa State,40,89.38,106.01999999999998,67.14000000000001,0.2804,0.46880000000000005,0.48480000000000006,48.879999999999995,50.92,13.160000000000002,8.22,0.4795999999999999,21.36,33.480000000000004,0.1436,0.5107999999999999,15.12,63.739999999999995,0.21880000000000002
2022-12-15,Louisiana,70,81.2,111.82000000000001,67.24000000000001,0.2778,0.4474,0.46840000000000004,48.92,47.8,13.12,6.6,0.4662,25.68,32.480000000000004,0.13219999999999998,0.5528000000000001,15.280000000000001,64.7,0.2278
2022-12-18,Southern Miss,67,84.7,109.3,66.9,0.2526,0.44239999999999996,0.4654,48.739999999999995,39.980000000000004,12.02,5.9399999999999995,0.46440000000000003,22.9,32.44,0.11699999999999999,0.554,16.64,66.14,0.2468
2022-12-21,Houston,44,79.18,108.02000000000001,67.70000000000002,0.22679999999999997,0.43979999999999997,0.45380000000000004,47.38000000000001,39.3,12.16,4.459999999999999,0.4354,24.18,30.060000000000002,0.135,0.5506,17.62,65.47999999999999,0.21760000000000002
2022-12-31,Lamar,81,81.08,111.42,67.08000000000001,0.20800000000000002,0.477,0.47400000000000003,43.839999999999996,45.42,12.6,1.98,0.46040000000000003,23.78,24.22,0.12180000000000002,0.5728,17.98,64.24,0.1636
2023-01-05,Northwestern State,92,89.25999999999999,114.84,67.36,0.20319999999999996,0.466,0.49399999999999994,46.42,46.42,12.8,1.98,0.48260000000000003,21.04,26.140000000000004,0.11779999999999999,0.5950000000000001,17.860000000000003,68.36000000000001,0.2226
2023-01-07,Texas A&M-Commerce,80,103.8,113.82000000000001,67.91999999999999,0.18939999999999999,0.46720000000000006,0.5426,46.62,45.62,12.4,3.3600000000000003,0.5242,16.72,28.639999999999997,0.1354,0.5852,18.0,66.74,0.25880000000000003
2023-01-12,Northwestern State,75,106.08000000000001,114.3,66.84,0.17019999999999996,0.47420000000000007,0.5548,47.260000000000005,51.059999999999995,13.8,2.68,0.5376,16.9,29.439999999999998,0.1254,0.5682,17.12,65.32000000000001,0.26239999999999997
2023-01-14,Houston Christian,81,107.7,114.47999999999999,67.34,0.22299999999999995,0.46319999999999995,0.5646000000000001,44.06,47.36,15.040000000000001,4.04,0.5439999999999999,17.240000000000002,29.060000000000002,0.162,0.5814,19.419999999999998,59.44,0.29879999999999995
2023-01-19,Nicholls State,64,116.64000000000001,113.42,68.98,0.23339999999999997,0.45760000000000006,0.5952,48.34,47.2,14.14,4.74,0.5720000000000001,15.219999999999999,32.760000000000005,0.1754,0.5856,19.759999999999998,66.46,0.37839999999999996
2023-01-21,Nicholls State,68,112.16,117.38,68.6,0.26199999999999996,0.4418,0.5753999999999999,46.720000000000006,43.28,11.16,6.360000000000001,0.5443999999999999,15.6,32.120000000000005,0.202,0.6002,17.18,63.48,0.2956
2023-01-26,Incarnate Word,65,106.75999999999999,117.24000000000001,67.68,0.282,0.40199999999999997,0.5522,44.6,43.5,11.66,6.119999999999999,0.5226,15.02,27.220000000000006,0.20600000000000002,0.6064,17.54,64.53999999999999,0.26539999999999997
2023-01-28,Texas A&M-Corpus Christi,72,102.7,114.05999999999999,68.96,0.2992,0.39740000000000003,0.5361999999999999,44.78,39.04,10.819999999999999,7.739999999999999,0.5074,15.34,26.419999999999998,0.21059999999999998,0.595,18.060000000000002,67.42,0.2862
2023-02-02,Lamar,63,104.08,114.99999999999997,67.32000000000001,0.2202,0.4098,0.5416,49.260000000000005,43.7,8.920000000000002,5.8,0.5246,15.819999999999999,29.279999999999994,0.1476,0.5892000000000001,16.18,73.5,0.2996
2023-02-04,Texas A&M-Commerce,58,99.2,109.56000000000002,67.0,0.24980000000000002,0.4286,0.5127999999999999,48.14,45.459999999999994,8.94,7.159999999999999,0.4917999999999999,16.18,29.360000000000003,0.164,0.5496000000000001,16.580000000000002,70.04,0.28280000000000005
2023-02-09,Southeastern Louisiana,69,97.34,105.55999999999999,67.02000000000001,0.28900000000000003,0.41419999999999996,0.49639999999999995,48.44,49.38,10.18,7.160000000000001,0.4704,14.620000000000001,28.46,0.1856,0.5276,17.759999999999998,72.52000000000001,0.313
2023-02-11,New Orleans,79,95.8,102.24000000000001,68.24,0.2964,0.4208,0.4838,53.1,46.879999999999995,7.360000000000001,6.9,0.4584,15.38,32.32000000000001,0.184,0.5056,15.179999999999998,77.42,0.29819999999999997
2023-02-16,Incarnate Word,78,99.91999999999999,104.6,68.26,0.3544,0.4234,0.5146000000000001,51.64,48.720000000000006,8.239999999999998,5.279999999999999,0.48119999999999996,16.040000000000003,31.4,0.2392,0.524,15.559999999999999,73.92,0.26999999999999996
2023-02-18,Texas A&M-Corpus Christi,54,99.86,100.8,67.82000000000001,0.4446,0.386,0.5222,52.379999999999995,44.660000000000004,8.9,6.639999999999999,0.4715999999999999,15.780000000000001,30.139999999999997,0.3262,0.5026,15.7,74.84,0.254
2023-02-23,Houston Christian,80,97.02000000000001,102.52000000000001,68.03999999999999,0.43339999999999995,0.36979999999999996,0.514,52.739999999999995,45.62,8.879999999999999,4.36,0.46099999999999997,16.119999999999997,29.779999999999994,0.3242,0.512,15.4,75.94,0.2512
2023-02-25,Southeastern Louisiana,75,101.1,107.34,69.6,0.3788,0.361,0.5384,51.58,45.00000000000001,7.62,2.7399999999999998,0.4952,16.240000000000002,29.22,0.2872,0.5324,14.780000000000001,73.84,0.25759999999999994
2023-03-01,New Orleans,80,102.22,110.13999999999999,68.36000000000001,0.35280000000000006,0.349,0.5356,48.540000000000006,45.540000000000006,8.18,2.24,0.4906,15.139999999999997,29.419999999999998,0.2772,0.521,14.719999999999999,67.7,0.28040000000000004
2023-03-05,Texas A&M-Commerce,79,100.9,107.2,69.38000000000001,0.3404,0.3358,0.5144,52.54,43.06,7.44,2.8,0.4742,14.62,32.94,0.2526,0.5072000000000001,14.239999999999998,72.97999999999999,0.2744
2023-03-06,Nicholls State,77,103.34,109.88,69.64,0.2944,0.3224,0.5067999999999999,52.760000000000005,46.8,5.92,1.44,0.47859999999999997,12.719999999999999,34.0,0.1994,0.514,12.540000000000001,73.14,0.2542
2023-03-07,Texas A&M-Corpus Christi,63,110.55999999999999,108.75999999999999,69.32,0.3492,0.2874,0.5509999999999999,56.92,42.00000000000001,5.680000000000001,3.3599999999999994,0.5282000000000001,14.2,38.760000000000005,0.2314,0.5252,12.479999999999999,75.14,0.21480000000000002
