Date,Opp,Tm_Score,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Opp_eFG%.1,Opp_TOV%,DRB%,Opp_FT/FGA
2022-11-26,Stephen F. Austin,75,101.17999999999999,88.60000000000001,68.2,0.3144,0.3754,0.5116,55.81999999999999,43.58,10.52,13.479999999999999,0.48579999999999995,16.419999999999998,34.58,0.20160000000000006,0.4692,19.740000000000002,79.94,0.25799999999999995
2022-11-27,Montana State,72,96.97999999999999,89.42,70.16,0.39780000000000004,0.39459999999999995,0.5272,53.42,48.5,11.040000000000001,15.620000000000001,0.495,18.380000000000003,27.8,0.2694,0.4816,20.54,80.7,0.26339999999999997
2022-11-30,St. Bonaventure,64,100.04,90.17999999999999,68.5,0.40519999999999995,0.37560000000000004,0.5589999999999999,52.3,47.67999999999999,12.419999999999998,11.3,0.5204,19.32,27.4,0.30019999999999997,0.499,21.98,77.86,0.2068
2022-12-03,Maryville (TN),69,94.52000000000001,97.54,68.75999999999999,0.403,0.34480000000000005,0.5298,51.42,40.54,11.760000000000002,12.680000000000001,0.4902,19.94,30.52,0.292,0.5264,21.220000000000002,73.92,0.2536
2022-12-10,Belmont,85,99.12,87.97999999999999,69.44000000000001,0.33940000000000003,0.35760000000000003,0.545,54.14000000000001,44.82,13.779999999999998,13.279999999999998,0.519,19.86,33.88,0.24020000000000002,0.48739999999999994,23.119999999999997,76.44,0.24420000000000003
2022-12-15,Chattanooga,73,100.98,90.38000000000001,70.52000000000001,0.4046,0.3416,0.5522,54.7,42.32,14.66,20.139999999999997,0.5298,19.58,35.56,0.26480000000000004,0.5028,23.44,75.46,0.2518
2022-12-21,Murray State,83,102.72,97.92,68.88,0.30820000000000003,0.33540000000000003,0.531,52.220000000000006,38.239999999999995,14.079999999999998,19.54,0.5142,15.440000000000001,34.1,0.1906,0.5524,23.159999999999997,75.7,0.3028
2022-12-29,Charlotte,67,107.6,98.22,67.9,0.25939999999999996,0.34720000000000006,0.5422,53.82000000000001,40.519999999999996,12.54,19.6,0.5324000000000001,13.979999999999999,35.18,0.1516,0.5418,21.659999999999997,76.50000000000001,0.3132
2022-12-31,Western Kentucky,65,109.82000000000001,103.16,67.04,0.2354,0.36460000000000004,0.5520000000000002,53.279999999999994,40.26,11.74,19.0,0.5324000000000001,13.419999999999998,33.959999999999994,0.162,0.5626,20.52,76.5,0.305
2023-01-05,UTSA,72,108.64000000000001,107.28,67.02000000000001,0.2496,0.3386,0.5386,51.92,43.480000000000004,10.559999999999999,18.0,0.5154000000000001,11.580000000000002,31.580000000000002,0.17339999999999997,0.5751999999999999,17.740000000000002,76.22,0.303
2023-01-07,North Texas,51,108.88,110.9,66.17999999999999,0.2242,0.3606,0.5572,50.58,44.120000000000005,8.459999999999999,11.799999999999999,0.5352,12.86,29.4,0.1646,0.5752,15.860000000000003,76.34,0.3298
2023-01-11,Rice,71,104.97999999999999,106.1,64.22,0.2508,0.3516,0.5544,51.85999999999999,42.940000000000005,8.459999999999999,9.7,0.5256000000000001,16.220000000000002,28.98,0.19119999999999998,0.5428,16.02,76.74,0.3048
2023-01-16,UAB,74,101.02000000000001,106.1,64.44,0.248,0.35300000000000004,0.5382,50.9,39.1,9.32,12.54,0.5134000000000001,16.5,28.619999999999997,0.1776,0.531,15.02,74.58,0.2608
2023-01-19,Charlotte,62,97.9,97.9,66.22,0.27999999999999997,0.337,0.5379999999999999,49.9,45.0,9.2,14.080000000000002,0.5134,17.54,26.419999999999998,0.193,0.4686,14.1,72.84,0.2212
2023-01-21,Louisiana Tech,68,97.85999999999999,98.1,65.54,0.313,0.327,0.5482,49.12,39.78,11.14,15.9,0.5196,19.240000000000002,26.8,0.2192,0.4885999999999999,17.36,72.61999999999999,0.2676
