Date,Opp,Tm_Score,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Opp_eFG%.1,Opp_TOV%,DRB%,Opp_FT/FGA
2022-11-26,UC-Davis,87.0,105.96000000000001,84.64000000000001,74.12,0.30019999999999997,0.3346,0.5572,55.08,50.519999999999996,13.74,17.18,0.5389999999999999,18.84,32.28,0.2008,0.4326,18.720000000000002,73.44,0.14379999999999998
2022-11-27,Boston University,67.0,97.62,92.03999999999999,76.6,0.31579999999999997,0.3332,0.5366,50.68,45.5,11.940000000000001,14.680000000000001,0.5202,20.98,29.579999999999995,0.19939999999999997,0.4622,17.82,70.11999999999999,0.19619999999999999
2022-11-28,Southeast Missouri State,84.0,104.16,84.16,74.42,0.3688,0.3642,0.5598,54.46,45.9,11.94,14.540000000000001,0.5329999999999999,19.2,33.42,0.2502,0.4273999999999999,18.5,73.55999999999999,0.191
2022-12-01,Green Bay,81.0,97.16,91.66,74.54,0.41240000000000004,0.35540000000000005,0.5650000000000001,54.48,47.67999999999999,9.940000000000001,18.6,0.53,22.78,30.4,0.29500000000000004,0.4643999999999999,16.96,75.6,0.21739999999999998
2022-12-03,IUPUI,74.0,105.72,91.92,74.11999999999999,0.39039999999999997,0.3206,0.5906,55.14,44.92,9.700000000000001,21.18,0.5546,19.660000000000004,31.32,0.29379999999999995,0.46559999999999996,16.880000000000003,75.75999999999999,0.2472
2022-12-06,Chattanooga,76.0,108.75999999999999,89.86,72.5,0.42380000000000007,0.3686,0.5993999999999999,53.04,49.56,11.139999999999999,19.5,0.5559999999999999,18.06,29.04,0.3292,0.45099999999999996,17.72,73.02000000000001,0.24359999999999998
2022-12-11,North Park,92.0,109.25999999999999,94.25999999999999,70.16,0.3598,0.4248,0.5955999999999999,53.980000000000004,50.18,10.32,18.740000000000002,0.5524,17.24,29.060000000000002,0.292,0.4484,15.459999999999999,73.4,0.2366
2022-12-22,Rhode Island,,113.81999999999998,97.33999999999999,71.72,0.37839999999999996,0.397,0.6075999999999999,55.260000000000005,53.739999999999995,10.4,20.620000000000005,0.5660000000000001,16.740000000000002,31.920000000000005,0.304,0.4774,16.22,74.26,0.24539999999999998
2022-12-29,Oakland,61.0,116.02499999999999,100.42499999999998,69.375,0.31125,0.42275,0.602,53.7,52.75,10.175,18.625,0.56525,14.925,32.5,0.2525,0.48800000000000004,15.975,71.775,0.25025
2022-12-31,Detroit Mercy,84.0,108.775,106.22500000000001,69.35,0.27025,0.44275000000000003,0.5565,53.675,58.55,8.375,16.05,0.522,15.0,33.25,0.2165,0.523,14.925,75.75,0.25025000000000003
