Date,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Opp_eFG%.1,Opp_TOV%,DRB%,Opp_FT/FGA
2022-11-07,Butler,66.3,111.3,79.9,0.157,0.314,0.484,44.6,57.1,8.8,5.0,0.471,35.4,20.7,0.098,0.594,16.9,70.4,0.203
2022-11-12,St. Francis (IL),85.5,82.9,75.6,0.419,0.29,0.437,40.6,68.2,18.4,8.0,0.403,17.7,28.6,0.242,0.612,37.1,63.6,0.061
2022-11-17,LSU,82.7,121.3,75.4,0.4,0.34,0.521,43.1,52.2,4.0,3.3,0.53,27.9,20.7,0.18,0.621,16.6,65.5,0.328
2022-11-23,The Citadel,82.3,91.1,78.9,0.417,0.333,0.452,44.9,60.0,15.2,3.0,0.375,17.3,18.9,0.333,0.465,20.9,75.0,0.333
2022-11-24,IUPUI,87.2,104.34,76.52000000000001,0.3544,0.32439999999999997,0.506,44.84,62.339999999999996,11.48,4.32,0.4782,23.259999999999998,24.92,0.2258,0.5923999999999999,22.34,68.82000000000001,0.2172
2022-11-25,Denver,94.47999999999999,102.9,75.34,0.3664,0.3116,0.5239999999999999,46.46,64.26,11.34,5.040000000000001,0.49399999999999994,20.459999999999997,27.879999999999995,0.23960000000000004,0.5900000000000001,23.419999999999998,69.74,0.2582
2022-12-03,Louisiana,98.47999999999999,107.67999999999999,74.78,0.3516,0.3008,0.5568,46.67999999999999,63.28000000000001,8.76,4.38,0.5298,20.919999999999998,26.78,0.23840000000000003,0.5589999999999999,18.78,68.2,0.3322
2022-12-10,Portland,96.64,107.51999999999998,76.24,0.31100000000000005,0.2812,0.5372,48.06,62.4,9.639999999999999,4.52,0.501,20.02,27.52,0.23279999999999998,0.5748,18.479999999999997,71.88,0.32
2022-12-13,Boise State,94.05999999999999,114.58,74.82000000000001,0.26759999999999995,0.2512,0.523,45.54,57.760000000000005,8.540000000000001,5.22,0.4944,19.2,25.280000000000005,0.1962,0.6128,17.1,70.72,0.32239999999999996
2022-12-19,Dillard,90.48,109.75999999999999,75.84,0.3438,0.24220000000000003,0.5117999999999999,45.8,57.2,7.359999999999999,5.6,0.4680000000000001,19.4,22.419999999999998,0.265,0.5700000000000001,15.820000000000002,71.94,0.31659999999999994
2022-12-21,Purdue,89.94,116.86000000000001,71.70000000000002,0.354,0.2702,0.5115999999999999,43.260000000000005,53.339999999999996,6.12,4.64,0.4654,19.24,20.32,0.27559999999999996,0.5758000000000001,13.279999999999998,67.94,0.31939999999999996
2022-12-30,Houston Christian,91.7,119.54,72.05999999999999,0.3568,0.2762,0.5196,43.96,52.1,6.6800000000000015,4.64,0.4786,19.279999999999998,21.580000000000002,0.269,0.611,14.540000000000001,69.62,0.29579999999999995
2023-01-05,Lamar,100.47999999999999,111.38,69.38000000000001,0.3982,0.3226,0.5542,44.980000000000004,55.879999999999995,6.44,5.06,0.5102,16.94,22.7,0.3052,0.5476,14.239999999999998,67.72,0.2612
2023-01-07,Houston Christian,109.38,102.47999999999999,69.46,0.40199999999999997,0.3454,0.5940000000000001,48.519999999999996,60.64000000000001,7.56,5.1,0.5606,17.2,28.04,0.294,0.4896000000000001,16.4,66.82,0.29219999999999996
2023-01-12,Incarnate Word,109.6,103.32000000000001,70.14,0.35180000000000006,0.33999999999999997,0.6024,48.06,53.019999999999996,8.22,5.66,0.5791999999999999,18.1,28.2,0.25,0.4866,17.1,65.02,0.3216
2023-01-14,Texas A&M-Corpus Christi,110.66,101.26,74.4,0.42119999999999996,0.3274,0.6054,48.5,55.08,9.180000000000001,5.88,0.5871999999999999,18.020000000000003,29.2,0.279,0.4936,18.74,64.6,0.2772
2023-01-19,Texas A&M-Commerce,104.86000000000001,95.74000000000001,73.1,0.44939999999999997,0.356,0.5838,51.18,56.660000000000004,9.280000000000001,4.94,0.5598,18.94,25.920000000000005,0.2974,0.4652,17.240000000000002,69.46,0.2352
2023-01-21,Northwestern State,100.22,105.3,73.05999999999999,0.4406,0.3332,0.5756,49.839999999999996,58.32000000000001,8.42,5.12,0.5589999999999999,20.9,24.2,0.2748,0.49720000000000003,15.520000000000001,68.7,0.25060000000000004
2023-01-26,Southeastern Louisiana,100.64,113.46000000000001,73.67999999999999,0.4394,0.34920000000000007,0.5892000000000001,51.120000000000005,56.779999999999994,6.42,5.74,0.5698000000000001,22.22,24.72,0.2822,0.5452,12.979999999999999,70.75999999999999,0.20540000000000003
2023-01-28,Southeastern Louisiana,97.94000000000001,116.63999999999999,71.8,0.37160000000000004,0.3436,0.5766000000000001,51.5,62.120000000000005,6.4,4.82,0.5646000000000001,23.419999999999998,27.420000000000005,0.22479999999999997,0.5678000000000001,13.24,71.26,0.2138
2023-02-02,Texas A&M-Corpus Christi,95.78,114.33999999999999,71.52,0.374,0.3332,0.5632,51.0,62.96,7.8,6.34,0.5394000000000001,23.080000000000002,26.880000000000003,0.242,0.5458000000000001,13.319999999999999,71.34,0.2666
2023-02-04,Incarnate Word,98.72,118.1,71.82000000000001,0.343,0.29960000000000003,0.5604,49.86,60.36,7.459999999999999,8.559999999999999,0.5338,21.96,31.619999999999997,0.23120000000000002,0.5632,14.4,68.86,0.3616
2023-02-09,Nicholls State,94.28,113.08,74.32000000000001,0.4244,0.2788,0.55,50.36,53.36,9.08,8.700000000000001,0.5002,23.8,30.919999999999998,0.3128,0.5658000000000001,17.06,71.78,0.3718
2023-02-11,McNeese State,94.02,111.78,72.9,0.446,0.2562,0.5482000000000001,50.06,56.779999999999994,10.080000000000002,8.040000000000001,0.4952,23.740000000000002,31.02,0.3318,0.5582,18.04,70.85999999999999,0.394
2023-02-16,Texas A&M-Commerce,98.94,110.64000000000001,73.24000000000001,0.5138,0.269,0.5594000000000001,50.260000000000005,56.5,10.04,9.559999999999999,0.5022,20.82,29.6,0.38199999999999995,0.549,17.24,71.02000000000001,0.38639999999999997
2023-02-18,Northwestern State,100.03999999999999,106.2,72.22,0.47640000000000005,0.266,0.5676,52.67999999999999,49.339999999999996,8.78,9.059999999999999,0.514,21.3,31.04,0.3598,0.5382,17.46,74.44000000000001,0.3328
2023-02-23,Nicholls State,102.32000000000001,104.67999999999999,74.16,0.5008,0.2844,0.5838,52.67999999999999,50.94,8.879999999999999,8.42,0.5289999999999999,21.220000000000002,31.98,0.3816,0.5115999999999999,17.380000000000003,71.4,0.2954
2023-02-25,Lamar,111.58,106.46000000000001,72.05999999999999,0.44400000000000006,0.3032,0.597,52.120000000000005,52.21999999999999,10.62,8.139999999999999,0.5546,17.68,37.739999999999995,0.33599999999999997,0.5119999999999999,18.520000000000003,64.36,0.3318
2023-03-01,McNeese State,108.64000000000001,105.14000000000001,73.08000000000001,0.4262,0.3218,0.5866,48.12,46.67999999999999,9.919999999999998,7.299999999999999,0.5408000000000002,17.2,32.459999999999994,0.32999999999999996,0.49560000000000004,18.0,60.839999999999996,0.30720000000000003
2023-03-05,Houston Christian,108.72,101.52,74.19999999999999,0.39940000000000003,0.29439999999999994,0.583,49.6,44.4,10.08,6.279999999999999,0.5462,16.96,32.940000000000005,0.29479999999999995,0.48480000000000006,18.44,62.739999999999995,0.2814
2023-03-06,Southeastern Louisiana,110.3,102.92,75.75999999999999,0.39139999999999997,0.2794,0.5766,49.82,49.519999999999996,10.959999999999999,4.8,0.5396,16.020000000000003,34.459999999999994,0.2884,0.4936,18.520000000000003,61.779999999999994,0.3054
2023-03-07,Northwestern State,108.6,103.91999999999999,73.56,0.34359999999999996,0.24080000000000004,0.5673999999999999,49.24,47.519999999999996,11.2,4.880000000000001,0.528,15.88,32.6,0.264,0.5188,19.42,63.42,0.30060000000000003
