Date,Opp,Tm_Score,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Opp_eFG%.1,Opp_TOV%,DRB%,Opp_FT/FGA
2022-11-25,West Virginia,71.0,110.88,101.0,77.58,0.305,0.4356,0.5578000000000001,50.08,50.92,9.179999999999998,12.46,0.5144,13.24,32.04,0.2468,0.4888,18.520000000000003,70.78,0.4398000000000001
2022-11-27,Oregon State,83.0,107.12,100.22,76.52000000000001,0.43479999999999996,0.4196,0.5626,50.92,49.56000000000001,9.799999999999999,11.28,0.5016,16.98,32.919999999999995,0.3498,0.5114,19.639999999999997,71.8,0.39320000000000005
2022-11-30,Portland Bible,114.0,111.12,97.84,75.9,0.4138,0.42299999999999993,0.5871999999999999,52.96,52.94,11.2,9.120000000000001,0.5348,17.560000000000002,34.8,0.331,0.4976,20.32,73.72,0.397
2022-12-03,Air Force,68.0,117.42,97.32000000000001,72.96,0.3894,0.40859999999999996,0.5938,53.7,54.65999999999999,13.7,6.180000000000001,0.5462,15.440000000000001,35.16,0.3068,0.5236,22.439999999999998,75.8,0.34280000000000005
2022-12-10,Cal Poly,49.0,115.2,97.54,72.22,0.4372,0.40359999999999996,0.5936,53.620000000000005,54.02,13.2,7.24,0.548,15.660000000000002,31.4,0.33,0.5234,21.579999999999995,76.9,0.34060000000000007
2022-12-13,Santa Clara,75.0,108.74000000000001,91.48,70.86,0.48600000000000004,0.417,0.5698000000000001,50.8,53.25999999999999,14.220000000000002,6.300000000000001,0.522,17.22,28.559999999999995,0.349,0.4952,23.339999999999996,74.26,0.3452
2022-12-17,UCSB,73.0,110.58,89.44000000000001,70.32000000000001,0.3556,0.4004,0.5604,49.9,57.9,14.3,6.32,0.532,14.560000000000002,27.7,0.2414,0.4566,22.26,72.1,0.3426
2022-12-22,California Baptist,74.0,106.61999999999998,91.78,71.38,0.4072,0.3645999999999999,0.5499999999999999,46.86,58.9,13.879999999999999,7.5,0.5152000000000001,15.439999999999998,24.339999999999996,0.27620000000000006,0.47000000000000003,21.98,70.08,0.33519999999999994
2022-12-31,Sacramento State,63.0,92.58,101.60000000000001,73.0,0.4488,0.3356,0.5194,40.44,49.599999999999994,9.32,6.360000000000001,0.4692,17.28,16.880000000000003,0.3234,0.48740000000000006,19.119999999999997,64.06,0.40780000000000005
2023-01-05,Eastern Washington,80.0,91.38,104.8,72.86,0.3742,0.3274,0.49720000000000003,39.5,50.879999999999995,10.520000000000001,6.42,0.44980000000000003,16.46,20.82,0.27040000000000003,0.5034000000000001,19.34,60.339999999999996,0.3556
2023-01-07,Idaho,74.0,97.54,107.2,74.82000000000001,0.30479999999999996,0.30760000000000004,0.5078,42.9,50.56,11.0,7.82,0.46719999999999995,14.36,24.98,0.2292,0.541,19.8,63.5,0.3694
2023-01-12,Northern Arizona,75.0,99.67999999999999,103.7,73.14000000000001,0.3414,0.295,0.5354,44.48,46.6,11.260000000000002,9.440000000000001,0.492,14.98,22.380000000000003,0.2612,0.5349999999999999,20.06,67.62,0.33140000000000003
2023-01-14,Northern Colorado,67.0,102.03999999999999,102.73999999999998,71.83999999999999,0.2882,0.344,0.5438000000000001,44.260000000000005,49.339999999999996,11.179999999999998,10.9,0.506,14.5,21.64,0.2266,0.5277999999999999,19.979999999999997,66.94000000000001,0.3108000000000001
2023-01-19,Weber State,68.0,101.7,103.52000000000001,70.62,0.2374,0.3638,0.5344,45.38,54.720000000000006,11.58,11.680000000000001,0.5096,14.52,23.46,0.17359999999999998,0.5502,19.78,68.6,0.25560000000000005
2023-01-21,Idaho State,72.0,100.84,103.58,72.38,0.3226,0.3536,0.5382000000000001,44.36,50.54,10.499999999999998,11.62,0.5062,14.86,19.22,0.2298,0.5763999999999999,20.080000000000002,72.6,0.25
2023-01-26,Montana State,66.0,103.66,101.0,69.3,0.38120000000000004,0.3556,0.5586,46.32,52.160000000000004,8.299999999999999,10.459999999999999,0.5197999999999999,15.540000000000001,18.439999999999998,0.2803999999999999,0.5474000000000001,18.46,76.4,0.2722
