Date,Opp,Tm_Score,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Opp_eFG%.1,Opp_TOV%,DRB%,Opp_FT/FGA
2022-11-26,Evansville,53,100.38,91.92,71.7,0.211,0.3752,0.5286,50.220000000000006,50.1,10.219999999999999,7.780000000000001,0.5122,15.7,29.02,0.1412,0.4744,19.580000000000002,71.38,0.1972
2022-11-27,South Alabama,70,102.28,83.41999999999999,70.08,0.2142,0.3766,0.5492,54.06,55.67999999999999,10.079999999999998,8.74,0.5342,17.48,29.479999999999997,0.14520000000000002,0.43100000000000005,18.720000000000002,76.56,0.17179999999999998
2022-12-01,Wright State,80,100.16000000000001,95.25999999999999,68.88,0.2254,0.3322,0.5234,52.1,52.120000000000005,9.360000000000001,8.1,0.5082,16.7,31.840000000000003,0.1478,0.48979999999999996,16.9,73.36,0.1692
2022-12-03,Northern Kentucky,56,95.94000000000001,98.7,66.58,0.19560000000000002,0.3068000000000001,0.49399999999999994,51.379999999999995,48.74,10.1,9.679999999999998,0.47619999999999996,15.24,28.0,0.127,0.495,14.420000000000002,74.74,0.18180000000000002
2022-12-07,Central Michigan,71,97.78,98.98,66.28,0.2528,0.2914,0.5202,50.18,48.080000000000005,11.4,9.62,0.5067999999999999,16.28,25.499999999999996,0.1504,0.491,14.7,73.4,0.2104
2022-12-10,Marshall,60,98.38,96.62,66.78,0.2612,0.29979999999999996,0.5346,52.239999999999995,54.21999999999999,9.719999999999999,8.419999999999998,0.5271999999999999,16.880000000000003,24.54,0.14699999999999996,0.47379999999999994,13.919999999999998,76.64,0.205
2022-12-18,Mount St. Mary's,68,97.55999999999999,97.88,69.28,0.24700000000000003,0.2746,0.5232,50.32,50.14,10.86,8.08,0.5124000000000001,16.1,24.78,0.14520000000000002,0.49659999999999993,16.98,75.7,0.2242
2022-12-21,Saint Francis (PA),77,96.34,89.78,69.68,0.2684,0.29359999999999997,0.534,51.54,53.64,11.12,11.34,0.5172,17.74,23.759999999999998,0.1694,0.45499999999999996,17.7,76.52000000000001,0.2008
2022-12-29,Purdue Fort Wayne,75,95.8,92.16,69.5,0.31799999999999995,0.3284,0.5336000000000001,49.440000000000005,54.760000000000005,9.96,10.42,0.5126,18.78,25.8,0.2068,0.4556,17.339999999999996,71.74000000000001,0.193
2022-12-31,Cleveland State,54,99.75999999999999,93.4,70.74000000000001,0.29779999999999995,0.363,0.5356,50.62,56.24000000000001,9.1,11.819999999999999,0.5094,16.580000000000002,28.139999999999997,0.2068,0.458,17.259999999999998,72.66,0.203
2023-01-05,Youngstown State,56,97.44,95.14000000000001,68.9,0.29760000000000003,0.36280000000000007,0.5194,50.14,50.980000000000004,8.620000000000001,12.84,0.4922000000000001,16.779999999999998,26.76,0.20359999999999995,0.4766,16.54,74.04,0.19080000000000003
2023-01-09,IUPUI,77,98.94,101.12,66.7,0.28159999999999996,0.3488,0.5368,51.339999999999996,57.08,6.540000000000001,13.540000000000001,0.5132,17.58,25.020000000000003,0.19199999999999998,0.48439999999999994,12.7,75.72,0.2186
2023-01-12,Oakland,65,100.32000000000001,103.2,67.58,0.3564,0.3858,0.5546,48.5,61.02,7.0,11.86,0.5242,17.2,20.560000000000002,0.255,0.5012,14.48,74.42,0.261
