Date,Opp,Tm_Score,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Opp_eFG%.1,Opp_TOV%,DRB%,Opp_FT/FGA
2022-11-23,Sam Houston,49.0,94.75999999999999,104.38,70.32000000000001,0.29,0.3556,0.49860000000000004,50.72,49.260000000000005,6.959999999999999,5.380000000000001,0.4556,16.24,27.659999999999997,0.2294,0.5065999999999999,12.459999999999999,73.02000000000001,0.15420000000000003
2022-11-26,Coastal Carolina,59.0,92.74,104.34,69.63999999999999,0.2672,0.3968,0.5,49.0,57.3,6.76,4.5200000000000005,0.45499999999999996,18.64,27.080000000000002,0.2234,0.5146,13.38,70.24,0.10999999999999999
2022-11-28,Mount Marty,97.0,88.44,104.78,67.41999999999999,0.22119999999999998,0.42680000000000007,0.46840000000000004,47.099999999999994,55.839999999999996,7.279999999999999,4.5200000000000005,0.43579999999999997,18.8,29.72,0.16720000000000002,0.5045999999999999,14.26,65.20000000000002,0.11739999999999999
2022-12-03,BYU,69.0,95.38,105.0,65.78,0.16999999999999998,0.4524,0.49660000000000004,49.019999999999996,55.31999999999999,7.4399999999999995,3.8800000000000003,0.47119999999999995,17.68,30.339999999999996,0.12560000000000002,0.5054000000000001,13.540000000000001,67.08,0.11520000000000001
2022-12-06,Air Force,58.0,100.00000000000001,97.42,68.6,0.24779999999999996,0.4556,0.5389999999999999,51.379999999999995,54.55999999999999,7.539999999999999,3.3200000000000003,0.5109999999999999,18.32,27.959999999999997,0.1778,0.4816000000000001,15.559999999999999,73.5,0.1662
2022-12-10,UC-Irvine,71.0,100.28,107.04,66.2,0.223,0.45499999999999996,0.5368,49.1,52.11999999999999,6.720000000000001,3.3400000000000007,0.5094000000000001,17.44,25.98,0.1654,0.5212,14.4,71.84,0.20339999999999997
2022-12-14,Coastal Carolina,86.0,105.16000000000001,105.85999999999999,67.34,0.24620000000000003,0.4378,0.5484,50.620000000000005,50.5,6.88,3.3600000000000003,0.5242,15.14,26.74,0.17279999999999998,0.5086,13.180000000000001,73.84,0.23399999999999999
2022-12-19,Kansas City,45.0,108.7,107.26000000000002,70.08,0.3032,0.4715999999999999,0.5908,51.64,54.98,6.88,3.3600000000000003,0.5584,16.919999999999998,25.439999999999998,0.23159999999999997,0.5154,13.1,75.74000000000001,0.261
2022-12-21,Oral Roberts,,95.44,111.22,68.26000000000002,0.3762,0.47539999999999993,0.5361999999999999,46.279999999999994,56.760000000000005,6.76,4.359999999999999,0.49560000000000004,19.360000000000003,23.32,0.27680000000000005,0.5127999999999999,12.84,69.64,0.3036
2022-12-29,St. Thomas,92.0,96.60000000000001,116.65,66.275,0.34525,0.47450000000000003,0.5249999999999999,45.75,54.7,7.125000000000001,4.550000000000001,0.484,17.9,24.974999999999998,0.2575,0.5405,11.975,67.925,0.30174999999999996
2022-12-31,Western Illinois,80.0,105.075,114.07499999999999,68.875,0.39275,0.47675,0.5905,47.675000000000004,61.025,6.525,4.575,0.5549999999999999,19.0,23.85,0.29475,0.51975,10.625,68.67500000000001,0.2695
2023-01-05,North Dakota,62.0,108.6,107.425,68.6,0.38925000000000004,0.46575,0.61825,48.2,56.599999999999994,6.925,5.975,0.58375,19.224999999999998,24.075000000000003,0.29825,0.47525,12.075000000000001,67.825,0.2925
2023-01-07,North Dakota State,61.0,102.6,100.3,66.9,0.3335,0.39325,0.57475,50.025,49.925,6.75,8.05,0.5407500000000001,18.275,22.6,0.25275,0.4515,10.8,72.07499999999999,0.258
2023-01-14,South Dakota State,64.0,105.625,100.47500000000001,69.475,0.263,0.34175,0.58125,52.875,41.074999999999996,6.85,6.75,0.553,15.899999999999999,20.424999999999997,0.213,0.47225,9.775,80.625,0.25575000000000003
2023-01-19,Denver,60.0,102.78,103.8,69.47999999999999,0.2782,0.3592,0.5634,50.239999999999995,43.339999999999996,6.62,6.0600000000000005,0.5316000000000001,15.379999999999999,19.68,0.22039999999999998,0.48600000000000004,9.88,78.58,0.257
2023-01-21,Omaha,84.0,95.75999999999999,103.5,68.04,0.24419999999999997,0.39320000000000005,0.5204000000000001,46.260000000000005,39.62,7.039999999999999,4.5600000000000005,0.4864,14.9,17.22,0.19019999999999998,0.5188,13.02,78.46,0.298
2023-01-26,Western Illinois,72.0,99.48,107.01999999999998,66.74,0.2474,0.4008000000000001,0.5332,47.94,40.980000000000004,6.9,2.9,0.5027999999999999,14.8,18.74,0.189,0.546,12.38,79.66,0.24900000000000003
2023-01-28,St. Thomas,81.0,103.26000000000002,112.35999999999999,66.36,0.24939999999999998,0.38980000000000004,0.5358,46.14,42.98,6.92,1.2399999999999998,0.508,12.580000000000002,19.259999999999998,0.18519999999999998,0.5850000000000001,13.26,77.4,0.22820000000000001
2023-01-30,Oral Roberts,53.0,108.72,110.34,66.47999999999999,0.30379999999999996,0.4056,0.5741999999999999,48.28,50.86,6.0600000000000005,2.2,0.548,12.959999999999999,18.56,0.21959999999999996,0.5724,13.260000000000002,78.17999999999999,0.2272
2023-02-02,North Dakota State,71.0,104.96,115.13999999999999,67.22,0.2788,0.4234,0.5616,47.88000000000001,52.6,6.02,2.2,0.5356,14.419999999999998,17.78,0.20539999999999997,0.6016,13.14,78.1,0.2076
2023-02-04,North Dakota,72.0,107.05999999999999,110.14000000000001,67.92,0.2878,0.3658,0.5678000000000001,50.17999999999999,55.0,5.36,2.7399999999999998,0.5416000000000001,12.959999999999999,18.660000000000004,0.21200000000000002,0.5553999999999999,12.020000000000001,78.22,0.15619999999999998
2023-02-11,South Dakota State,67.0,100.8,112.75999999999999,69.38,0.292,0.3452,0.5298,49.02,53.48,4.92,2.7399999999999998,0.4908,12.140000000000002,17.82,0.2284,0.5658000000000001,11.78,78.35999999999999,0.19820000000000002
2023-02-16,Omaha,72.0,99.9,112.55999999999999,68.94,0.28700000000000003,0.3686,0.5382,48.48,55.36,4.639999999999999,3.3,0.49660000000000004,13.160000000000002,17.46,0.23280000000000003,0.541,11.38,76.06,0.21220000000000003
2023-02-18,Denver,68.0,98.26,117.3,68.52000000000001,0.2646,0.3862,0.5222,44.08,55.86,5.5600000000000005,2.2600000000000002,0.4788,12.18,16.56,0.219,0.5482,11.48,71.72,0.24939999999999998
2023-02-23,Oral Roberts,70.0,101.4,111.42,69.28,0.2874,0.36699999999999994,0.5283999999999999,45.92,54.08,7.06,4.9399999999999995,0.4880000000000001,11.62,20.199999999999996,0.2238,0.5326,13.440000000000001,73.17999999999999,0.28559999999999997
2023-02-25,Kansas City,82.0,102.02000000000001,118.17999999999999,68.78,0.23759999999999998,0.40099999999999997,0.5294000000000001,46.06,54.8,6.8,5.0,0.4962,12.860000000000003,22.020000000000003,0.18460000000000001,0.5555999999999999,11.78,72.14000000000001,0.2824
2023-03-05,North Dakota State,68.0,110.3,110.85999999999999,66.05999999999999,0.24359999999999998,0.4364,0.5664,45.86,57.04,7.4,6.34,0.5464,11.799999999999999,21.28,0.1736,0.5182,12.219999999999999,70.62,0.25139999999999996
