Date,Opp,Tm_Score,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Opp_eFG%.1,Opp_TOV%,DRB%,Opp_FT/FGA
2022-11-26,Boston University,63,101.42,82.38,70.92,0.3234,0.3888,0.5166,56.17999999999999,51.160000000000004,10.36,7.7,0.4784,15.38,33.58,0.2354,0.4304,19.38,78.16,0.2048
2022-11-27,UC-Davis,71,102.52000000000001,80.96,69.94000000000001,0.324,0.3828,0.5202,57.56,53.8,9.26,10.12,0.47780000000000006,15.3,33.8,0.24580000000000002,0.4024,17.22,78.7,0.2088
2022-11-28,Milwaukee,68,98.66,87.34,70.5,0.35019999999999996,0.35419999999999996,0.5176000000000001,52.25999999999999,55.160000000000004,9.120000000000001,9.82,0.4668,15.36,26.879999999999995,0.27460000000000007,0.4404,15.86,74.53999999999999,0.19740000000000002
2022-12-04,Missouri,89,97.04,91.4,72.22,0.3598,0.3984,0.505,50.94,61.839999999999996,10.540000000000001,12.66,0.45919999999999994,15.580000000000002,27.080000000000002,0.2652,0.4848,17.96,75.9,0.2414
2022-12-07,Purdue Fort Wayne,68,101.4,93.58,74.92,0.35019999999999996,0.40599999999999997,0.5376,51.86,60.260000000000005,9.379999999999999,13.8,0.502,17.18,28.6,0.24780000000000002,0.5032,18.1,77.16,0.24900000000000003
2022-12-14,Arkansas State,61,93.9,102.03999999999999,76.6,0.3174,0.4176,0.5222,47.96,60.7,9.940000000000001,13.919999999999998,0.48440000000000005,18.220000000000002,21.06,0.2304,0.5452,17.54,77.02000000000001,0.3052
2022-12-17,Iowa,75,92.2,105.75999999999999,77.53999999999999,0.34880000000000005,0.42860000000000004,0.525,44.42,61.4,9.899999999999999,11.260000000000002,0.4894,19.06,17.419999999999998,0.2424,0.5582,18.06,74.24000000000001,0.35340000000000005
2022-12-21,Southern Illinois,68,92.98,113.78,77.64,0.30019999999999997,0.44300000000000006,0.5222,43.32,58.4,7.62,8.94,0.492,17.46,17.080000000000002,0.20800000000000002,0.5766,15.7,73.24,0.3814
2022-12-29,Southern Indiana,81,95.14000000000001,112.5,75.8,0.2956,0.4316000000000001,0.5316000000000001,44.44,57.8,7.340000000000001,7.540000000000001,0.505,16.9,16.779999999999998,0.20139999999999997,0.548,13.440000000000001,73.36,0.36819999999999997
2022-12-31,SIU-Edwardsville,82,92.6,109.44000000000001,76.22,0.3448,0.4394,0.5108,43.839999999999996,56.239999999999995,7.56,9.66,0.4812,16.1,16.119999999999997,0.22759999999999997,0.5104,13.12,71.7,0.40599999999999997
2023-01-05,UT-Martin,82,99.02000000000001,108.03999999999999,74.32,0.3932,0.44020000000000004,0.5314000000000001,42.739999999999995,54.760000000000005,7.0200000000000005,8.059999999999999,0.5032,14.62,17.6,0.25739999999999996,0.4894,13.520000000000001,67.88000000000001,0.4338
2023-01-07,Little Rock,74,102.36000000000001,110.62,76.04,0.322,0.445,0.5272,43.34,52.080000000000005,7.980000000000001,7.62,0.5056,12.14,19.52,0.20860000000000004,0.514,13.919999999999998,69.34,0.46240000000000003
2023-01-12,Lindenwood,94,103.88,102.76000000000002,74.78,0.35100000000000003,0.445,0.5267999999999999,45.88000000000001,53.760000000000005,8.36,9.48,0.5067999999999999,12.759999999999998,23.18,0.2192,0.48860000000000003,16.2,70.8,0.43079999999999996
2023-01-14,Morehead State,91,109.78,101.97999999999999,75.47999999999999,0.3642,0.4304,0.5676,51.02,53.85999999999999,8.78,8.559999999999999,0.5558,13.219999999999999,26.2,0.2242,0.5086,17.04,75.84,0.3806
2023-01-19,UT-Martin,60,114.72,104.3,73.78,0.3542,0.4154,0.6038,50.42,53.739999999999995,8.940000000000001,6.640000000000001,0.583,13.319999999999999,24.199999999999996,0.25179999999999997,0.5318,16.94,75.34,0.348
2023-01-21,Tennessee Tech,84,106.67999999999999,103.96,75.38,0.3336,0.4102,0.5655999999999999,48.959999999999994,48.879999999999995,10.04,7.140000000000001,0.5422,14.6,23.58,0.23079999999999998,0.5626,18.22,76.82,0.2962
2023-01-26,Tennessee State,92,105.9,100.22,73.1,0.3436,0.3908,0.5646,52.11999999999999,49.120000000000005,9.940000000000001,9.459999999999999,0.5424,15.48,25.96,0.2332,0.5546,18.3,79.9,0.2112
2023-01-28,Eastern Illinois,79,109.83999999999999,101.32000000000001,73.63999999999999,0.37320000000000003,0.3964,0.5851999999999999,52.3,51.04,10.940000000000001,8.860000000000001,0.558,14.6,24.64,0.26539999999999997,0.568,17.94,79.9,0.2
2023-02-02,Little Rock,99,105.3,100.03999999999999,74.14000000000001,0.39139999999999997,0.39999999999999997,0.5578,47.84,53.279999999999994,10.879999999999999,10.06,0.518,14.9,22.46,0.2908,0.5509999999999999,18.28,75.03999999999999,0.2156
2023-02-04,Tennessee Tech,80,105.42,101.3,75.4,0.4274,0.4193999999999999,0.5498000000000001,47.96,57.540000000000006,10.0,10.540000000000001,0.5158,13.7,23.48,0.2994,0.5564,18.6,77.20000000000002,0.2512
2023-02-09,Tennessee State,65,110.04,101.28,75.7,0.4191999999999999,0.4276,0.5856,49.760000000000005,59.0,9.179999999999998,13.24,0.5526,13.939999999999998,21.520000000000003,0.3064,0.534,16.660000000000004,78.44000000000001,0.26599999999999996
2023-02-11,Morehead State,59,106.05999999999999,103.97999999999999,78.42,0.4715999999999999,0.4354,0.5831999999999999,46.48,54.760000000000005,9.5,10.959999999999999,0.54,15.86,19.080000000000002,0.3494,0.534,16.92,73.74000000000001,0.30219999999999997
2023-02-16,Eastern Illinois,78,100.58,104.88,75.76,0.47619999999999996,0.4082,0.5628,44.74,47.760000000000005,8.44,9.239999999999998,0.5132,16.4,16.959999999999997,0.35619999999999996,0.5188,14.940000000000001,72.5,0.3064
2023-02-18,Southern Indiana,85,100.58,104.05999999999999,75.52000000000001,0.44160000000000005,0.4276,0.5593999999999999,44.8,44.52,7.68,7.860000000000001,0.5126,16.16,17.380000000000003,0.3306,0.5254,15.98,73.28,0.2832
2023-02-23,Lindenwood,102,99.46000000000001,101.78,73.98,0.4544,0.4006,0.534,45.32,42.519999999999996,8.620000000000001,8.08,0.47440000000000004,15.180000000000001,19.44,0.3478,0.514,16.3,72.2,0.2644
2023-02-25,SIU-Edwardsville,78,100.5,102.92,73.47999999999999,0.47919999999999996,0.3892,0.5288,47.160000000000004,39.46,8.26,5.34,0.476,15.16,25.06,0.3454,0.5164,16.52,71.14000000000001,0.305
2023-03-01,Lindenwood,84,105.6,107.14000000000001,72.11999999999999,0.449,0.36979999999999996,0.533,46.22,43.92,7.6,5.640000000000001,0.48200000000000004,12.86,25.839999999999996,0.33019999999999994,0.5366,15.459999999999999,69.14000000000001,0.2852
2023-03-02,Tennessee State,91,107.85999999999999,102.75999999999999,75.56,0.4042,0.3638,0.5312,49.379999999999995,47.14,8.52,5.640000000000001,0.48860000000000003,12.12,29.439999999999998,0.29159999999999997,0.5271999999999999,17.860000000000003,73.02,0.3214
2023-03-03,Morehead State,65,108.75999999999999,105.44000000000001,77.35999999999999,0.49160000000000004,0.3134,0.5356,48.800000000000004,47.8,8.82,6.76,0.48019999999999996,11.8,29.839999999999996,0.36740000000000006,0.517,15.959999999999999,69.78,0.33399999999999996
2023-03-04,Tennessee Tech,89,104.22,100.22,76.42,0.43679999999999997,0.30720000000000003,0.5314,50.8,44.760000000000005,9.5,5.76,0.4866,13.62,28.04,0.3162,0.49140000000000006,15.38,72.6,0.29979999999999996
2023-03-14,Texas A&M-Corpus Christi,71,106.3,99.88,74.7,0.44559999999999994,0.3136,0.5337999999999999,50.24,47.5,8.379999999999999,6.82,0.47840000000000005,12.120000000000001,26.2,0.34340000000000004,0.4806,14.180000000000001,72.55999999999999,0.2586
