Date,Opp,Tm_Score,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Opp_eFG%.1,Opp_TOV%,DRB%,Opp_FT/FGA
2022-11-26,Bowling Green State,69,103.2,97.64,74.49999999999999,0.3114,0.4164,0.5922,53.44,54.6,12.2,10.26,0.5731999999999999,18.919999999999998,25.68,0.21259999999999998,0.4894,16.860000000000003,79.58,0.3044
2022-11-30,Western Illinois,78,100.44,90.16,72.32000000000001,0.2632,0.40219999999999995,0.5666,55.04,53.5,13.559999999999999,10.82,0.5484,17.6,25.68,0.178,0.46559999999999996,18.5,82.4,0.2762
2022-12-04,Chicago State,61,100.44,97.30000000000001,73.74000000000001,0.2056,0.3974,0.5513999999999999,52.44000000000001,49.980000000000004,12.48,9.9,0.5362,15.7,24.6,0.13599999999999998,0.5044,18.279999999999998,80.92,0.33440000000000003
2022-12-07,Anderson (IN),78,99.47999999999999,98.16,72.64,0.22960000000000003,0.3988,0.55,51.64,49.22,12.66,9.9,0.535,17.560000000000002,25.5,0.1462,0.5226,19.4,78.00000000000001,0.34299999999999997
2022-12-11,Indiana State,88,97.91999999999999,96.47999999999999,72.02000000000001,0.2528,0.3972,0.5208,51.5,51.0,13.660000000000002,5.96,0.5054000000000001,17.2,28.139999999999997,0.15560000000000002,0.5287999999999999,20.2,77.4,0.29680000000000006
2022-12-15,Saint Mary-of-the-Woods College,84,101.02,95.13999999999999,72.06000000000002,0.2874,0.397,0.5318,52.42,48.98,13.38,6.480000000000001,0.515,16.580000000000002,29.160000000000004,0.1784,0.5229999999999999,19.860000000000003,77.24,0.256
2022-12-19,IUPUI,87,105.78,91.36,71.62000000000002,0.3356,0.3912,0.5476,52.71999999999999,50.779999999999994,15.14,4.3,0.5332000000000001,16.240000000000002,32.16,0.203,0.5014,21.259999999999998,75.14,0.2622
2022-12-20,Purdue Fort Wayne,59,109.94000000000001,89.86,70.35999999999999,0.34500000000000003,0.4182,0.5664,56.06,54.94,14.5,4.16,0.5478,16.78,36.839999999999996,0.2204,0.4848,20.96,77.47999999999999,0.23620000000000002
2022-12-29,Southeast Missouri State,86,108.55999999999999,90.28,70.86,0.3024,0.4406,0.557,56.08,54.94,13.820000000000002,4.16,0.5408000000000001,16.580000000000002,36.64,0.19459999999999997,0.47800000000000004,19.14,77.16,0.18639999999999998
2022-12-31,Eastern Illinois,80,106.86000000000001,96.46000000000001,73.52000000000001,0.3806,0.4316,0.5393999999999999,54.54,52.82000000000001,12.22,3.84,0.5114,14.9,35.17999999999999,0.2524,0.49779999999999996,17.28,76.41999999999999,0.23040000000000002
2023-01-05,Morehead State,80,107.5,100.72,73.51999999999998,0.37,0.4346,0.55,54.31999999999999,57.220000000000006,11.960000000000003,3.8,0.5147999999999999,15.959999999999999,34.980000000000004,0.2654,0.5204,17.04,75.43999999999998,0.2548
2023-01-07,SIU-Edwardsville,62,105.75999999999999,111.9,73.97999999999999,0.37,0.42799999999999994,0.5444,55.06,53.58,8.280000000000001,3.78,0.5032,16.360000000000003,33.839999999999996,0.27540000000000003,0.5828,14.9,80.05999999999999,0.32
2023-01-12,Little Rock,74,99.58,111.34,73.56,0.3698,0.4342,0.5147999999999999,53.98,51.64,8.06,4.12,0.47239999999999993,16.559999999999995,31.5,0.2712,0.5726,14.74,80.42,0.3514
2023-01-14,UT-Martin,80,103.92,106.7,73.62,0.43080000000000007,0.4438,0.5274,55.339999999999996,52.04,7.779999999999999,4.58,0.4886000000000001,15.7,33.2,0.2952,0.54,14.680000000000001,80.76000000000002,0.3452
2023-01-19,Lindenwood,81,103.74000000000001,104.05999999999999,72.7,0.35540000000000005,0.45,0.5392,56.120000000000005,49.16,7.659999999999999,6.859999999999999,0.5050000000000001,17.119999999999997,33.2,0.2516,0.5102,14.440000000000001,81.62,0.36360000000000003
2023-01-21,SIU-Edwardsville,82,107.72,100.12,70.36,0.3096,0.462,0.5592,57.660000000000004,45.62,6.42,6.62,0.5356,16.9,35.17999999999999,0.20859999999999998,0.46840000000000004,13.4,80.94000000000001,0.3482
2023-01-26,Eastern Illinois,78,106.82000000000001,95.56,71.3,0.386,0.4614,0.556,56.620000000000005,46.56,7.380000000000001,6.5,0.534,16.759999999999998,34.18,0.2432,0.42800000000000005,12.46,77.94000000000001,0.2864
2023-01-28,UT-Martin,83,111.44000000000001,97.0,71.24,0.41400000000000003,0.43599999999999994,0.5574000000000001,56.34000000000001,45.6,6.8,6.0200000000000005,0.5414,14.4,35.42,0.24419999999999997,0.44819999999999993,11.4,76.32000000000001,0.21059999999999998
2023-02-02,Tennessee State,76,110.24000000000001,98.55999999999999,71.94,0.378,0.45219999999999994,0.5551999999999999,56.120000000000005,47.06,7.1,6.62,0.5304,14.3,34.940000000000005,0.244,0.4626,11.56,76.96,0.2266
2023-02-04,Morehead State,66,110.58,103.74000000000001,70.94,0.377,0.4572,0.5476000000000001,54.5,42.17999999999999,7.26,6.88,0.5204,12.879999999999999,31.68,0.2464,0.5098,10.940000000000001,77.73999999999998,0.2084
2023-02-09,Tennessee Tech,69,105.25999999999999,104.93999999999998,70.02000000000001,0.3604,0.43479999999999996,0.5126,53.1,40.599999999999994,8.16,7.040000000000001,0.4864,11.94,29.9,0.2312,0.5134,10.919999999999998,78.9,0.2274
2023-02-11,Lindenwood,74,103.4,109.82000000000001,68.84,0.2374,0.4438,0.5006,52.52,43.379999999999995,7.76,9.34,0.47859999999999997,11.879999999999999,30.9,0.1578,0.5534,11.959999999999999,78.2,0.2318
2023-02-16,Little Rock,82,103.55999999999999,108.08000000000001,68.08,0.2602,0.43240000000000006,0.514,49.879999999999995,45.67999999999999,8.74,8.48,0.47759999999999997,12.099999999999998,27.059999999999995,0.203,0.5412,13.819999999999999,75.54,0.2672
