Date,Opp,Tm_Score,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Opp_eFG%.1,Opp_TOV%,DRB%,Opp_FT/FGA
2022-11-23,Syracuse,76,112.64000000000001,90.46000000000001,74.8,0.2334,0.3122,0.5770000000000001,57.86,55.14,13.339999999999998,12.819999999999999,0.5556000000000001,15.9,37.62,0.174,0.48460000000000003,19.099999999999998,76.88000000000001,0.15560000000000002
2022-11-26,Niagara,78,109.82000000000001,91.6,71.36000000000001,0.24980000000000002,0.3008,0.5414,55.660000000000004,56.58,12.180000000000001,11.379999999999999,0.5174,13.419999999999998,34.980000000000004,0.17880000000000001,0.48040000000000005,17.64,76.02,0.1482
2022-11-29,LIU,95,104.66,88.94,73.64,0.29100000000000004,0.2722,0.5034,54.839999999999996,49.92,13.219999999999999,12.5,0.47859999999999997,12.24,35.72,0.18539999999999998,0.4686,18.5,77.38,0.1746
2022-12-04,Iowa State,60,102.42,84.8,75.55999999999999,0.28440000000000004,0.25620000000000004,0.507,55.58,52.02,13.440000000000001,11.66,0.485,13.64,34.64,0.1764,0.45459999999999995,19.3,77.12,0.1816
2022-12-07,DePaul,86,99.46,90.28,75.74000000000001,0.341,0.2598,0.5126000000000001,54.779999999999994,48.68,12.32,8.82,0.4772,15.580000000000002,31.48,0.229,0.48200000000000004,18.56,78.94,0.22400000000000003
2022-12-10,New Hampshire,64,103.01999999999998,90.18,74.63999999999999,0.3588,0.27759999999999996,0.5256000000000001,55.4,48.980000000000004,11.48,7.859999999999999,0.48919999999999997,15.420000000000002,34.120000000000005,0.2434,0.4668,16.78,75.94,0.19140000000000001
2022-12-17,Florida State,93,101.82000000000001,87.06000000000002,74.78,0.33740000000000003,0.27959999999999996,0.5126,55.06,43.98,11.7,11.36,0.47759999999999997,14.920000000000002,33.760000000000005,0.22799999999999998,0.45899999999999996,16.86,76.46000000000001,0.15560000000000002
2022-12-21,Villanova,63,106.62,90.18,74.22,0.2952,0.2914,0.5456,57.2,48.58,11.0,10.16,0.5115999999999999,15.98,36.08,0.21880000000000002,0.47640000000000005,16.740000000000002,76.52000000000001,0.1648
2022-12-28,Xavier,79,99.22,93.44000000000001,73.7,0.28300000000000003,0.3102,0.5012000000000001,53.96,49.82000000000001,10.32,10.84,0.46340000000000003,15.540000000000001,33.82,0.2156,0.47619999999999996,15.48,76.5,0.191
2022-12-31,Seton Hall,66,102.75999999999999,95.26,74.9,0.233,0.29979999999999996,0.508,52.36,53.17999999999999,11.700000000000001,11.72,0.4832000000000001,13.440000000000001,33.4,0.16899999999999998,0.4816,15.7,74.05999999999999,0.1668
2023-01-03,Marquette,85,97.53999999999999,101.34,74.75999999999999,0.207,0.2974,0.48200000000000004,50.39999999999999,52.879999999999995,10.620000000000001,12.559999999999999,0.4622,13.060000000000002,30.5,0.14039999999999997,0.5128,15.0,75.28,0.19860000000000003
2023-01-07,Providence,80,101.06,111.38,76.2,0.20820000000000002,0.2784,0.5132,50.3,55.120000000000005,10.64,10.34,0.49799999999999994,13.9,31.579999999999995,0.1382,0.5612,15.16,73.6,0.2572
2023-01-10,Butler,77,96.52000000000001,111.34,76.96000000000001,0.1968,0.26739999999999997,0.4948,48.160000000000004,50.480000000000004,10.8,9.319999999999999,0.4852,13.88,27.720000000000006,0.11480000000000001,0.5622,15.02,73.96,0.29100000000000004
2023-01-15,UConn,85,100.97999999999999,107.55999999999999,76.34,0.21939999999999998,0.264,0.5376,48.88,45.14,13.3,8.120000000000001,0.5244000000000001,15.5,27.5,0.13840000000000002,0.5531999999999999,17.48,73.10000000000001,0.2838
2023-01-20,Villanova,49,103.3,105.78,75.86,0.3026,0.25880000000000003,0.5508000000000001,49.32,42.120000000000005,12.120000000000001,6.980000000000001,0.534,15.220000000000002,26.619999999999997,0.19280000000000003,0.5514,18.86,74.52000000000001,0.31659999999999994
2023-01-25,Creighton,76,99.79999999999998,98.62,74.72,0.313,0.2486,0.54,51.279999999999994,46.56,13.180000000000001,7.459999999999999,0.5154,17.139999999999997,27.820000000000004,0.211,0.5202,20.240000000000002,75.92,0.30979999999999996
2023-01-29,Georgetown,75,98.25999999999999,101.74,74.17999999999999,0.3124,0.2358,0.5262,50.18,44.36,11.420000000000002,5.9399999999999995,0.5016,16.339999999999996,25.859999999999996,0.2076,0.5273999999999999,18.7,76.62,0.29599999999999993
2023-02-01,Seton Hall,72,98.28,100.43999999999998,73.14000000000001,0.2994,0.23819999999999997,0.5148,50.86,50.58,11.020000000000001,6.380000000000001,0.48979999999999996,16.42,30.059999999999995,0.1992,0.5108,18.240000000000002,73.35999999999999,0.24419999999999997
2023-02-04,Xavier,71,96.16000000000001,105.78,73.75999999999999,0.35239999999999994,0.2258,0.49119999999999997,51.260000000000005,51.739999999999995,8.26,8.879999999999999,0.4638,15.939999999999998,32.98,0.2252,0.5294,16.200000000000003,72.1,0.2392
2023-02-07,Butler,66,93.02,112.16,73.38000000000001,0.2712,0.23020000000000002,0.47140000000000004,52.86,56.94,8.579999999999998,9.5,0.4468,15.9,34.739999999999995,0.17179999999999998,0.565,14.36,75.61999999999999,0.22399999999999998
2023-02-11,Providence,73,97.6,114.88,73.72,0.2488,0.2212,0.49879999999999997,52.120000000000005,53.54,8.22,8.52,0.4822,14.360000000000003,31.52,0.1496,0.5730000000000001,13.36,75.44,0.23159999999999997
2023-02-14,DePaul,92,97.06000000000002,105.52000000000001,73.52,0.266,0.2414,0.5006,51.82000000000001,59.24000000000001,8.76,10.84,0.4758,14.080000000000002,29.619999999999997,0.175,0.5196000000000001,14.339999999999998,73.76,0.217
2023-02-18,Creighton,67,97.22,104.24000000000001,73.16,0.2778,0.24619999999999997,0.49820000000000003,53.21999999999999,57.4,9.14,11.440000000000001,0.46559999999999996,13.919999999999998,30.179999999999996,0.19519999999999998,0.5146,14.26,75.66,0.21739999999999998
2023-02-22,Georgetown,79,96.88,103.51999999999998,72.38,0.2434,0.2312,0.5034000000000001,51.779999999999994,58.64,10.040000000000001,11.080000000000002,0.4688,13.919999999999998,26.52,0.184,0.4984,14.36,74.41999999999999,0.22700000000000004
2023-02-25,UConn,86,98.46,96.1,72.78,0.25959999999999994,0.2258,0.5182,51.779999999999994,56.779999999999994,11.540000000000001,11.320000000000002,0.4822,14.819999999999999,26.3,0.19860000000000003,0.4646,16.04,72.67999999999999,0.199
2023-03-04,Marquette,94,100.82000000000001,100.16,74.94,0.32839999999999997,0.23200000000000004,0.5206,50.2,55.739999999999995,10.700000000000001,10.98,0.4756,14.680000000000001,29.74,0.25260000000000005,0.476,16.160000000000004,67.7,0.23020000000000002
2023-03-08,Butler,76,104.9,106.08000000000001,76.05999999999999,0.3256,0.23559999999999998,0.5452000000000001,52.9,52.839999999999996,10.120000000000001,8.72,0.5024,16.32,33.260000000000005,0.2534,0.5168,15.620000000000001,70.4,0.2596
2023-03-09,Marquette,70,105.58,105.14000000000001,76.26,0.3116,0.24020000000000002,0.5508,53.879999999999995,48.239999999999995,9.5,8.18,0.5154,16.919999999999998,34.22,0.23360000000000003,0.511,15.38,70.97999999999999,0.24640000000000004
