Date,Opp,Tm_Score,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Opp_eFG%.1,Opp_TOV%,DRB%,Opp_FT/FGA
2022-11-20,Green Bay,79,99.1,96.08000000000001,69.12,0.35,0.3772,0.5076,49.120000000000005,56.48,9.6,15.660000000000002,0.45619999999999994,13.6,25.919999999999998,0.27359999999999995,0.47119999999999995,13.919999999999998,71.32000000000001,0.1498
2022-11-26,Boise State,69,106.1,91.78,68.42,0.3622,0.3928,0.5488,53.36,59.6,10.559999999999999,16.479999999999997,0.5005999999999999,14.040000000000001,28.659999999999997,0.2874,0.4574,15.359999999999996,74.24,0.1392
2022-12-03,Long Beach State,88,100.54,98.86,68.1,0.3788,0.39239999999999997,0.5244,51.08,51.16,9.760000000000002,14.440000000000001,0.4744,14.64,27.8,0.2926,0.476,13.38,72.9,0.1666
2022-12-07,BYU,75,100.7,97.7,70.6,0.36740000000000006,0.3978,0.5247999999999999,51.9,50.64,10.22,14.819999999999999,0.473,14.580000000000002,29.459999999999997,0.2894,0.47519999999999996,14.279999999999998,73.25999999999999,0.179
2022-12-10,Northern Arizona,80,105.34,97.2,70.85999999999999,0.43979999999999997,0.4196,0.5748,50.96,53.44,10.959999999999999,11.96,0.5292,16.94,28.26,0.3296,0.47680000000000006,14.98,71.20000000000002,0.1808
2022-12-13,SAGU Amer. Indian Coll.,100,106.4,96.75999999999999,71.53999999999999,0.43339999999999995,0.3976,0.5908000000000001,52.54,56.839999999999996,9.6,11.16,0.5534,16.740000000000002,24.4,0.31880000000000003,0.4694,13.5,74.94,0.1708
2022-12-16,Antelope Valley,80,104.375,100.65,72.14999999999999,0.4344,0.4072,0.586,50.3,60.0,8.75,11.25,0.5498000000000001,16.16,24.025,0.315,0.475,12.275,71.975,0.19149999999999998
2022-12-20,Oregon,77,104.42500000000001,86.24999999999999,74.875,0.43360000000000004,0.4112,0.5814,54.775,67.74000000000001,10.675,14.175,0.5476,16.52,27.85,0.30839999999999995,0.435,15.774999999999999,76.6,0.16199999999999998
2022-12-29,Sam Houston,80,102.6,85.9,73.95,0.4368,0.38,0.5658000000000001,51.45,62.64,9.525,10.475,0.5304,15.48,23.099999999999998,0.30839999999999995,0.416,15.1,73.675,0.194
2022-12-31,Utah Tech,71,103.19999999999999,86.375,74.8,0.3832,0.384,0.5562,52.24999999999999,68.64,8.025,16.725,0.5226,14.62,24.700000000000003,0.2694,0.413,14.475000000000001,73.725,0.17099999999999999
2023-01-05,UT Arlington,72,102.175,83.225,75.75,0.3262,0.40540000000000004,0.5554,50.3,67.32000000000001,10.475000000000001,17.5,0.5298,14.98,25.550000000000004,0.22279999999999997,0.39,17.95,71.425,0.232
2023-01-07,Texas-Rio Grande Valley,75,102.32000000000001,84.85999999999999,74.64,0.3418,0.35960000000000003,0.5478000000000001,50.12,61.040000000000006,9.24,16.740000000000002,0.5204,16.400000000000002,25.26,0.23160000000000003,0.3956,16.7,70.05999999999999,0.20940000000000003
