Date,Opp,Tm_Score,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Opp_eFG%.1,Opp_TOV%,DRB%,Opp_FT/FGA
2022-11-25,Portland,71,107.46,102.2,64.56,0.37440000000000007,0.45820000000000005,0.5856,50.739999999999995,53.48,8.120000000000001,4.0,0.5306,14.180000000000001,19.34,0.3126,0.5162,15.7,77.38,0.17959999999999998
2022-11-27,Oregon,67,101.34,103.63999999999999,66.38,0.39280000000000004,0.5,0.534,49.620000000000005,52.339999999999996,7.94,1.34,0.47379999999999994,13.3,20.78,0.3206,0.5534,17.119999999999997,79.82,0.2036
2022-12-03,Oklahoma,70,103.78,107.14000000000001,65.44000000000001,0.378,0.5808,0.5279999999999999,48.04,58.720000000000006,8.620000000000001,3.34,0.472,11.600000000000001,22.9,0.3032,0.5752,17.919999999999998,76.78,0.1842
2022-12-07,Penn,70,107.16,112.58,65.4,0.34219999999999995,0.5406000000000001,0.5599999999999999,44.92,56.14,8.62,2.7399999999999998,0.5168,12.1,20.099999999999998,0.2708,0.5890000000000001,16.86,72.88000000000001,0.19840000000000002
2022-12-10,Boston College,77,107.93999999999998,109.1,64.78,0.35459999999999997,0.5512,0.5624,44.0,55.06,9.72,4.279999999999999,0.5152,11.879999999999999,20.0,0.2862,0.5592,17.220000000000002,71.28,0.22840000000000002
2022-12-17,St. Joseph's,71,111.64000000000001,105.84,63.9,0.34080000000000005,0.5248,0.5688,45.56,48.620000000000005,9.540000000000001,5.619999999999999,0.5246,9.2,19.28,0.2752,0.5489999999999999,17.380000000000003,74.06,0.2032
2022-12-21,St. John's (NY),78,113.16,101.86,62.9,0.31439999999999996,0.5370000000000001,0.592,49.0,53.3,8.719999999999999,8.04,0.5516,10.1,20.16,0.2598,0.5056,15.64,74.76,0.1508
2022-12-28,UConn,66,112.16,94.72,65.67999999999999,0.3228,0.49260000000000004,0.603,50.239999999999995,48.84,9.28,6.44,0.5584,10.940000000000001,17.28,0.27540000000000003,0.47879999999999995,15.700000000000003,77.84,0.12160000000000001
2022-12-31,Marquette,66,106.78,92.9,68.28,0.3206,0.5016,0.5782,52.239999999999995,47.2,8.08,5.7,0.5248,13.2,20.12,0.283,0.45899999999999996,14.8,80.4,0.17639999999999997
2023-01-04,Georgetown,73,104.11999999999998,94.47999999999999,69.08000000000001,0.2612,0.4974,0.5708,55.67999999999999,49.120000000000005,5.719999999999999,6.74,0.526,14.74,22.36,0.23199999999999998,0.4732,13.3,83.94,0.1456
2023-01-07,Xavier,80,102.22,94.26000000000002,69.42,0.25379999999999997,0.4974,0.5664,54.58,47.74000000000001,6.56,5.92,0.5148,15.8,21.919999999999998,0.2394,0.45840000000000003,12.38,81.88,0.1686
2023-01-10,DePaul,65,101.47999999999999,97.72,71.56,0.2384,0.4528,0.5566,50.08,41.5,7.56,3.5,0.5065999999999999,14.940000000000001,19.36,0.2274,0.491,13.959999999999999,80.24,0.2056
2023-01-13,Butler,71,100.62,103.74000000000001,69.58,0.2344,0.47759999999999997,0.5434,50.879999999999995,43.36,6.94,3.1,0.4962,15.76,23.26,0.21600000000000003,0.5182,13.719999999999999,80.76,0.25579999999999997
2023-01-16,Georgetown,77,104.46,107.85999999999999,68.16,0.2472,0.483,0.556,52.44,44.2,8.6,3.1,0.5189999999999999,14.8,25.259999999999998,0.20779999999999998,0.5546000000000001,14.360000000000003,82.7,0.2472
2023-01-20,St. John's (NY),57,106.8,108.41999999999999,68.74,0.3546,0.4351999999999999,0.5714,47.940000000000005,38.68,10.319999999999999,1.58,0.5286,13.76,20.259999999999998,0.2846,0.5597999999999999,15.38,80.22,0.2794
2023-01-29,Providence,65,102.28,106.24000000000001,68.56,0.3418,0.4276000000000001,0.5518000000000001,46.7,41.2,11.580000000000002,1.06,0.5152,15.1,20.939999999999998,0.26039999999999996,0.5513999999999999,16.860000000000003,78.56,0.278
2023-02-01,Marquette,64,102.14,105.6,65.66,0.3728000000000001,0.4234,0.5522,48.36,44.1,11.239999999999998,3.16,0.5130000000000001,15.479999999999999,21.999999999999996,0.2806,0.5376,15.76,78.36,0.24699999999999997
2023-02-04,Creighton,61,102.14,105.34,65.52000000000001,0.3782,0.457,0.5768,47.94,46.040000000000006,10.639999999999999,3.16,0.5388,17.119999999999997,16.419999999999998,0.28779999999999994,0.5342,15.040000000000001,79.38,0.2618
2023-02-08,DePaul,81,99.32000000000001,101.62000000000002,65.24,0.37639999999999996,0.4673999999999999,0.5576,47.260000000000005,47.260000000000005,9.399999999999999,5.92,0.5118,16.359999999999996,15.960000000000003,0.2948,0.4902,13.98,76.75999999999999,0.2552
2023-02-11,Seton Hall,58,101.6,100.14,64.8,0.281,0.506,0.5569999999999999,51.46,47.17999999999999,8.0,6.74,0.5186,16.0,20.400000000000002,0.22360000000000002,0.4728,12.660000000000002,79.16,0.23700000000000002
2023-02-14,Butler,62,102.16,101.92,64.56,0.29259999999999997,0.4748,0.5622,52.18000000000001,44.36,6.82,7.340000000000001,0.5282,15.88,20.020000000000003,0.22200000000000003,0.49560000000000004,12.760000000000002,81.78,0.22000000000000003
2023-02-18,Providence,72,102.17999999999999,96.36,64.06,0.313,0.49640000000000006,0.5568,52.5,46.78,7.5200000000000005,7.9,0.517,15.1,19.7,0.242,0.46979999999999994,13.419999999999998,81.9,0.2102
2023-02-21,Xavier,64,104.28,99.62,64.16,0.314,0.47020000000000006,0.5342,50.879999999999995,42.739999999999995,8.42,7.9,0.48999999999999994,11.680000000000001,23.119999999999997,0.24539999999999998,0.493,14.440000000000001,79.84,0.2372
2023-02-25,Creighton,79,104.92,98.33999999999999,64.42,0.2646,0.43600000000000005,0.5362,48.42,44.720000000000006,9.34,5.860000000000001,0.4981999999999999,10.84,19.74,0.20859999999999998,0.5102,16.18,79.91999999999999,0.2008
2023-02-28,Seton Hall,76,105.08,99.6,63.980000000000004,0.30200000000000005,0.41079999999999994,0.5364,47.480000000000004,47.36,9.68,5.2,0.4932,10.06,19.46,0.2412,0.49660000000000004,15.76,76.49999999999999,0.22699999999999995
2023-03-04,UConn,59,111.36000000000001,105.84,63.52,0.34879999999999994,0.46180000000000004,0.5804,46.42,48.88,9.14,7.840000000000001,0.5269999999999999,10.32,17.419999999999998,0.3078,0.5096,14.059999999999999,73.6,0.2592
2023-03-08,Georgetown,80,108.05999999999999,110.06000000000002,65.0,0.3438,0.4598,0.5748,44.96,45.3,9.540000000000001,5.859999999999999,0.5272,11.8,16.34,0.29219999999999996,0.5282,14.260000000000002,71.96,0.2868
2023-03-09,Creighton,74,111.96,99.91999999999999,64.18,0.3204,0.4798,0.5924,49.32,46.96,9.3,6.419999999999999,0.5522,11.620000000000001,18.439999999999998,0.2688,0.47440000000000004,13.64,75.48,0.2118
2023-03-14,Liberty,57,112.8,104.74000000000001,65.4,0.327,0.5087999999999999,0.5956,49.599999999999994,47.32000000000001,8.24,7.0,0.557,11.419999999999998,18.66,0.2692,0.49000000000000005,11.58,77.62,0.2444
