Date,Opp,Tm_Score,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Opp_eFG%.1,Opp_TOV%,DRB%,Opp_FT/FGA
2022-11-23,Tulane,71,108.0,88.74000000000001,71.06,0.2742,0.3656,0.5724,46.88,62.06,10.48,19.4,0.558,13.080000000000002,21.32,0.18639999999999998,0.4492,17.52,68.24000000000001,0.146
2022-11-26,South Carolina State,90,110.8,91.42,70.0,0.278,0.3856,0.588,49.9,62.44000000000001,10.620000000000001,19.4,0.5718,13.7,25.339999999999996,0.19619999999999999,0.4598,16.84,71.4,0.172
2022-11-30,Austin Peay,75,106.25999999999999,94.94,67.38,0.3104,0.4178,0.5592,49.92,65.62,9.88,19.76,0.5406000000000001,14.219999999999999,26.879999999999995,0.21100000000000002,0.48179999999999995,15.7,72.16,0.1646
2022-12-10,Wright State,64,108.9,102.42,66.94000000000001,0.35519999999999996,0.38339999999999996,0.5812,49.32,64.52000000000001,10.26,15.66,0.5614,14.180000000000001,25.74,0.24100000000000002,0.5239999999999999,15.5,72.64,0.179
2022-12-14,Louisville,83,108.78000000000002,94.86,69.46000000000001,0.35439999999999994,0.3666,0.5906,52.96,59.44000000000001,9.279999999999998,16.46,0.5694,15.739999999999998,26.040000000000003,0.24560000000000004,0.47779999999999995,14.86,76.4,0.1504
2022-12-22,South Carolina,58,108.52000000000001,101.34,70.64000000000001,0.29560000000000003,0.3742,0.575,53.0,57.44000000000001,8.04,14.8,0.5549999999999999,15.66,28.82,0.2056,0.5148,14.919999999999998,75.54,0.16599999999999998
2022-12-29,Rice,78,104.46000000000001,101.06,71.06,0.33280000000000004,0.3734,0.5408000000000001,48.919999999999995,46.06,7.42,14.26,0.5157999999999999,13.520000000000001,25.3,0.2218,0.5032,14.0,71.38,0.1518
2022-12-31,Middle Tennessee,60,99.53999999999999,104.01999999999998,72.06,0.30260000000000004,0.323,0.5216000000000001,47.08,41.6,7.839999999999999,13.940000000000001,0.4934,14.039999999999997,23.96,0.20380000000000004,0.5182,15.940000000000001,69.66,0.18780000000000002
2023-01-05,North Texas,66,95.12,101.38,72.08,0.2734,0.3566,0.495,46.74000000000001,41.1,6.36,12.48,0.47359999999999997,14.24,22.9,0.16920000000000002,0.48719999999999997,14.280000000000001,69.0,0.19480000000000003
2023-01-07,UTSA,74,98.88,107.52000000000001,69.9,0.3484,0.35280000000000006,0.502,46.120000000000005,40.49999999999999,7.26,15.059999999999999,0.4640000000000001,12.879999999999999,25.240000000000002,0.2406,0.5058,13.62,66.72,0.233
2023-01-11,UAB,80,96.94,99.6,69.35999999999999,0.3742,0.3516,0.495,45.9,42.5,9.580000000000002,17.939999999999998,0.4504,11.96,23.36,0.26539999999999997,0.46040000000000003,14.420000000000002,67.26,0.24480000000000005
2023-01-14,Florida International,70,101.46,101.56,70.36,0.3476,0.336,0.5258,46.440000000000005,46.36,10.0,17.3,0.484,12.38,23.3,0.2582,0.47759999999999997,15.5,68.2,0.2672
2023-01-16,Florida Atlantic,62,101.43999999999998,97.67999999999999,68.78,0.35540000000000005,0.35419999999999996,0.5401999999999999,47.56,49.559999999999995,9.600000000000001,19.159999999999997,0.4962,13.74,23.919999999999998,0.2718,0.45660000000000006,15.24,69.28,0.24220000000000003
2023-01-19,Louisiana Tech,74,101.26,99.96,69.44,0.3698,0.35760000000000003,0.5490000000000002,46.660000000000004,51.3,9.24,20.04,0.49940000000000007,14.819999999999999,23.48,0.29159999999999997,0.47800000000000004,17.1,69.11999999999999,0.2862
2023-01-21,Charlotte,71,100.24000000000001,100.66,70.0,0.2918,0.3988,0.5508,47.720000000000006,57.279999999999994,8.08,18.759999999999998,0.5158,15.799999999999997,23.0,0.2246,0.4968,17.3,71.32000000000001,0.24799999999999994
2023-01-26,Florida International,69,101.34,105.9,68.88000000000001,0.3002,0.41200000000000003,0.5534000000000001,45.92,50.81999999999999,7.38,14.0,0.517,14.639999999999997,20.32,0.23220000000000002,0.5376,15.86,73.16,0.2042
2023-01-28,Florida Atlantic,63,99.99999999999999,107.7,67.64,0.2832,0.42219999999999996,0.541,49.519999999999996,53.35999999999999,7.540000000000001,12.960000000000003,0.5018,16.2,26.779999999999994,0.2254,0.5589999999999999,15.620000000000001,74.62,0.15740000000000004
2023-02-02,UTSA,81,97.53999999999999,110.25999999999999,68.08000000000001,0.269,0.38180000000000003,0.5072000000000001,47.17999999999999,42.04,8.059999999999999,9.180000000000001,0.46579999999999994,13.9,25.36,0.2118,0.5736,15.760000000000002,72.78,0.1638
2023-02-04,UTEP,74,101.98,108.85999999999999,68.66,0.316,0.383,0.509,48.239999999999995,43.14,8.28,11.22,0.4628,11.32,26.2,0.24500000000000002,0.5426,13.059999999999999,73.72,0.1704
2023-02-09,Middle Tennessee,93,102.54,105.02000000000001,69.85999999999999,0.366,0.36,0.5168,49.699999999999996,39.17999999999999,8.58,11.78,0.4666,11.72,26.859999999999996,0.28159999999999996,0.5168,13.1,74.82000000000001,0.202
2023-02-16,Charlotte,64,105.14000000000001,105.28,71.97999999999999,0.4058,0.3356,0.546,49.879999999999995,42.67999999999999,8.58,14.080000000000002,0.4918,13.84,27.940000000000005,0.32460000000000006,0.5167999999999999,14.020000000000001,70.24000000000001,0.196
2023-02-18,Rice,77,103.16,101.84,70.96,0.38599999999999995,0.3368,0.5444000000000001,49.1,38.440000000000005,7.959999999999999,15.459999999999999,0.497,13.62,22.419999999999998,0.3012,0.4882000000000001,12.819999999999999,71.56000000000002,0.19440000000000004
2023-02-23,Louisiana Tech,76,106.44000000000001,104.8,71.36,0.353,0.3834,0.5664,49.44,46.18000000000001,7.12,18.139999999999997,0.5238,13.459999999999999,20.759999999999998,0.2808,0.49799999999999994,11.479999999999999,74.6,0.2212
2023-02-25,UAB,60,107.58,104.8,69.76,0.3232,0.3698,0.5811999999999999,50.3,42.32000000000001,8.540000000000001,15.2,0.545,15.66,22.040000000000003,0.2578,0.5282,12.879999999999999,74.08000000000001,0.1532
2023-03-02,UTEP,73,104.92,107.17999999999999,68.8,0.2716,0.3658,0.5644,49.14,45.279999999999994,7.44,14.34,0.5322,16.24,23.76,0.21839999999999998,0.527,11.4,71.03999999999999,0.1398
2023-03-04,North Texas,33,100.64,102.54,67.99999999999999,0.256,0.3408,0.5519999999999999,50.660000000000004,40.76,8.4,15.179999999999998,0.5366,17.5,24.96,0.1692,0.5115999999999999,12.8,73.1,0.1496
2023-03-08,UTEP,73,93.8,106.1,67.12,0.288,0.31179999999999997,0.51,49.34,42.3,9.040000000000001,12.14,0.4944,17.740000000000002,26.52,0.1732,0.5276000000000001,13.14,72.38,0.1556
2023-03-09,Florida Atlantic,51,94.42,103.38,66.02000000000001,0.3688,0.2944,0.5082,48.38000000000001,44.14,9.98,11.180000000000001,0.4896,17.82,28.48,0.22000000000000003,0.5166000000000001,14.0,67.4,0.10539999999999998
