Date,Opp,Tm_Score,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Opp_eFG%.1,Opp_TOV%,DRB%,Opp_FT/FGA
2022-11-26,Tarleton State,83,94.74,87.74,65.34,0.26139999999999997,0.36639999999999995,0.47400000000000003,54.1,33.54,8.680000000000001,10.82,0.44539999999999996,14.1,33.62,0.17740000000000003,0.421,15.1,74.03999999999999,0.1338
2022-11-29,Missouri,84,99.25999999999999,94.84,63.06,0.2992,0.3688,0.5,54.46,35.28,7.74,10.02,0.46659999999999996,14.940000000000001,36.160000000000004,0.2202,0.43760000000000004,13.26,72.6,0.1588
2022-12-03,Kansas State,50,101.05999999999999,94.66,65.52,0.2934,0.375,0.5302,54.3,37.7,7.5,10.68,0.5055999999999999,16.2,32.839999999999996,0.2064,0.4276,12.400000000000002,73.14,0.16440000000000002
2022-12-10,Longwood,81,97.56,93.66,66.55999999999999,0.27140000000000003,0.3858,0.5218,53.660000000000004,36.96,6.359999999999999,12.879999999999999,0.4998,17.2,29.700000000000006,0.189,0.4162,10.879999999999999,73.96,0.1946
2022-12-13,Mississippi Valley State,71,103.04,97.84,68.12,0.298,0.41259999999999997,0.5562,52.5,43.660000000000004,6.119999999999999,13.540000000000001,0.5316,16.84,25.640000000000004,0.2124,0.4412,10.64,73.68,0.1958
2022-12-17,Oklahoma State,49,104.24000000000001,91.36000000000001,68.9,0.2864,0.4507999999999999,0.5626,50.9,48.239999999999995,8.280000000000001,13.459999999999999,0.5428,14.919999999999998,22.32,0.1988,0.4204,12.98,73.68,0.1982
2022-12-22,Texas Southern,65,94.78,88.6,68.28,0.22800000000000004,0.4636,0.5152,48.08,43.58,9.56,13.86,0.4998,14.9,17.020000000000003,0.1412,0.43599999999999994,15.819999999999999,75.52000000000001,0.20400000000000001
2022-12-28,UCF,45,92.88,83.14,67.55999999999999,0.24619999999999997,0.41859999999999997,0.4915999999999999,48.31999999999999,42.459999999999994,10.24,13.64,0.4648,13.9,18.520000000000003,0.168,0.413,16.5,75.05999999999999,0.18919999999999998
2022-12-31,East Carolina,69,94.08000000000001,85.38,65.44,0.2582,0.437,0.4984,47.26,50.06,10.540000000000001,10.6,0.4666,13.52,20.0,0.1854,0.41500000000000004,16.94,72.05999999999999,0.1742
2023-01-05,Cincinnati,61,91.5,91.16,64.78,0.25,0.40980000000000005,0.477,46.92,47.900000000000006,10.320000000000002,10.48,0.44819999999999993,14.14,23.140000000000004,0.17099999999999999,0.43620000000000003,16.360000000000003,70.53999999999999,0.217
2023-01-08,South Florida,70,89.7,98.53999999999999,64.02,0.2694,0.3726,0.4638,46.42,39.99999999999999,9.34,10.540000000000001,0.43,14.139999999999997,25.299999999999997,0.18660000000000002,0.4586,14.040000000000001,67.88000000000001,0.1844
2023-01-14,Tulsa,73,92.8,97.46000000000001,66.46000000000001,0.26420000000000005,0.34720000000000006,0.47680000000000006,46.46,48.08,9.04,9.040000000000001,0.44580000000000003,13.620000000000001,26.839999999999996,0.182,0.4412,12.920000000000002,65.47999999999999,0.1702
2023-01-19,Memphis,78,95.08000000000001,101.17999999999999,66.46,0.2982,0.36140000000000005,0.4880000000000001,46.220000000000006,49.339999999999996,10.76,11.36,0.4474,13.160000000000002,26.82,0.22240000000000001,0.48100000000000004,14.239999999999998,67.16,0.1638
2023-01-22,SMU,71,100.38,106.72,69.79999999999998,0.319,0.34720000000000006,0.5064,45.04,46.08,10.32,14.219999999999999,0.4652,12.280000000000001,27.48,0.24020000000000002,0.5266,14.839999999999998,65.75999999999999,0.19059999999999996
2023-01-25,Tulane,90,98.32000000000001,101.05999999999999,71.74,0.41780000000000006,0.3282,0.5151999999999999,45.52,50.839999999999996,10.68,14.219999999999999,0.4612,13.059999999999999,24.500000000000004,0.31920000000000004,0.5078,16.18,67.9,0.17619999999999997
2023-01-29,East Carolina,85,102.08000000000001,103.33999999999999,72.9,0.4114,0.3682,0.5469999999999999,49.04,60.32000000000001,8.98,13.419999999999998,0.49499999999999994,15.339999999999998,25.0,0.3198,0.5212,14.579999999999998,73.62,0.221
2023-02-02,Houston,61,106.94000000000001,105.7,72.30000000000001,0.45380000000000004,0.362,0.573,50.3,59.06,9.040000000000001,15.02,0.5147999999999999,15.439999999999998,26.139999999999997,0.36319999999999997,0.5316,14.679999999999998,74.0,0.21800000000000003
