Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,@,UAB,L,70,111,81.4,129.1,86.5,.211,.316,.419,41.3,50.0,5.8,18.6,,.375,14.3,24.0,.171,,.602,11.4,70.0,.531

2022-11-10,@,USC,L,58,96,72.5,120.0,79.8,.212,.303,.399,43.8,36.4,10.0,7.1,,.371,19.9,28.6,.136,,.638,18.5,64.5,.200

2022-11-13,@,Pepperdine,L,62,91,80.5,118.2,77.3,.232,.203,.405,43.1,43.5,6.5,8.3,,.370,13.5,19.0,.159,,.627,11.1,76.7,.190

2022-11-15,@,San Jose State,L,57,70,89.1,109.4,63.8,.213,.279,.424,36.8,47.6,1.6,6.1,,.385,6.9,22.6,.164,,.559,14.8,53.8,.255

2022-11-20,@,Pitt,L,54,73,78.3,105.8,69.5,.138,.308,.390,44.7,50.0,10.1,9.1,,.377,14.8,28.6,.077,,.500,15.9,64.7,.177

2022-11-23,@,Duquesne,L,57,75,87.7,115.4,65.2,.410,.148,.391,52.0,42.1,4.6,2.9,,.344,15.1,46.5,.246,,.536,14.2,59.4,.268

2022-11-26,N,Eastern Illinois,W,67,58,100.0,86.6,67.5,.356,.407,.486,56.2,47.8,6.0,5.3,,.466,16.9,44.1,.203,,.386,16.3,66.7,.246

2022-11-27,@,Ohio,L,58,72,89.2,110.8,65.1,.092,.231,.427,43.7,25.0,12.3,6.7,,.415,10.5,26.3,.062,,.541,14.4,63.6,.098

2022-12-07,@,North Alabama,L,63,71,88.7,100.0,70.6,.143,.286,.468,35.7,45.8,7.0,8.3,,.444,9.4,5.6,.111,,.491,15.0,67.6,.286

2022-12-17,@,Georgia Tech,L,60,96,81.1,129.7,74.2,.227,.303,.410,41.9,43.5,4.1,4.5,,.379,8.7,11.9,.152,,.640,6.3,81.3,.132

2022-12-19,@,Arkansas State,L,65,72,101.6,112.5,64.4,.551,.265,.526,40.3,63.2,4.7,11.4,,.459,12.7,13.3,.408,,.509,11.0,65.6,.315

2022-12-21,@,Memphis,L,61,83,78.2,106.4,78.4,.208,.403,.385,49.3,50.0,11.5,0.0,,.347,15.0,30.2,.153,,.592,17.2,80.8,.200

2022-12-29,,Lane,W,90,78,103.4,89.7,86.6,.614,.298,.611,70.4,51.7,9.2,10.2,,.570,24.6,41.9,.439,,.472,12.0,92.5,.155

2023-01-02,,Mississippi Valley State,W,70,61,100.0,87.1,70.3,.421,.404,.512,56.7,57.1,8.6,4.3,,.430,16.0,37.9,.368,,.408,14.1,74.2,.200

2023-01-04,,Arkansas-Pine Bluff,W,80,66,111.1,91.7,71.8,.288,.348,.533,58.4,48.3,6.9,12.5,,.485,11.8,38.5,.242,,.459,15.9,78.9,.164

2023-01-07,@,Jackson State,L,58,61,84.1,88.4,68.6,.267,.417,.429,44.4,42.9,11.6,12.5,,.383,17.2,38.2,.200,,.369,14.9,50.0,.200

