Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,@,Ole Miss,L,58,73,81.7,102.8,70.8,.193,.263,.466,40.0,57.1,15.5,14.7,,.430,20.5,25.0,.158,,.449,18.1,51.4,.339

2022-11-12,@,Wichita State,W,66,57,108.2,93.4,60.9,.200,.345,.548,49.2,44.0,11.5,10.0,,.518,11.7,31.0,.164,,.444,16.5,66.7,.167

2022-11-15,@,Stephen F. Austin,W,69,60,95.8,83.3,71.9,.426,.241,.531,54.1,33.3,15.3,0.0,,.491,22.6,40.0,.296,,.435,21.7,63.9,.241

2022-11-22,@,UTEP,L (2 OT),61,73,76.3,91.3,62.1,.406,.319,.371,54.2,42.9,10.0,2.7,,.319,17.1,37.8,.246,,.464,13.7,73.7,.400

2022-11-23,N,Texas A&M-Corpus Christi,L,67,98,91.8,134.2,72.9,.411,.304,.501,49.1,36.0,8.2,12.9,,.491,19.3,31.3,.214,,.684,13.8,72.0,.351

2022-11-25,N,Cal State Bakersfield,W,62,54,87.3,76.1,71.1,.558,.288,.471,43.3,35.0,18.3,8.3,,.433,14.3,18.2,.327,,.417,25.5,74.1,.292

2022-11-27,@,Arizona State,L,54,76,75.0,105.6,72.3,.243,.329,.346,50.0,68.4,9.7,3.7,,.307,8.2,31.1,.157,,.519,15.4,81.5,.423

2022-11-29,@,Grand Canyon,L,72,80,116.1,129.0,61.8,.300,.283,.525,47.1,32.0,4.8,3.6,,.475,6.8,35.5,.250,,.653,13.2,65.0,.327

2022-12-04,@,Tennessee,L,40,94,56.3,132.4,70.5,.333,.333,.360,33.9,23.1,9.9,2.6,,.281,26.5,17.2,.271,,.587,12.9,50.0,.317

2022-12-10,@,Southern Illinois,L,68,74,100.0,108.8,68.0,.283,.250,.499,48.3,40.0,10.3,5.9,,.458,12.8,33.3,.217,,.635,24.7,68.0,.271

2022-12-18,@,Seattle,L,58,72,81.7,101.4,70.6,.203,.232,.383,49.2,25.0,9.9,9.5,,.355,9.6,34.3,.130,,.575,20.6,69.2,.208

2022-12-20,@,Dayton,L,46,88,68.7,131.3,67.0,.176,.221,.312,37.8,36.8,10.4,10.0,,.294,8.7,31.1,.088,,.558,12.1,48.3,.350

2022-12-29,@,Minnesota,,,,,,,,,,,,,,,,,,,,,,,

2023-01-02,,Jackson State,L,66,67,93.0,94.4,71.4,.462,.462,.521,60.3,52.4,12.7,4.9,,.462,24.9,50.0,.346,,.448,16.4,69.4,.259

2023-01-07,,Alabama A&M,W,89,76,120.3,102.7,74.3,.527,.273,.647,60.4,53.6,8.1,15.9,,.573,16.9,52.4,.473,,.484,15.9,65.6,.258

2023-01-09,,Alabama State,W,92,76,127.8,105.6,72.5,.424,.288,.580,58.3,32.3,11.1,6.9,,.545,9.2,38.9,.303,,.534,20.1,87.5,.659

2023-01-14,@,Texas Southern,W (1 OT),79,74,98.8,92.5,70.7,.352,.282,.477,54.7,36.0,12.5,4.8,,.408,10.8,35.9,.296,,.458,17.9,75.0,.339

