Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,@,Southern Illinois,L,63,94,88.7,132.4,71.5,.281,.281,.434,36.2,30.8,15.5,11.1,,.430,8.8,23.3,.125,,.691,21.3,57.7,.327

2022-11-10,,Arkansas Baptist,W,71,60,91.0,76.9,77.6,.460,.254,.462,58.0,65.2,3.8,13.0,,.405,17.2,34.2,.317,,.379,15.4,79.1,.210

2022-11-14,@,Central Arkansas,L,71,82,88.8,102.5,79.6,.294,.235,.458,49.3,51.9,11.3,4.2,,.426,17.1,37.8,.191,,.522,20.3,61.1,.145

2022-11-17,@,ETSU,L,76,84,97.4,107.7,78.1,.210,.387,.557,44.4,65.5,14.1,2.7,,.540,20.9,23.5,.145,,.563,17.4,63.2,.375

2022-11-20,,Jackson State,W,94,91,120.5,116.7,78.2,.333,.350,.676,54.2,50.0,6.4,7.9,,.658,21.5,45.8,.250,,.604,17.2,60.0,.149

2022-11-23,@,Indiana,L,68,87,90.7,116.0,75.2,.364,.379,.439,44.9,50.0,5.3,4.8,,.386,11.4,27.3,.258,,.627,16.0,76.0,.220

2022-11-26,@,Miami (OH),L,67,80,108.1,129.0,62.1,.259,.407,.552,47.2,64.0,16.1,0.0,,.519,12.9,27.6,.204,,.646,17.3,70.8,.375

2022-11-30,@,San Francisco,L,68,90,90.7,120.0,75.0,.351,.316,.511,48.6,37.5,8.0,6.3,,.456,19.4,21.9,.281,,.570,12.9,71.1,.266

2022-12-06,@,Memphis,L,71,87,89.9,110.1,79.1,.243,.471,.455,50.0,56.0,7.6,3.9,,.414,17.9,35.9,.186,,.587,17.2,67.7,.206

2022-12-12,,Philander Smith,W,83,54,110.7,72.0,75.3,.615,.288,.618,62.9,46.4,12.0,7.1,,.596,19.2,30.8,.404,,.375,21.1,86.1,.288

2022-12-17,@,Jacksonville State,L,62,72,89.9,104.3,68.7,.420,.440,.517,39.3,50.0,7.2,2.7,,.450,17.8,17.2,.340,,.491,15.1,63.0,.259

2022-12-20,,Central Arkansas,W,75,66,105.6,93.0,71.2,.381,.397,.504,59.0,50.0,5.6,5.3,,.444,12.9,38.5,.302,,.434,13.7,79.5,.213

2022-12-22,@,Arkansas State,L,75,77,117.2,120.3,63.6,.411,.232,.560,44.9,44.0,12.5,6.8,,.500,8.2,33.3,.339,,.534,13.4,53.8,.259

2022-12-29,,UT-Martin,W,88,74,110.0,92.5,79.9,.655,.276,.579,50.7,57.1,11.3,6.1,,.543,15.5,29.0,.431,,.430,16.3,67.5,.297

2022-12-31,@,Tennessee State,L,69,94,88.5,120.5,77.9,.306,.290,.486,41.7,53.8,7.7,3.2,,.468,15.5,16.7,.177,,.714,20.7,79.2,.250

2023-01-04,,Lindenwood,L,62,67,93.9,101.5,65.9,.172,.313,.448,48.5,48.0,9.1,0.0,,.430,10.4,29.3,.109,,.574,23.7,80.0,.277

