Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,Harding,W,86,55,122.9,78.6,69.8,.156,.328,.625,59.7,80.6,21.4,10.8,,.641,13.8,33.3,.063,,.429,20.8,81.1,.125

2022-11-12,@,LSU,L,52,61,82.5,96.8,63.3,.070,.439,.441,50.7,40.9,11.1,6.5,,.430,19.2,26.5,.053,,.471,17.0,75.8,.255

2022-11-14,,Lyon,W,82,58,122.4,86.6,67.4,.129,.257,.552,50.0,77.1,20.9,20.0,,.536,6.3,30.6,.100,,.500,30.0,75.0,.415

2022-11-18,@,UC-Davis,L,60,75,88.2,110.3,68.0,.333,.300,.432,44.3,33.3,13.2,6.9,,.392,13.7,29.3,.217,,.604,20.6,65.5,.208

2022-11-22,,UT-Martin,W,70,64,102.9,94.1,68.4,.286,.357,.550,58.0,57.7,8.8,9.4,,.536,18.0,27.3,.179,,.482,13.7,86.1,.158

2022-11-25,,Prairie View,L,59,67,89.4,101.5,65.8,.306,.531,.526,34.8,85.0,12.1,6.8,,.480,17.6,9.7,.245,,.434,16.8,55.3,.230

2022-11-27,,Bethel (TN),W,90,65,125.0,90.3,72.3,.293,.276,.681,54.8,58.8,12.5,11.6,,.655,19.5,30.8,.241,,.491,21.1,72.2,.200

2022-12-01,,Mississippi Valley State,W,58,38,105.5,69.1,54.6,.436,.410,.616,57.4,81.0,5.5,17.1,,.628,18.9,23.8,.231,,.323,14.2,78.8,.146

2022-12-06,@,Central Arkansas,L,67,72,97.1,104.3,68.8,.230,.311,.495,46.0,37.9,8.7,7.1,,.508,12.9,21.9,.082,,.500,15.8,71.0,.309

2022-12-09,@,Air Force,L,55,80,93.2,135.6,58.7,.170,.226,.480,57.7,57.1,3.4,3.4,,.453,20.8,41.4,.132,,.663,6.4,78.3,.212

2022-12-14,,Southeast Missouri State,W,68,61,98.6,88.4,69.5,.660,.226,.488,58.6,52.4,14.5,8.3,,.425,12.6,30.6,.434,,.468,20.2,88.2,.362

2022-12-19,,Alabama State,W,72,65,112.5,101.6,64.7,.426,.352,.554,59.7,66.7,9.4,16.7,,.509,11.0,34.4,.315,,.459,12.7,86.7,.408

2022-12-22,,Little Rock,W,77,75,120.3,117.2,63.6,.483,.241,.540,55.1,39.3,7.8,7.0,,.534,13.4,46.2,.259,,.500,8.2,66.7,.339

2022-12-29,@,Old Dominion,W,60,57,98.4,93.4,60.6,.622,.333,.515,48.5,52.6,13.1,14.6,,.456,15.9,29.2,.422,,.386,11.8,59.5,.228

2022-12-31,,Louisiana-Monroe,L,72,84,110.8,129.2,64.5,.392,.216,.595,45.5,57.7,10.8,13.9,,.559,16.6,30.8,.294,,.649,14.4,58.6,.175

2023-01-05,@,South Alabama,L,45,63,70.3,98.4,63.9,.224,.224,.351,51.5,18.8,4.7,9.1,,.302,14.6,23.1,.172,,.490,7.9,92.6,.231

