Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,@,Iowa,L,58,89,76.3,117.1,76.5,.106,.242,.418,43.1,47.8,7.9,5.9,,.386,18.8,20.0,.106,,.590,13.0,71.9,.149

2022-11-10,@,Indiana,L,49,101,68.1,140.3,71.8,.255,.294,.429,30.9,40.0,9.7,2.8,,.422,21.9,9.7,.118,,.667,15.6,58.3,.350

2022-11-14,,Florida National University,W,71,57,120.3,96.6,59.2,.245,.283,.600,58.9,50.0,10.2,16.0,,.585,11.9,34.6,.170,,.451,13.7,80.0,.216

2022-11-16,,Trinity Baptist,W,83,46,115.3,63.9,72.0,.210,.210,.609,66.2,61.8,20.8,25.0,,.597,18.0,41.4,.145,,.357,21.9,86.1,.107

2022-11-21,@,Charleston Southern,L,63,78,94.0,116.4,66.6,.250,.196,.503,44.6,29.2,7.5,3.2,,.473,14.9,26.7,.179,,.524,13.5,60.0,.190

2022-11-26,N,Idaho State,W (1 OT),68,66,100.0,97.1,60.0,.177,.210,.506,41.4,59.3,11.8,8.0,,.484,9.4,16.1,.129,,.545,20.3,70.4,.089

2022-11-27,N,Northwestern State,L,66,69,100.0,104.5,66.4,.351,.333,.496,40.6,52.2,15.2,7.0,,.456,10.7,25.0,.246,,.469,15.6,54.1,.123

2022-12-01,,Chicago State,W,86,73,121.1,102.8,71.4,.413,.317,.571,51.6,40.7,7.0,12.5,,.508,11.7,40.0,.349,,.466,15.8,61.8,.305

2022-12-10,@,North Florida,L,48,88,63.2,115.8,75.7,.203,.203,.342,39.1,55.6,14.5,8.0,,.297,15.6,20.9,.156,,.642,21.1,69.2,.183

2022-12-16,@,Incarnate Word,L,65,77,90.3,106.9,72.3,.161,.242,.487,55.4,40.7,12.5,10.5,,.484,23.9,41.2,.081,,.602,21.1,77.3,.367

2022-12-18,@,UTSA,L,69,90,95.8,125.0,72.2,.217,.367,.521,42.2,50.0,9.7,11.4,,.500,15.4,22.9,.150,,.560,15.4,65.5,.431

2022-12-22,,North Florida,L,85,87,109.0,111.5,78.1,.354,.262,.560,46.9,40.6,6.4,7.1,,.515,10.6,15.6,.277,,.540,9.6,78.1,.323

2022-12-29,@,Illinois,L,52,85,66.7,109.0,78.2,.345,.224,.385,46.5,35.3,15.4,9.7,,.319,22.9,23.7,.259,,.559,17.3,72.7,.322

2023-01-02,@,Florida A&M,W,67,59,108.1,95.2,62.6,.615,.327,.499,43.1,50.0,14.5,5.7,,.452,8.2,27.0,.385,,.415,16.8,64.3,.426

2023-01-07,@,Grambling,L,70,76,98.6,107.0,71.4,.423,.385,.560,40.0,40.9,7.0,5.1,,.500,22.4,25.9,.346,,.536,18.2,53.6,.309

2023-01-09,@,Southern,L,75,102,93.8,127.5,79.9,.333,.474,.568,42.9,28.0,8.8,0.0,,.535,24.1,17.6,.246,,.718,16.9,81.8,.418

