Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,Cornell,W,79,77,94.0,91.7,83.7,.181,.236,.505,54.9,55.9,19.0,18.5,,.500,18.7,33.3,.097,,.563,25.2,77.1,.095

2022-11-11,,Detroit Mercy,W,70,66,100.0,94.3,70.4,.317,.400,.507,47.8,41.7,11.4,16.1,,.475,15.8,31.6,.217,,.492,19.8,67.7,.117

2022-11-14,,Maine,L,64,69,94.1,101.5,67.6,.328,.310,.477,50.0,41.7,8.8,9.5,,.457,8.2,22.9,.190,,.491,14.4,80.6,.207

2022-11-18,N,George Mason,W,71,56,101.4,80.0,70.3,.310,.121,.533,54.8,32.1,8.6,13.8,,.517,15.3,26.7,.190,,.462,21.0,81.3,.154

2022-11-20,N,Tarleton State,L,54,70,84.4,109.4,63.6,.634,.220,.506,50.0,33.3,7.8,5.9,,.476,27.3,25.9,.366,,.556,13.7,78.3,.444

2022-11-21,N,Wyoming,W,59,48,98.3,80.0,60.0,.319,.277,.545,53.7,33.3,10.0,27.6,,.479,16.9,20.0,.298,,.448,20.1,82.8,.104

2022-11-27,,Rhode Island,W,53,49,75.7,70.0,70.0,.411,.250,.396,49.3,47.1,8.6,23.3,,.313,13.0,26.3,.321,,.331,19.3,73.0,.169

2022-11-30,@,Nebraska,L,67,88,106.3,139.7,62.8,.278,.407,.548,47.3,50.0,6.3,6.9,,.519,14.1,29.0,.204,,.731,14.2,70.8,.231

2022-12-03,@,Duke,L,59,75,93.7,119.0,62.7,.141,.344,.432,48.4,29.2,7.9,6.1,,.414,9.3,32.4,.094,,.604,14.5,72.0,.208

2022-12-06,,New Hampshire,L (1 OT),71,74,100.0,104.2,62.8,.431,.338,.453,45.1,28.0,11.3,7.3,,.408,10.3,35.6,.277,,.484,16.3,56.8,.226

2022-12-10,N,Villanova,L,56,77,86.2,118.5,65.4,.161,.464,.465,43.8,54.5,3.1,7.4,,.464,18.8,16.7,.071,,.565,7.3,78.6,.296

2022-12-13,,Stonehill,W,63,56,85.1,75.7,73.8,.365,.308,.516,46.9,31.8,18.9,8.6,,.471,18.7,6.9,.269,,.422,20.8,80.0,.121

2022-12-21,,Virginia Tech,W (1 OT),70,65,98.6,91.5,63.5,.167,.264,.450,48.1,41.4,9.9,6.5,,.424,10.4,36.4,.125,,.447,17.6,62.9,.091

2022-12-31,@,Syracuse,L,65,79,89.0,108.2,72.6,.375,.214,.493,47.8,52.2,12.3,6.5,,.446,20.5,28.6,.268,,.532,15.8,68.8,.210

2023-01-03,,Notre Dame,W,70,63,109.4,98.4,64.4,.352,.222,.555,58.7,60.7,1.6,9.7,,.537,12.5,25.9,.222,,.483,7.2,83.3,.083

2023-01-07,,Duke,L,64,65,95.5,97.0,67.2,.111,.270,.482,49.2,53.8,11.9,8.3,,.460,11.9,29.4,.095,,.453,19.5,72.4,.321

