Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,Air Force,W,62,58,89.9,84.1,69.0,.339,.357,.477,56.5,40.9,11.6,9.5,,.446,16.7,19.4,.214,,.509,16.2,93.5,.036

2022-11-11,@,Oakland,W,87,82,119.2,112.3,73.4,.338,.400,.577,61.2,48.3,6.8,5.9,,.538,16.6,45.7,.262,,.560,12.6,78.1,.293

2022-11-15,@,Wright State,L,71,80,89.9,101.3,79.1,.232,.348,.463,44.9,33.3,13.9,4.0,,.428,14.5,22.0,.174,,.558,18.0,78.6,.217

2022-11-19,@,St. Bonaventure,L,68,81,93.2,111.0,73.0,.171,.257,.449,47.8,46.4,9.6,0.0,,.421,9.6,27.8,.129,,.574,17.2,71.0,.352

2022-11-22,@,Notre Dame,L,66,82,97.1,120.6,67.9,.150,.350,.513,49.1,30.8,4.4,8.3,,.483,11.1,10.0,.133,,.616,5.9,96.0,.232

2022-11-26,,Southern Indiana,L,57,69,78.1,94.5,73.0,.217,.400,.431,47.1,85.7,8.2,11.1,,.408,19.5,23.7,.133,,.484,16.1,75.0,.127

2022-11-29,,Queens (NC),L,66,72,95.7,104.3,68.9,.113,.296,.441,48.0,37.0,10.1,13.5,,.408,13.8,40.9,.113,,.546,22.0,58.1,.241

2022-12-03,,Morgan State,W,86,76,113.2,100.0,76.1,.778,.333,.581,51.5,64.0,9.2,9.5,,.519,16.9,35.3,.556,,.531,17.6,68.8,.125

2022-12-11,@,Hampton,W,86,72,111.7,93.5,77.3,.368,.485,.538,54.7,69.0,10.4,14.3,,.515,7.0,23.1,.235,,.445,12.3,88.9,.418

2022-12-14,@,Norfolk State,L,75,81,108.7,117.4,68.8,.097,.516,.578,48.4,65.5,5.8,8.9,,.565,14.5,25.8,.081,,.552,10.2,71.0,.104

2022-12-17,,UT-Martin,L,67,75,91.8,102.7,72.7,.397,.466,.486,47.4,45.5,4.1,7.5,,.448,15.9,22.9,.259,,.449,9.5,68.3,.206

2022-12-19,,Fairmont State,W,93,74,124.0,98.7,74.9,.554,.268,.657,59.0,66.7,6.7,8.8,,.589,12.4,25.9,.482,,.500,14.8,85.3,.233

2022-12-29,,Ohio Dominican,W,102,65,139.7,89.0,72.7,.417,.400,.710,56.1,71.4,5.5,9.7,,.658,7.7,20.8,.383,,.403,9.7,76.2,.164

2023-01-03,@,Eastern Michigan,W,91,65,118.2,84.4,77.1,.176,.338,.617,53.4,50.0,9.1,14.3,,.603,14.0,36.7,.132,,.305,14.9,65.1,.406

2023-01-07,,Ohio,W,88,79,118.9,106.8,74.2,.317,.365,.607,46.8,58.1,9.5,17.5,,.571,6.5,17.2,.254,,.525,16.5,72.7,.246

2023-01-10,,Akron,L,70,74,101.4,107.2,68.9,.245,.396,.591,50.0,57.7,8.7,9.4,,.585,16.9,11.1,.151,,.492,11.6,78.4,.210

