Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,Colgate,W,88,87,102.3,101.2,86.1,.308,.323,.591,41.4,45.7,15.1,9.5,,.585,15.8,8.8,.185,,.580,21.2,87.5,.393

2022-11-12,,James Madison,L,62,97,69.7,109.0,89.2,.446,.393,.457,39.3,55.6,18.0,15.8,,.357,29.9,23.5,.393,,.580,24.9,59.3,.571

2022-11-15,@,UConn,L,64,84,81.0,106.3,78.7,.224,.293,.499,41.3,36.0,10.1,5.0,,.474,21.9,13.8,.155,,.492,16.4,64.7,.349

2022-11-18,N,Drake,L,72,80,98.6,109.6,73.2,.414,.259,.519,56.3,28.0,6.8,0.0,,.466,15.8,29.4,.310,,.559,11.5,86.7,.237

2022-11-19,N,Howard,L,59,63,83.1,88.7,71.0,.333,.463,.472,43.8,40.0,8.5,2.9,,.444,18.3,18.8,.204,,.417,19.7,68.8,.333

2022-11-21,N,George Mason,W,82,74,115.5,104.2,71.0,.536,.357,.584,48.1,37.9,9.9,0.0,,.571,11.4,25.9,.321,,.530,19.3,70.4,.420

2022-11-27,,Canisius,W,86,66,103.6,79.5,82.6,.318,.242,.566,50.0,59.4,13.3,11.1,,.530,16.5,27.6,.242,,.389,19.4,64.4,.139

2022-12-03,,St. Bonaventure,W,83,66,120.3,95.7,69.0,.356,.441,.602,56.7,62.1,8.7,11.1,,.551,11.5,37.9,.305,,.475,15.8,71.1,.150

2022-12-06,,St. John Fisher,W,91,53,107.1,62.4,84.8,.243,.543,.583,51.9,79.4,22.4,5.3,,.586,14.3,16.2,.129,,.379,27.6,85.0,.155

2022-12-10,N,Tulane,L,63,88,82.9,115.8,75.7,.459,.262,.424,62.0,47.4,3.9,16.2,,.344,17.7,37.8,.344,,.553,5.1,88.2,.227

2022-12-18,@,West Virginia,L,78,96,97.5,120.0,80.4,.203,.328,.556,44.4,51.6,10.0,6.7,,.547,17.6,22.6,.125,,.578,14.9,65.6,.344

2022-12-21,,SUNY-Canton,W,129,62,151.8,72.9,85.4,.296,.366,.797,76.1,58.0,11.8,16.2,,.789,13.8,40.9,.239,,.411,16.7,91.8,.027

2022-12-30,@,Michigan State,L,68,89,89.5,117.1,76.0,.152,.242,.481,47.8,39.3,5.3,17.5,,.462,16.5,24.3,.106,,.576,12.0,76.7,.356

2023-01-03,,Ohio,W,75,72,98.7,94.7,76.4,.342,.315,.442,51.6,55.6,13.2,4.7,,.425,10.5,34.7,.178,,.430,14.8,70.5,.266

2023-01-07,,Northern Illinois,W,80,62,115.9,89.9,69.5,.270,.413,.563,62.3,56.7,10.1,2.6,,.563,16.5,45.5,.143,,.436,13.0,77.8,.255

2023-01-10,@,Miami (OH),L,80,91,98.8,112.3,81.0,.655,.293,.526,49.2,37.0,16.0,6.1,,.491,18.3,34.4,.397,,.608,22.2,65.5,.300

