Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,San Diego Christian,W,68,35,103.0,53.0,66.0,.190,.302,.495,55.6,57.7,10.6,14.3,,.476,14.9,42.9,.127,,.286,26.9,71.4,.143

2022-11-11,@,Utah,L,44,72,67.7,110.8,65.4,.193,.298,.354,46.0,64.7,7.7,9.4,,.333,15.0,20.6,.105,,.567,14.0,75.9,.250

2022-11-16,@,Idaho,W,52,43,88.1,72.9,59.0,.196,.216,.466,50.9,21.1,11.9,22.2,,.412,13.9,22.2,.196,,.402,24.1,76.7,.130

2022-11-22,N,Texas A&M-Corpus Christi,W,73,63,104.3,90.0,69.8,.246,.386,.573,50.0,60.0,7.1,12.8,,.605,18.0,27.6,.070,,.379,13.3,66.7,.258

2022-11-23,@,UTEP,L (1 OT),67,68,97.1,98.6,61.1,.250,.219,.468,60.9,32.0,11.6,5.1,,.422,19.2,51.3,.203,,.528,18.2,73.3,.226

2022-11-25,N,Alcorn State,L,54,62,76.1,87.3,71.1,.458,.250,.462,56.7,44.4,7.0,5.4,,.417,25.5,25.9,.292,,.433,14.3,81.8,.327

2022-11-29,,La Sierra,W,90,49,132.4,72.1,68.2,.259,.207,.691,73.0,68.6,7.4,42.1,,.655,17.7,52.2,.241,,.380,20.0,85.0,.148

2022-12-03,@,Dartmouth,L,54,79,78.3,114.5,68.7,.175,.211,.437,47.5,26.1,10.1,8.0,,.430,20.6,23.5,.088,,.620,16.3,77.8,.222

2022-12-06,@,San Jose State,L,48,58,81.4,98.3,59.0,.175,.263,.389,31.8,40.0,10.2,10.3,,.386,6.1,20.0,.070,,.385,16.4,50.0,.438

2022-12-17,,Abilene Christian,L,59,65,90.8,100.0,64.5,.327,.184,.521,64.2,59.1,4.6,25.0,,.469,19.8,33.3,.265,,.510,14.4,89.7,.306

2022-12-20,,Fresno State,L,48,56,84.2,98.2,56.9,.500,.159,.441,57.4,46.2,5.3,5.9,,.318,21.6,39.3,.455,,.510,14.8,76.9,.146

2022-12-29,@,UC-Riverside,L,59,71,88.1,106.0,66.8,.172,.188,.426,38.8,52.2,14.9,7.4,,.375,11.5,27.8,.172,,.500,19.9,51.6,.365

2022-12-31,,UC-Irvine,L,75,79,104.2,109.7,71.5,.458,.186,.522,46.8,37.5,5.6,10.3,,.449,10.0,22.9,.373,,.613,16.8,77.8,.750

2023-01-05,,Cal Poly,W,61,51,100.0,83.6,60.8,.373,.235,.508,46.9,38.1,13.1,18.2,,.471,9.1,17.2,.255,,.365,15.6,71.4,.250

2023-01-07,@,UC-Davis,L,48,67,73.8,103.1,65.3,.326,.217,.452,45.8,41.2,6.2,3.1,,.402,26.3,20.7,.239,,.480,16.3,70.0,.353

2023-01-11,,UCSB,L,48,60,82.8,103.4,58.4,.250,.212,.413,42.6,38.9,15.5,6.9,,.375,12.1,19.4,.173,,.571,20.8,73.9,.286

