Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,@,Colorado,L,66,82,84.6,105.1,78.1,.139,.292,.430,51.9,24.1,6.4,7.8,,.431,13.5,30.8,.056,,.516,14.5,73.7,.250

2022-11-10,@,Loyola Marymount,W,81,79,106.6,103.9,76.3,.527,.255,.589,50.9,46.4,7.9,5.6,,.555,16.9,20.7,.364,,.579,15.0,84.6,.095

2022-11-17,@,Creighton,L,51,80,76.1,119.4,66.5,.097,.306,.393,41.4,45.5,1.5,2.5,,.379,12.2,15.8,.065,,.590,9.4,71.9,.131

2022-11-19,,Occidental,W,106,30,143.2,40.5,73.9,.127,.563,.704,72.7,52.5,14.9,4.3,,.697,12.7,46.4,.099,,.234,21.1,87.8,.016

2022-11-21,N,Weber State,W,72,65,109.1,98.5,66.5,.255,.418,.584,57.7,51.9,7.6,6.9,,.582,15.1,25.0,.145,,.523,16.1,95.8,.432

2022-11-22,N,Wright State,W,70,65,100.0,92.9,70.2,.133,.450,.549,50.8,50.0,7.1,0.0,,.550,15.8,15.6,.067,,.483,13.4,84.8,.155

2022-11-23,N,Abilene Christian,W,76,65,108.6,92.9,70.3,.404,.462,.613,54.7,66.7,10.0,2.8,,.548,21.5,34.6,.365,,.425,17.0,68.4,.233

2022-11-30,@,California Baptist,L,60,65,88.2,95.6,67.7,.246,.361,.440,43.3,50.0,5.9,3.2,,.393,11.7,22.2,.197,,.444,13.1,67.7,.315

2022-12-11,@,Idaho,W,76,74,115.2,112.1,65.7,.271,.373,.571,53.7,37.9,4.5,3.2,,.559,9.5,24.1,.169,,.605,14.8,88.0,.512

2022-12-14,@,Oregon,L,65,71,92.9,101.4,69.6,.154,.354,.466,45.5,38.5,8.6,0.0,,.446,12.5,25.7,.108,,.578,20.7,80.0,.422

2022-12-20,,San Diego,L (1 OT),84,92,112.0,122.7,67.2,.290,.500,.595,44.8,53.6,2.7,7.8,,.548,15.6,20.0,.258,,.521,3.5,64.9,.236

2022-12-22,,Portland,W,76,65,108.6,92.9,69.5,.162,.279,.519,57.4,56.7,10.0,0.0,,.500,9.8,31.3,.118,,.545,20.9,86.2,.386

2022-12-29,,Cal State Bakersfield,W,71,59,106.0,88.1,66.8,.500,.481,.552,61.2,72.7,4.5,7.7,,.500,19.9,48.4,.365,,.375,11.5,72.2,.172

2022-12-31,@,Long Beach State,W,73,72,98.6,97.3,74.7,.305,.407,.540,45.9,46.2,5.4,0.0,,.508,11.8,11.4,.220,,.449,9.4,76.9,.145

2023-01-05,,Cal State Fullerton,L,62,77,91.2,113.2,67.6,.200,.467,.472,61.1,82.6,5.9,10.3,,.442,22.4,42.4,.150,,.714,21.1,90.5,.405

2023-01-07,,Cal State Northridge,W,68,45,98.6,65.2,68.7,.360,.280,.581,65.6,52.0,4.3,5.7,,.570,22.5,32.0,.220,,.245,17.6,88.9,.468

