Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,@,Wichita State,L,55,79,70.5,101.3,78.1,.123,.411,.356,44.2,36.4,3.8,4.7,,.329,15.3,26.1,.096,,.484,11.6,71.0,.266

2022-11-11,,Hendrix,W,107,56,135.4,70.9,78.5,.222,.389,.672,67.5,51.2,12.7,7.7,,.667,13.1,44.8,.153,,.371,17.2,81.3,.161

2022-11-14,,Little Rock,W,82,71,102.5,88.8,79.6,.174,.304,.549,50.7,62.5,10.0,5.8,,.522,20.3,38.9,.145,,.426,17.1,62.2,.191

2022-11-18,N,Niagara,L,64,73,91.4,104.3,70.1,.250,.344,.447,45.9,34.8,1.4,9.8,,.414,14.4,24.3,.172,,.566,12.8,79.2,.245

2022-11-19,N,Rider,W,90,85,112.5,106.3,79.5,.604,.472,.660,44.0,42.9,10.0,4.8,,.632,18.0,24.0,.434,,.525,20.9,64.0,.367

2022-11-26,,Northwestern State,L (1 OT),66,74,82.5,92.5,71.1,.173,.347,.407,48.9,50.0,8.8,9.8,,.387,15.6,32.7,.107,,.399,8.5,67.4,.203

2022-11-27,,Idaho State,W,81,77,108.0,102.7,74.5,.070,.380,.552,55.4,41.2,6.7,15.4,,.549,13.0,29.4,.042,,.540,12.6,83.9,.143

2022-11-30,@,Loyola (IL),L,70,85,104.5,126.9,66.6,.232,.518,.563,42.9,50.0,7.5,12.5,,.545,16.2,21.9,.161,,.655,13.7,70.8,.236

2022-12-06,,Arkansas State,W,72,67,104.3,97.1,68.8,.345,.491,.562,54.0,50.0,8.7,7.1,,.500,15.8,29.0,.309,,.508,12.9,78.1,.082

2022-12-10,@,Oral Roberts,L,78,111,90.7,129.1,86.2,.090,.423,.480,45.6,30.0,14.0,5.3,,.455,16.4,25.0,.090,,.719,17.8,83.3,.297

2022-12-17,@,Oklahoma,L,66,87,95.7,126.1,68.5,.107,.607,.561,44.2,36.0,7.2,2.7,,.545,18.1,10.0,.089,,.718,14.2,90.9,.145

2022-12-20,@,Little Rock,L,66,75,93.0,105.6,71.2,.279,.377,.478,41.0,39.1,2.8,13.2,,.434,13.7,20.5,.213,,.444,12.9,61.5,.302

2022-12-28,@,TCU,L,57,103,71.3,128.8,80.2,.232,.435,.372,43.4,70.0,6.3,8.7,,.348,19.0,28.6,.130,,.568,7.6,64.7,.274

2022-12-31,@,Kennesaw State,L,66,82,80.5,100.0,81.7,.262,.462,.452,52.9,21.7,8.5,2.8,,.400,21.5,26.5,.215,,.532,14.9,77.8,.238

2023-01-02,,Florida Gulf Coast,L (1 OT),79,84,91.9,97.7,76.8,.304,.406,.500,47.5,55.2,8.1,20.0,,.486,16.8,19.5,.174,,.515,16.9,76.9,.206

2023-01-05,,Eastern Kentucky,L,75,77,100.0,102.7,75.0,.119,.373,.530,42.6,54.8,9.3,11.1,,.537,17.5,29.4,.045,,.537,19.0,55.9,.059

