Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,Coppin State,W,82,59,117.1,84.3,70.3,.393,.518,.617,57.6,50.0,12.9,9.4,,.589,14.2,24.2,.286,,.435,16.2,90.9,.222

2022-11-14,,Maryland-Eastern Shore,W,80,47,117.6,69.1,68.1,.333,.392,.677,61.7,58.6,8.8,14.3,,.647,18.0,21.7,.275,,.327,20.2,86.5,.250

2022-11-17,N,Boise State,W,54,42,85.7,66.7,63.4,.132,.321,.479,47.4,65.2,14.3,9.7,,.472,13.8,7.4,.075,,.361,17.6,83.3,.056

2022-11-18,N,Tulsa,W,68,65,111.5,106.6,61.1,.153,.203,.537,55.4,56.7,13.1,11.5,,.525,12.5,39.3,.102,,.555,17.4,71.4,.073

2022-11-20,N,UMass,L,54,60,87.1,96.8,61.7,.367,.429,.469,35.8,66.7,14.5,2.6,,.418,14.8,13.8,.265,,.520,20.3,62.5,.137

2022-11-23,@,Detroit Mercy,L,49,70,84.5,120.7,58.0,.240,.360,.440,50.0,64.7,5.2,3.8,,.400,17.7,31.3,.180,,.620,13.7,71.4,.160

2022-11-26,,Presbyterian,W,69,42,123.2,75.0,56.1,.107,.446,.586,52.7,55.6,16.1,17.4,,.571,6.4,20.7,.089,,.463,22.3,88.5,.098

2022-11-29,@,Davidson,W (1 OT),68,66,103.0,100.0,58.9,.172,.431,.542,55.0,51.9,6.1,7.1,,.543,12.5,21.9,.086,,.519,13.0,92.9,.231

2022-12-02,,Appalachian State,W,71,62,116.4,101.6,61.1,.167,.444,.609,51.7,57.7,9.8,7.1,,.593,12.1,22.2,.130,,.491,14.7,77.4,.189

2022-12-10,,Detroit Mercy,W (1 OT),82,80,122.4,119.4,59.9,.304,.304,.640,49.2,71.4,10.4,10.0,,.589,13.5,28.6,.286,,.553,13.5,64.9,.106

2022-12-17,@,Monmouth,W,80,46,135.6,78.0,59.1,.151,.509,.704,50.0,58.1,10.2,19.4,,.698,12.3,21.7,.113,,.352,18.1,72.4,.341

2022-12-22,@,UAB,L,68,76,98.6,110.1,69.8,.304,.500,.531,44.8,66.7,13.0,13.2,,.518,16.9,25.0,.179,,.538,16.3,63.3,.358

2022-12-29,,Middle Tennessee,W,82,67,132.3,108.1,62.1,.532,.213,.696,50.0,25.0,8.1,8.6,,.660,14.5,30.4,.426,,.483,12.5,65.5,.190

2022-12-31,,Louisiana Tech,W,68,66,106.3,103.1,64.4,.378,.400,.641,52.8,50.0,7.8,9.1,,.611,19.7,14.3,.289,,.518,13.8,78.1,.123

2023-01-05,@,Florida International,L,60,62,96.8,100.0,62.2,.255,.400,.487,50.0,47.6,1.6,5.9,,.445,14.0,23.5,.200,,.510,11.0,87.5,.196

2023-01-07,@,Florida Atlantic,L,67,71,113.6,120.3,58.6,.089,.393,.574,52.6,50.0,1.7,3.7,,.563,10.7,19.2,.071,,.580,3.2,80.6,.107

