Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,@,Boston College,L,77,79,91.7,94.0,83.7,.175,.571,.564,45.1,62.1,15.5,7.3,,.563,25.2,22.9,.095,,.500,18.7,66.7,.097

2022-11-10,,SUNY Delhi,W,114,57,135.7,67.9,83.9,.221,.676,.759,71.0,79.5,13.1,10.0,,.735,21.0,50.0,.206,,.361,16.2,83.7,.069

2022-11-14,@,Saint Francis (PA),W,80,77,109.6,105.5,72.7,.397,.345,.580,48.3,58.1,9.6,5.0,,.578,13.8,25.0,.224,,.508,11.0,70.0,.188

2022-11-18,,Ithaca,W,83,61,109.2,80.3,76.4,.283,.533,.610,51.4,72.4,9.2,8.3,,.583,18.1,20.0,.217,,.379,16.2,73.8,.167

2022-11-22,,Canisius,W,79,70,112.9,100.0,69.7,.213,.492,.588,57.9,56.7,14.3,3.2,,.582,11.8,27.3,.131,,.533,15.5,77.1,.082

2022-11-25,@,Monmouth,W,81,63,105.2,81.8,77.0,.150,.583,.630,49.2,74.2,15.6,14.0,,.633,21.9,24.1,.083,,.422,22.3,69.4,.141

2022-12-01,@,Delaware,W,74,67,108.8,98.5,68.1,.161,.452,.554,50.0,69.0,14.7,3.3,,.548,11.9,31.0,.097,,.561,23.6,72.0,.053

2022-12-04,,Lafayette,W,73,68,105.8,98.6,68.9,.295,.426,.525,50.8,50.0,11.6,12.1,,.492,10.3,26.5,.213,,.492,14.4,77.4,.150

2022-12-07,@,Miami (FL),L,105,107,129.6,132.1,81.2,.190,.456,.610,45.3,65.9,14.8,2.6,,.595,7.5,33.3,.139,,.654,16.2,60.7,.338

2022-12-17,@,Syracuse,L,63,78,86.3,106.8,72.8,.026,.632,.409,50.7,84.0,12.3,2.4,,.414,14.5,36.4,.000,,.560,16.5,74.1,.224

2022-12-20,,Lehigh,W,96,64,131.5,87.7,72.8,.081,.459,.625,56.9,57.9,13.7,3.1,,.615,3.8,24.2,.068,,.500,19.6,90.6,.164

2022-12-22,@,Colgate,W,91,80,126.4,111.1,71.9,.276,.431,.694,58.5,67.6,5.6,10.5,,.690,17.6,24.0,.190,,.593,9.6,89.3,.169

2022-12-29,,Binghamton,W,86,70,121.1,98.6,70.8,.397,.362,.624,44.6,40.0,22.5,2.4,,.586,11.5,27.6,.310,,.563,24.5,63.0,.125

2023-01-01,@,Dartmouth,W,74,63,102.8,87.5,72.2,.300,.467,.540,49.2,56.0,15.3,0.0,,.492,15.9,26.7,.250,,.526,25.3,72.4,.053

2023-01-06,,Penn,W,88,69,115.8,90.8,75.5,.365,.476,.595,49.1,67.7,14.5,5.7,,.571,11.9,25.8,.254,,.519,23.4,76.9,.241

2023-01-07,,Princeton,L,68,75,100.0,110.3,67.8,.228,.474,.538,46.6,45.8,17.6,11.1,,.509,14.8,25.8,.175,,.571,20.7,70.4,.388

2023-01-13,,Yale,W,94,82,128.8,112.3,72.6,.694,.551,.721,47.7,72.0,13.7,3.2,,.643,9.7,4.5,.633,,.647,19.7,90.9,.314

2023-01-16,@,Columbia,W,102,85,129.1,107.6,79.0,.541,.426,.665,42.6,71.0,12.7,3.1,,.607,13.5,33.3,.459,,.523,20.7,48.6,.262

2023-01-21,@,Harvard,L,89,95,125.4,133.8,70.7,.328,.569,.664,39.6,66.7,7.0,0.0,,.638,14.1,21.4,.259,,.698,14.4,65.0,.396

2023-01-28,,Brown,W,80,73,105.3,96.1,75.7,.206,.382,.536,55.3,40.6,9.2,21.9,,.522,14.8,38.2,.132,,.472,15.6,69.0,.085





2023-02-03,@,Princeton,L,82,89,106.5,115.6,77.4,.308,.385,.550,40.0,35.5,11.7,6.3,,.531,12.9,18.2,.200,,.660,20.9,72.7,.460

2023-02-04,@,Penn,L,86,92,117.8,126.0,73.6,.176,.568,.536,42.5,54.5,13.7,8.1,,.534,5.9,29.5,.095,,.608,15.7,58.3,.317

2023-02-11,@,Brown,L,66,80,88.0,106.7,75.0,.397,.483,.479,51.6,36.4,9.3,3.3,,.431,19.8,26.5,.276,,.630,19.2,82.1,.222

2023-02-17,,Dartmouth,W (1 OT),95,83,109.2,95.4,77.1,.516,.375,.596,49.2,54.8,13.8,6.9,,.563,14.9,23.5,.359,,.534,23.4,79.3,.339

2023-02-18,,Harvard,L,56,73,87.5,114.1,63.9,.429,.571,.475,49.2,50.0,10.9,3.1,,.398,18.1,29.4,.347,,.550,13.9,76.0,.360

2023-02-25,@,Yale,L,58,76,87.9,115.2,66.3,.347,.612,.508,42.1,52.6,16.7,0.0,,.469,17.4,12.5,.245,,.618,17.9,80.0,.255

2023-03-04,,Columbia,W,87,73,120.8,101.4,72.1,.305,.508,.644,61.4,59.4,13.9,6.9,,.636,15.1,32.0,.203,,.565,20.6,84.4,.222

2023-03-11,N,Yale,L,60,80,82.2,109.6,72.6,.197,.455,.416,44.3,59.1,15.1,10.0,,.394,13.2,23.8,.121,,.571,16.5,75.0,.286

