Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-09,,IUPUI,W,80,48,108.1,64.9,74.3,.400,.440,.672,61.2,37.0,10.8,17.0,,.630,23.2,21.7,.340,,.305,14.3,81.8,.141

2022-11-14,,Wofford,W,80,72,125.0,112.5,64.5,.185,.369,.566,56.1,42.4,10.9,13.8,,.546,4.1,35.5,.138,,.573,15.4,80.8,.164

2022-11-18,N,Buffalo,W,80,72,109.6,98.6,73.2,.356,.322,.580,43.8,44.8,1.4,4.7,,.559,11.5,13.3,.237,,.466,15.8,70.6,.310

2022-11-20,N,Wyoming,W,61,56,100.0,91.8,61.1,.250,.327,.524,50.0,45.5,4.9,0.0,,.481,13.4,24.1,.212,,.489,20.3,75.9,.239

2022-11-21,N,Tarleton State,W,71,64,101.4,91.4,69.6,.795,.462,.661,56.1,63.2,4.3,12.5,,.590,22.9,18.2,.641,,.415,12.4,80.0,.254

2022-11-26,,Louisiana,W,76,64,105.6,88.9,72.1,.333,.383,.547,51.5,48.0,6.9,2.7,,.483,15.8,30.3,.300,,.467,19.6,71.4,.133

2022-11-30,@,Indiana State,L,73,75,94.8,97.4,77.2,.306,.306,.514,48.4,46.4,14.3,8.7,,.484,14.5,18.2,.210,,.509,20.6,82.8,.370

2022-12-03,,UIC,W,77,64,110.0,91.4,70.1,.396,.453,.611,44.6,53.8,10.0,9.7,,.575,14.9,13.3,.302,,.458,18.7,71.4,.169

2022-12-07,,Omaha,W,78,65,111.4,92.9,69.7,.254,.349,.552,59.4,55.2,11.4,4.3,,.516,11.3,30.3,.206,,.492,13.7,90.3,.100

2022-12-10,@,Richmond,L,52,82,69.3,109.3,74.5,.321,.375,.403,39.7,27.8,8.0,8.1,,.348,16.8,9.5,.232,,.591,16.6,88.5,.309

2022-12-17,@,Saint Louis,L,75,83,107.1,118.6,69.7,.290,.387,.532,40.3,59.3,5.7,5.6,,.508,6.6,15.8,.194,,.492,8.6,67.6,.333

2022-12-20,N,Mississippi State,W,58,52,89.2,80.0,65.1,.103,.552,.477,50.8,57.1,9.2,6.1,,.448,17.6,28.6,.103,,.452,23.2,76.7,.096

2022-12-21,,St. Ambrose,W,124,48,155.0,60.0,80.0,.154,.474,.741,68.0,61.2,10.0,15.2,,.744,8.7,41.4,.103,,.299,17.2,84.8,.119

2022-12-29,,Valparaiso,W,68,63,101.5,94.0,66.5,.393,.250,.512,55.2,41.7,6.0,2.6,,.455,11.9,28.1,.304,,.432,9.5,80.0,.203

2023-01-01,@,Missouri State,L,49,52,79.0,83.9,62.3,.140,.228,.403,51.6,60.0,12.9,7.7,,.395,14.1,25.0,.070,,.480,20.5,78.1,.080

2023-01-04,@,Southern Illinois,L,49,53,80.3,86.9,60.9,.148,.352,.424,48.5,50.0,3.3,3.1,,.398,18.4,25.0,.111,,.373,11.8,75.0,.294

