Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,Erskine,W,80,55,105.3,72.4,76.3,.323,.369,.534,60.3,60.7,11.8,10.0,,.492,19.4,40.5,.246,,.385,20.3,78.0,.131

2022-11-11,N,ETSU,L,64,77,90.1,108.5,70.6,.281,.491,.495,45.9,56.0,8.5,2.4,,.482,13.4,18.2,.158,,.551,14.0,78.6,.203

2022-11-13,N,Harvard,L,77,92,102.7,122.7,74.7,.518,.411,.552,37.5,44.0,12.0,6.7,,.509,13.6,17.6,.357,,.600,17.3,60.0,.473

2022-11-17,,North Dakota,L,73,77,107.4,113.2,68.4,.625,.313,.586,46.3,45.5,4.4,0.0,,.531,17.3,28.6,.458,,.517,14.0,65.4,.293

2022-11-19,@,NC State,L,63,74,90.0,105.7,70.0,.220,.424,.483,45.8,60.9,5.7,5.6,,.449,12.1,11.8,.169,,.500,8.9,76.3,.072

2022-11-22,@,Jacksonville State,L,53,78,77.9,114.7,67.6,.283,.566,.441,35.6,52.9,16.2,4.2,,.406,16.6,17.1,.189,,.615,21.8,62.5,.269

2022-11-27,,Radford,L,53,69,84.1,109.5,63.5,.183,.467,.406,41.2,47.4,9.5,5.0,,.375,9.7,23.7,.133,,.500,13.4,63.3,.169

2022-11-30,@,High Point,L,70,84,94.6,113.5,74.4,.349,.413,.477,52.1,61.5,6.8,0.0,,.444,17.9,42.1,.222,,.523,13.6,62.9,.246

2022-12-03,,UNC Greensboro,L,61,65,88.4,94.2,69.0,.288,.462,.516,50.8,36.4,7.2,4.8,,.490,18.0,12.0,.192,,.476,12.9,76.3,.097

2022-12-11,,Johnson & Wales (NC),W,101,69,136.5,93.2,74.0,.286,.429,.706,60.3,70.3,6.8,9.3,,.698,12.3,26.9,.206,,.457,8.8,83.8,.071

2022-12-15,@,Presbyterian,L,63,69,100.0,109.5,63.2,.236,.436,.515,41.7,56.5,9.5,5.0,,.491,12.8,23.3,.164,,.520,14.6,60.0,.367

2022-12-18,@,Valparaiso,L,66,71,91.7,98.6,72.4,.139,.375,.430,42.2,51.9,18.1,4.2,,.396,5.0,17.5,.125,,.612,24.0,83.3,.224

2022-12-20,@,Indiana,L,72,96,92.3,123.1,78.4,.321,.453,.589,37.7,44.0,11.5,0.0,,.566,22.8,3.4,.226,,.638,14.7,68.8,.116

2022-12-29,@,Drexel,L,50,62,84.7,105.1,59.5,.286,.306,.449,39.0,47.4,13.6,14.3,,.439,16.5,18.8,.143,,.529,17.6,63.0,.135

2022-12-31,@,Delaware,L,52,57,77.6,85.1,66.8,.426,.383,.460,50.8,37.5,9.0,5.9,,.394,22.1,20.0,.319,,.435,17.5,78.8,.185

2023-01-04,,UNC Wilmington,L,66,81,97.1,119.1,68.3,.396,.313,.579,39.7,37.5,5.9,7.8,,.552,18.6,12.0,.271,,.507,9.7,60.6,.194

