Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,Stony Brook,W,81,45,114.1,63.4,70.9,.295,.410,.582,61.5,41.4,11.3,16.7,,.557,12.6,31.0,.213,,.365,23.6,86.1,.135

2022-11-11,,Kennesaw State,W,88,78,115.8,102.6,75.6,.600,.200,.623,52.3,43.3,5.3,18.9,,.582,12.4,21.4,.436,,.471,8.2,75.7,.171

2022-11-14,,Florida Atlantic,L,74,76,97.4,100.0,76.2,.250,.250,.486,58.9,53.8,3.9,17.8,,.441,13.6,31.6,.206,,.514,10.0,88.6,.072

2022-11-18,@,Florida State,W,76,67,98.7,87.0,76.9,.517,.283,.509,58.8,45.8,6.5,11.1,,.425,14.8,35.3,.417,,.434,19.0,82.4,.230

2022-11-24,N,Xavier,L,83,90,105.1,113.9,79.2,.101,.342,.501,48.6,54.3,11.4,12.8,,.500,11.7,29.5,.051,,.644,18.0,78.6,.237

2022-11-25,N,Oregon State,W,81,68,122.7,103.0,65.9,.283,.358,.674,50.9,50.0,6.1,11.4,,.642,11.7,13.0,.245,,.536,12.4,80.0,.143

2022-11-27,N,West Virginia,L,55,84,69.6,106.3,78.9,.379,.293,.402,32.8,35.0,7.6,18.0,,.362,16.0,10.8,.224,,.485,14.1,60.0,.284

2022-11-30,,Florida A&M,W,102,62,139.7,84.9,72.9,.167,.333,.716,58.6,43.9,15.1,17.5,,.720,13.4,37.5,.106,,.414,19.6,73.5,.241

2022-12-04,,Stetson,W,89,51,132.8,76.1,67.0,.491,.415,.681,59.3,50.0,7.5,8.1,,.632,13.3,37.5,.415,,.370,19.6,74.3,.204

2022-12-07,,UConn,L,54,75,76.1,105.6,70.8,.528,.283,.407,39.1,37.5,11.3,15.4,,.340,15.3,16.2,.340,,.578,19.4,70.4,.138

2022-12-14,N,Ohio,W,82,48,113.9,66.7,72.3,.389,.407,.641,62.3,50.0,8.3,10.8,,.611,18.0,17.4,.296,,.343,16.2,89.5,.255

2022-12-20,N,Oklahoma,L,53,62,76.8,89.9,68.6,.230,.361,.392,46.1,30.0,10.1,17.1,,.344,12.9,15.0,.180,,.462,15.2,80.6,.245

2022-12-28,@,Auburn,L,58,61,87.9,92.4,65.7,.404,.404,.518,45.6,47.4,13.6,14.6,,.436,17.6,20.8,.362,,.409,17.4,63.6,.291

2023-01-04,,Texas A&M,L,63,66,91.3,95.7,69.4,.500,.432,.579,50.8,50.0,5.8,8.9,,.534,23.8,22.2,.364,,.393,11.9,71.1,.295

2023-01-07,,Georgia,W,82,75,110.8,101.4,73.8,.279,.361,.594,50.0,50.0,6.8,18.8,,.549,11.5,19.4,.246,,.456,10.5,74.4,.191

2023-01-10,@,LSU,W,67,56,98.5,82.4,68.4,.667,.521,.530,45.5,52.6,14.7,25.8,,.448,13.7,20.0,.500,,.364,18.4,66.7,.220

