Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,Virginia State,W,85,58,114.9,78.4,73.5,.443,.492,.576,54.1,53.3,8.1,15.6,,.574,16.9,35.9,.246,,.347,15.1,69.6,.288

2022-11-11,,Howard,W,85,75,119.7,105.6,70.7,.592,.429,.677,63.0,66.7,4.2,11.4,,.633,17.2,30.0,.469,,.508,7.7,82.4,.156

2022-11-14,@,Hofstra,L,80,85,117.6,125.0,68.5,.226,.472,.681,50.0,44.8,5.9,13.5,,.651,19.3,15.0,.208,,.619,10.5,71.9,.111

2022-11-18,,Maryland-Eastern Shore,W,69,64,94.5,87.7,72.9,.549,.333,.537,50.7,43.5,9.6,5.3,,.490,20.9,29.0,.373,,.413,14.0,68.4,.190

2022-11-22,,UC-San Diego,L,70,75,104.5,111.9,66.6,.263,.439,.546,54.1,53.8,11.9,13.5,,.518,15.8,34.5,.193,,.593,15.8,71.9,.204

2022-11-26,,New Hampshire,W,75,54,121.0,87.1,62.4,.327,.404,.624,57.8,50.0,4.8,20.0,,.567,13.0,31.8,.308,,.373,5.3,71.4,.060

2022-11-30,,South Carolina,W,79,55,117.9,82.1,67.0,.169,.458,.620,52.2,70.0,9.0,7.5,,.610,15.8,31.0,.119,,.385,13.7,67.5,.077

2022-12-04,@,Radford,L,76,86,104.1,117.8,73.0,.322,.458,.559,38.9,35.7,8.2,4.8,,.551,13.9,16.1,.186,,.603,13.9,69.6,.276

2022-12-10,,American,L,64,69,97.0,104.5,66.0,.364,.527,.496,45.3,47.6,15.2,14.3,,.445,12.2,20.7,.273,,.583,19.8,75.0,.271

2022-12-13,,Coppin State,W,83,71,120.3,102.9,68.9,.311,.508,.593,67.2,53.6,5.8,6.1,,.541,15.7,43.8,.279,,.579,12.7,93.1,.088

2022-12-22,N,Washington State,L,64,66,97.0,100.0,65.6,.218,.327,.527,39.7,40.7,6.1,3.2,,.518,11.6,13.3,.127,,.482,16.5,63.6,.193

2022-12-23,N,Pepperdine,L,70,81,92.1,106.6,76.4,.274,.177,.499,38.7,25.9,9.2,2.7,,.452,15.6,17.1,.226,,.607,21.3,66.7,.115

2022-12-25,N,Seattle,L,67,85,88.2,111.8,75.7,.547,.491,.502,32.8,31.8,7.9,8.6,,.472,13.0,8.8,.321,,.507,13.4,60.0,.183

2022-12-31,@,Loyola (IL),W,97,87,138.6,124.3,70.1,.500,.340,.784,57.7,50.0,4.3,9.3,,.740,20.5,44.4,.460,,.581,10.9,64.7,.118

2023-01-04,@,Richmond,L,63,73,95.5,110.6,65.6,.148,.426,.483,46.9,36.0,9.1,12.1,,.451,9.7,21.6,.131,,.542,15.3,81.5,.438

2023-01-07,,UMass,W,81,73,106.6,96.1,75.6,.439,.404,.588,53.0,48.1,11.8,9.1,,.535,16.9,29.0,.351,,.508,18.5,74.3,.091

