Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-08,@,San Jose State,L,48,63,71.6,94.0,66.7,.250,.268,.383,45.3,26.7,6.0,3.0,,.304,14.9,15.8,.250,,.510,14.6,88.5,.192

2022-11-10,@,Santa Clara,L,62,78,81.6,102.6,76.3,.143,.429,.461,40.3,32.0,11.8,0.0,,.444,17.2,8.8,.095,,.518,18.0,72.7,.382

2022-11-12,,Trinity Baptist,W,53,32,79.1,47.8,66.6,.449,.449,.446,58.9,52.6,20.9,29.4,,.429,28.8,50.0,.224,,.241,25.1,67.6,.111

2022-11-18,@,Rice,L,71,88,98.6,122.2,72.3,.300,.317,.518,32.2,50.0,12.5,3.2,,.517,8.0,2.9,.150,,.704,19.5,75.0,.222

2022-11-19,@,Houston Christian,W,84,77,123.5,113.2,68.3,.321,.179,.651,46.7,48.6,13.2,9.4,,.652,9.8,18.2,.196,,.615,20.0,73.9,.250

2022-11-20,N,Western Michigan,W,63,57,100.0,90.5,63.5,.129,.355,.479,47.7,48.0,11.1,17.1,,.468,9.6,27.0,.081,,.441,18.3,75.0,.235

2022-11-26,,Oglethorpe,W,101,73,127.8,92.4,79.4,.254,.324,.635,69.4,50.0,19.0,6.9,,.634,14.0,46.9,.155,,.578,24.0,93.3,.103

2022-11-30,,Florida Gulf Coast,L,53,70,85.5,112.9,61.7,.260,.380,.472,42.4,42.9,9.7,4.0,,.480,16.4,17.6,.100,,.577,14.7,76.0,.192

2022-12-07,,Piedmont,W,91,47,123.0,63.5,74.3,.214,.371,.590,65.0,38.9,13.5,20.0,,.586,13.5,47.2,.129,,.328,19.9,79.5,.045

2022-12-10,,Wofford,W,79,57,121.5,87.7,65.3,.212,.404,.690,48.0,33.3,13.8,17.1,,.673,18.5,23.8,.173,,.479,22.5,65.5,.255

2022-12-14,,Morehead State,L,71,74,107.6,112.1,65.5,.324,.382,.453,56.9,37.5,12.1,0.0,,.382,7.1,41.9,.279,,.618,19.2,86.4,.711

2022-12-17,,Campbell,W,54,53,90.0,88.3,60.3,.135,.481,.488,51.8,28.6,13.3,10.3,,.462,19.0,29.6,.115,,.480,20.5,72.4,.122

2022-12-21,@,Ball State,L,54,58,81.8,87.9,66.5,.298,.246,.415,44.1,21.1,10.6,16.0,,.351,10.9,19.4,.246,,.436,21.1,71.9,.362

2022-12-29,,South Alabama,W,64,50,95.5,74.6,66.8,.148,.295,.490,67.1,32.1,9.0,4.8,,.484,19.7,50.0,.082,,.336,10.5,79.1,.109

2022-12-31,@,Coastal Carolina,W,73,64,112.3,98.5,65.2,.267,.400,.540,55.2,46.2,6.2,4.9,,.508,10.6,32.4,.200,,.508,13.7,78.8,.068

2023-01-05,,Marshall,W,81,76,114.1,107.0,71.0,.279,.131,.586,56.5,40.0,8.5,5.0,,.598,11.5,29.2,.131,,.538,11.2,73.7,.092

