Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,North Florida,W,104,63,126.8,76.8,81.5,.239,.179,.697,58.7,51.2,18.3,6.9,,.679,14.8,29.2,.194,,.424,24.1,76.9,.220

2022-11-11,N,Michigan State,W,64,63,86.5,85.1,74.4,.400,.327,.489,56.9,34.8,14.9,19.4,,.455,21.6,29.0,.255,,.433,18.7,82.4,.346

2022-11-16,@,Texas,L,74,93,98.7,124.0,75.3,.412,.373,.607,50.9,40.0,4.0,9.1,,.578,24.7,26.7,.294,,.614,12.0,77.8,.182

2022-11-20,,Kentucky,W,88,72,115.8,94.7,75.8,.382,.345,.677,57.6,25.8,9.2,4.5,,.627,20.7,29.2,.345,,.435,12.6,73.8,.174

2022-11-25,N,Portland State,W,102,78,137.8,105.4,73.8,.317,.381,.703,57.6,63.2,5.4,5.6,,.698,13.2,34.6,.222,,.516,14.8,75.8,.246

2022-11-25,N,Purdue,L,66,84,95.7,121.7,69.2,.060,.418,.479,40.3,55.6,2.9,11.4,,.470,9.2,15.8,.045,,.557,10.1,67.6,.262

2022-11-27,N,Xavier,W,88,84,117.3,112.0,75.4,.306,.387,.620,53.8,74.2,8.0,7.5,,.605,15.5,25.0,.210,,.574,11.1,81.8,.088

2022-12-02,N,Baylor,L,63,64,82.9,84.2,76.1,.344,.361,.444,55.2,54.5,11.8,7.9,,.410,19.3,35.1,.213,,.419,16.8,80.0,.194

2022-12-05,,Kent State,W,73,66,102.8,93.0,70.5,.491,.327,.538,65.2,64.0,1.4,7.5,,.509,11.7,31.0,.309,,.444,9.2,91.9,.159

2022-12-09,,Washington,W,77,60,108.5,84.5,71.1,.375,.339,.584,58.6,65.5,16.9,12.9,,.563,15.4,29.6,.250,,.465,20.7,83.9,.123

2022-12-12,,Northern Illinois,W,88,67,127.5,97.1,68.5,.300,.286,.550,55.4,50.0,11.6,5.9,,.500,5.9,45.7,.257,,.473,17.9,66.7,.250

2022-12-17,N,Alabama,W,100,90,119.0,107.1,84.2,.271,.243,.633,42.6,40.0,14.3,2.9,,.621,10.2,12.9,.186,,.583,22.7,73.3,.333

2022-12-20,,Montana,W,85,75,121.4,107.1,69.9,.654,.327,.624,55.6,44.4,4.3,8.3,,.567,11.7,29.6,.500,,.571,15.9,81.5,.196

2022-12-28,,Eastern Oregon,W,120,42,148.1,51.9,81.0,.194,.250,.763,73.8,52.9,23.5,15.6,,.771,14.2,43.5,.125,,.343,31.2,92.1,.093

2022-12-31,,Pepperdine,W,111,88,129.1,102.3,86.1,.182,.286,.663,51.5,53.2,10.5,0.0,,.675,11.6,22.9,.091,,.567,17.7,83.9,.179

2023-01-05,@,San Francisco,W,77,75,108.5,105.6,71.5,.152,.394,.544,36.5,46.7,8.5,8.3,,.530,7.8,14.7,.106,,.542,20.7,62.1,.186

