Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-09,@,James Madison,L,58,106,76.3,139.5,76.9,.308,.431,.389,35.1,52.4,2.6,0.0,,.385,13.9,20.8,.123,,.689,13.6,58.6,.227

2022-11-12,,Regent,W,89,60,109.9,74.1,81.0,.543,.414,.505,59.8,70.4,7.4,0.0,,.450,11.1,41.0,.371,,.383,20.2,76.7,.233

2022-11-16,@,East Carolina,L,73,82,94.8,106.5,77.5,.262,.295,.532,44.4,61.5,6.5,15.6,,.500,18.9,20.0,.197,,.477,13.4,67.6,.308

2022-11-21,@,UCSB,L,66,79,95.7,114.5,69.4,.316,.298,.503,31.8,70.8,2.9,9.8,,.491,13.2,9.1,.175,,.545,14.8,54.5,.321

2022-11-22,N,North Alabama,L,74,75,97.4,98.7,76.0,.621,.466,.493,55.7,38.1,1.3,2.3,,.422,11.8,25.0,.431,,.477,7.3,87.2,.219

2022-11-26,@,Wake Forest,L,70,97,94.6,131.1,73.6,.442,.577,.556,45.0,60.0,10.8,7.5,,.510,21.3,22.6,.327,,.650,12.0,69.0,.086

2022-11-30,@,Georgia,L,54,73,80.6,109.0,66.6,.194,.239,.369,44.6,28.6,9.0,14.7,,.328,8.7,31.8,.149,,.537,18.0,63.3,.278

2022-12-03,,Howard,W,74,65,101.4,89.0,72.5,.571,.482,.520,49.3,45.5,12.3,2.6,,.473,15.4,30.3,.375,,.472,20.8,67.6,.283

2022-12-07,,Loyola (MD),W,66,61,98.5,91.0,67.4,.407,.278,.512,59.3,30.4,6.0,11.5,,.454,17.8,39.3,.315,,.509,21.5,77.4,.091

2022-12-11,,Bowling Green State,L,72,86,93.5,111.7,77.3,.636,.364,.503,45.3,45.0,2.6,25.7,,.445,12.3,11.1,.418,,.515,7.0,76.9,.235

2022-12-17,N,Norfolk State,L,66,78,91.7,108.3,72.4,.397,.429,.441,49.4,72.7,0.0,16.7,,.413,11.8,25.6,.222,,.484,8.9,77.8,.311

2022-12-18,N,Texas Southern,L,77,82,106.9,113.9,71.5,.356,.373,.558,48.3,42.3,2.8,4.2,,.517,15.9,26.7,.271,,.538,6.4,70.0,.185

2022-12-29,@,College of Charleston,L,61,89,80.3,117.1,76.1,.116,.449,.419,45.7,44.0,5.3,15.0,,.435,16.1,26.1,.014,,.546,10.3,71.4,.277

2022-12-31,@,UNC Wilmington,L,65,82,97.0,122.4,66.7,.365,.365,.533,45.1,50.0,11.9,13.3,,.481,18.7,26.7,.288,,.674,19.4,71.4,.435

2023-01-05,,Hofstra,L,51,67,77.3,101.5,65.9,.310,.500,.383,42.0,68.8,12.1,9.7,,.336,11.9,21.1,.207,,.575,20.2,67.7,.113

2023-01-07,,Northeastern,L,63,79,88.7,111.3,70.7,.254,.206,.446,35.8,45.8,9.9,3.7,,.421,7.8,10.0,.159,,.667,20.1,69.6,.422

