Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,Pfeiffer,W,109,71,125.3,81.6,86.9,.440,.333,.601,54.3,40.0,17.2,14.9,,.580,12.5,43.2,.293,,.425,22.5,63.6,.123

2022-11-12,,Wofford,W,91,80,126.4,111.1,71.5,.397,.448,.660,54.9,51.6,6.9,19.4,,.629,15.9,39.3,.310,,.460,9.2,65.1,.349

2022-11-15,,Lees-McRae,W,100,83,106.4,88.3,93.7,.493,.397,.555,57.5,44.1,13.8,13.6,,.548,16.7,36.6,.274,,.481,19.9,76.1,.075

2022-11-18,@,UNLV,L,68,78,87.2,100.0,77.9,.210,.468,.499,42.5,65.2,7.7,12.5,,.476,20.0,24.3,.145,,.460,12.8,61.1,.120

2022-11-21,N,Central Michigan,W,68,67,90.7,89.3,74.7,.468,.323,.449,54.8,20.0,6.7,5.7,,.419,16.5,35.9,.258,,.458,16.1,76.5,.220

2022-11-23,N,Tennessee State,W,77,72,102.7,96.0,74.8,.381,.286,.517,55.7,37.0,1.3,10.3,,.484,16.8,36.1,.254,,.463,9.9,76.5,.149

2022-11-30,,Elon,W,84,70,113.5,94.6,74.4,.369,.385,.550,47.9,58.1,8.1,18.9,,.523,13.6,37.1,.246,,.444,17.9,57.9,.222

2022-12-03,,North Florida,W,93,88,117.7,111.4,79.1,.613,.226,.581,51.9,30.0,5.1,7.5,,.516,8.0,31.4,.468,,.487,9.5,69.0,.154

2022-12-06,@,Furman,W,85,82,116.4,112.3,73.1,.333,.315,.679,56.4,34.4,2.7,5.3,,.694,17.2,15.0,.185,,.521,6.2,80.0,.129

2022-12-09,,Queens (NC),L,79,87,101.3,111.5,78.4,.476,.413,.511,46.3,48.1,10.3,14.0,,.484,10.4,20.9,.286,,.500,11.2,74.4,.381

2022-12-18,@,UNC Wilmington,L,82,85,106.5,110.4,77.4,.500,.297,.518,48.6,40.7,7.8,6.5,,.484,12.2,30.8,.313,,.537,18.5,69.7,.500

2022-12-21,@,East Carolina,L,49,60,62.8,76.9,75.1,.344,.391,.329,44.4,35.3,10.3,4.3,,.281,16.8,24.4,.203,,.347,15.3,61.1,.107

2022-12-29,@,Longwood,L,73,87,101.4,120.8,72.4,.316,.368,.557,38.2,44.4,8.3,7.1,,.544,16.5,21.9,.193,,.470,11.1,52.8,.358

2022-12-31,,Gardner-Webb,L,73,80,96.1,105.3,75.7,.348,.391,.454,49.3,50.0,7.9,13.0,,.406,10.1,29.3,.246,,.523,12.0,73.5,.203

2023-01-04,,UNC Asheville,L,72,76,97.3,102.7,73.7,.571,.321,.506,54.2,48.0,6.8,11.1,,.491,15.4,28.6,.304,,.509,14.8,78.4,.389

2023-01-07,@,USC Upstate,L,57,76,74.0,98.7,77.1,.442,.442,.453,47.8,30.0,13.0,9.8,,.442,25.0,22.2,.212,,.573,21.1,77.4,.081

