Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,Eastern Illinois,W,87,57,113.0,74.0,76.6,.516,.406,.546,66.3,53.3,13.0,20.0,,.539,15.8,50.0,.281,,.375,18.7,82.5,.200

2022-11-11,,Kansas City,W,86,48,111.7,62.3,77.3,.406,.422,.563,52.0,50.0,14.3,18.6,,.531,12.6,31.4,.281,,.336,25.5,70.0,.078

2022-11-14,,Monmouth,W,103,65,130.4,82.3,78.7,.323,.532,.720,66.0,56.8,13.9,12.1,,.710,20.1,42.3,.242,,.490,26.9,88.9,.347

2022-11-18,N,UCLA,W,79,70,98.8,87.5,80.3,.373,.490,.658,52.4,70.4,10.0,8.0,,.647,25.9,13.6,.255,,.438,16.0,73.2,.097

2022-11-20,N,Virginia,L,61,70,89.7,102.9,68.6,.153,.441,.482,43.8,45.8,7.4,12.9,,.483,17.0,20.0,.068,,.469,16.0,72.4,.521

2022-11-25,,Lindenwood,W,92,59,121.1,77.6,76.0,.177,.484,.684,63.0,47.2,21.1,5.0,,.669,23.8,39.1,.145,,.457,22.8,80.6,.103

2022-11-29,,Syracuse,W,73,44,105.8,63.8,68.9,.328,.582,.471,50.6,87.5,10.1,16.2,,.440,8.3,30.2,.209,,.324,19.5,73.7,.167

2022-12-02,@,Maryland,L,66,71,103.1,110.9,64.2,.131,.328,.509,54.2,29.6,7.8,22.6,,.484,15.6,40.6,.115,,.528,13.8,70.4,.259

2022-12-06,N,Texas,W (1 OT),85,78,102.4,94.0,73.7,.517,.383,.569,52.1,40.7,8.4,25.5,,.533,17.6,22.6,.350,,.471,15.2,75.0,.188

2022-12-10,,Penn State,L,59,74,93.7,117.5,63.2,.231,.442,.511,55.4,47.8,6.3,13.3,,.510,16.0,24.1,.115,,.611,13.3,88.9,.148

2022-12-17,,Alabama A&M,W,68,47,95.8,66.2,70.8,.404,.474,.501,56.3,37.5,9.9,15.4,,.482,20.9,40.0,.228,,.330,21.3,72.2,.179

2022-12-22,N,Missouri,L,71,93,102.9,134.8,69.3,.306,.500,.500,59.3,40.0,8.7,2.6,,.460,18.4,52.9,.226,,.678,12.9,68.0,.220

2022-12-29,,Bethune-Cookman,W,85,52,109.0,66.7,78.2,.458,.475,.592,53.5,58.6,12.8,22.2,,.559,17.3,27.3,.322,,.319,22.9,76.3,.259

2023-01-04,@,Northwestern,L,60,73,84.5,102.8,70.9,.172,.483,.478,52.3,56.5,2.8,17.1,,.466,19.3,23.3,.103,,.387,8.9,77.1,.604

2023-01-07,,Wisconsin,W,79,69,114.5,100.0,68.5,.491,.358,.604,52.1,56.0,7.2,17.1,,.566,13.3,22.6,.358,,.500,11.4,75.0,.078

2023-01-10,@,Nebraska,W,76,50,111.8,73.5,67.9,.295,.475,.546,57.4,53.6,17.6,17.5,,.525,12.6,37.1,.197,,.407,22.3,78.8,.111

