Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-09,,Kansas City,W,74,63,100.0,85.1,74.1,.456,.368,.534,54.5,66.7,14.9,12.1,,.491,17.8,31.6,.316,,.362,16.5,76.9,.362

2022-11-12,,Arkansas State,W,61,52,96.8,82.5,63.3,.314,.392,.520,49.3,45.0,9.5,9.4,,.471,17.0,24.2,.255,,.430,19.2,73.5,.053

2022-11-17,,New Orleans,W,91,62,121.3,82.7,75.4,.448,.483,.647,56.9,46.7,22.7,9.1,,.621,16.6,34.5,.328,,.530,27.9,79.3,.180

2022-11-21,N,Illinois State,W,77,61,101.3,80.3,76.5,.566,.264,.572,60.4,65.4,10.5,10.0,,.519,21.1,28.0,.415,,.471,24.5,89.3,.231

2022-11-22,N,Akron,W,73,58,112.3,89.2,64.9,.308,.365,.612,44.6,56.0,13.8,10.3,,.567,13.1,23.8,.269,,.333,16.0,57.1,.407

2022-11-23,N,Kansas State,L,59,61,85.5,88.4,68.8,.264,.358,.495,53.7,43.5,13.0,9.1,,.491,22.2,31.0,.132,,.458,22.7,80.0,.354

2022-11-27,,Wofford,W,78,75,116.4,111.9,66.7,.321,.358,.639,44.2,39.3,11.9,7.4,,.604,15.3,20.0,.264,,.578,17.3,66.7,.138

2022-12-02,,UT Arlington,W,63,59,96.9,90.8,65.1,.412,.353,.517,50.0,52.4,7.7,6.7,,.480,16.4,24.1,.275,,.414,10.4,68.3,.094

2022-12-10,N,Wake Forest,W,72,70,102.9,100.0,70.2,.234,.406,.506,42.1,60.7,12.9,3.2,,.516,9.0,22.9,.094,,.555,19.7,72.7,.164

2022-12-13,,North Carolina Central,W,67,57,97.1,82.6,69.2,.286,.397,.468,58.0,61.5,11.6,12.5,,.444,13.3,34.2,.175,,.500,19.2,87.1,.036

2022-12-17,,Winthrop,W,89,81,125.4,114.1,70.7,.188,.422,.638,57.9,54.3,8.5,17.6,,.633,12.5,35.5,.125,,.608,14.3,84.6,.133

2022-12-21,,ETSU,W,72,68,102.9,97.1,70.2,.263,.368,.561,51.6,59.3,11.4,2.4,,.526,19.0,27.6,.211,,.484,13.9,71.4,.129

2022-12-28,,Arkansas,W,60,57,88.2,83.8,68.2,.194,.274,.443,45.5,36.0,8.8,7.5,,.435,12.9,21.6,.097,,.400,12.5,67.5,.077

2023-01-03,@,Kentucky,L,71,74,120.3,125.4,58.7,.189,.472,.615,40.0,57.7,5.1,2.8,,.594,12.2,19.2,.151,,.583,7.6,62.5,.204

2023-01-07,@,Texas A&M,L,56,69,87.5,107.8,64.3,.367,.449,.487,43.1,64.7,17.2,7.9,,.439,17.3,23.3,.265,,.519,17.1,64.3,.241

2023-01-10,,Florida,L,56,67,82.4,98.5,68.4,.271,.475,.420,54.5,63.2,7.4,0.0,,.364,18.4,33.3,.220,,.448,13.7,80.0,.500

