Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,@,VCU,L,56,73,75.7,98.6,73.7,.341,.341,.588,51.7,57.1,8.1,10.0,,.573,36.2,5.3,.220,,.500,16.7,74.4,.352

2022-12-16,,Central Connecticut,L,67,78,100.0,116.4,66.7,.193,.421,.538,49.1,61.5,10.4,10.8,,.509,16.2,24.1,.158,,.642,15.5,79.2,.189

2022-11-13,@,Fairleigh Dickinson,L,74,77,98.7,102.7,74.7,.288,.339,.552,49.2,75.0,12.0,10.9,,.525,20.2,29.6,.203,,.515,16.2,63.9,.119

2022-11-18,,Mount Saint Vincent,W,86,39,119.4,54.2,71.8,.156,.500,.625,66.1,30.3,12.5,10.0,,.617,13.8,34.6,.109,,.315,23.7,90.9,.093

2022-11-24,N,Northeastern,L (1 OT),67,69,88.2,90.8,67.7,.250,.221,.440,38.5,39.3,11.8,14.0,,.434,13.6,25.0,.118,,.478,20.6,52.6,.059

2022-11-26,N,Army,W,72,71,105.9,104.4,68.0,.262,.508,.525,43.1,53.8,16.2,20.0,,.508,10.4,26.5,.164,,.556,24.9,66.7,.467

2022-12-01,,Fairfield,W,56,53,93.3,88.3,59.8,.111,.333,.493,42.6,37.5,13.3,28.6,,.491,16.2,32.1,.056,,.381,18.6,50.0,.136

2022-12-04,,Monmouth,L,69,76,97.2,107.0,70.6,.528,.434,.520,48.2,45.5,11.3,13.5,,.481,18.5,32.3,.340,,.578,18.0,68.0,.333

2022-12-07,@,Providence,L,59,99,72.0,120.7,81.6,.180,.443,.445,30.3,57.1,9.8,10.4,,.426,21.4,10.0,.115,,.623,17.2,61.5,.277

2022-12-11,,Bryant,L (1 OT),97,104,101.0,108.3,85.0,.455,.429,.518,42.1,45.2,10.4,4.5,,.474,10.5,16.7,.312,,.581,18.5,73.5,.368

2022-12-19,@,Marist,W,80,69,133.3,115.0,59.8,.347,.531,.701,51.9,42.3,6.7,6.1,,.673,17.4,41.7,.286,,.519,14.0,60.7,.241

2022-12-30,@,St. Peter's,L,57,67,81.4,95.7,70.1,.521,.354,.476,48.5,52.6,8.6,5.7,,.448,20.0,17.2,.292,,.484,17.4,73.0,.113

2023-01-01,,Quinnipiac,L,65,84,95.6,123.5,67.8,.117,.283,.513,46.4,53.8,8.8,3.3,,.500,15.9,23.3,.083,,.625,12.1,73.1,.150

2023-01-06,,Canisius,L,57,64,100.0,112.3,57.4,.364,.455,.552,49.1,77.8,10.5,8.1,,.511,24.8,39.3,.227,,.471,13.2,59.3,.250

2023-01-08,,Niagara,W,64,59,101.6,93.7,63.8,.750,.175,.590,50.0,35.0,9.5,14.3,,.513,20.5,28.6,.575,,.425,17.5,65.5,.264

2023-01-13,@,Mount St. Mary's,W,62,57,98.4,90.5,63.5,.212,.346,.542,55.9,50.0,14.3,15.2,,.519,21.9,42.3,.154,,.445,21.1,66.7,.145

2023-01-20,,Iona,L (1 OT),76,84,93.8,103.7,72.2,.377,.304,.467,49.4,50.0,8.6,3.4,,.420,15.6,38.1,.261,,.443,11.1,60.5,.177

2023-01-22,@,Rider,L,65,67,101.6,104.7,63.8,.288,.481,.550,40.4,78.3,12.5,0.0,,.538,16.9,20.7,.173,,.511,19.9,65.2,.467

2023-01-27,@,Niagara,L,62,68,96.9,106.3,64.3,.360,.320,.529,43.1,59.1,9.4,3.4,,.490,18.2,16.7,.260,,.648,21.2,81.0,.250

2023-01-29,@,Canisius,W (1 OT),81,74,106.6,97.4,67.4,.367,.267,.575,43.5,40.0,13.2,5.9,,.550,13.5,10.7,.250,,.516,15.6,70.6,.143





2023-02-03,,Siena,W (1 OT),71,66,98.6,91.7,64.3,.694,.286,.545,42.5,36.4,16.7,12.2,,.500,18.7,17.1,.449,,.424,18.0,65.8,.271

2023-02-05,,Rider,L,56,67,87.5,104.7,64.0,.214,.482,.454,36.8,71.4,10.9,10.9,,.446,11.5,16.2,.107,,.500,15.7,61.3,.117

2023-02-12,,St. Peter's,W,68,52,100.0,76.5,68.2,.540,.280,.541,57.8,60.0,10.3,6.3,,.470,20.3,35.7,.420,,.407,20.9,75.0,.148

2023-02-17,@,Iona,L,60,71,89.6,106.0,67.5,.172,.379,.478,47.1,47.8,10.4,5.3,,.466,17.2,25.0,.103,,.542,16.6,70.6,.119

2023-02-19,@,Fairfield,W,73,72,119.7,118.0,61.1,.500,.292,.614,43.1,48.1,13.1,6.1,,.594,9.2,20.0,.333,,.500,13.4,60.6,.385

2023-02-24,,Marist,L,58,81,92.1,128.6,62.8,.266,.297,.402,44.8,38.1,9.5,10.0,,.359,7.7,37.5,.188,,.625,13.4,55.6,.196

2023-02-26,@,Quinnipiac,W,72,70,100.0,97.2,72.0,.237,.356,.548,50.0,44.8,9.7,13.2,,.551,16.5,25.0,.119,,.500,16.4,75.0,.111

2023-03-02,@,Siena,W,67,66,94.4,93.0,70.7,.235,.333,.591,57.7,65.4,11.3,5.1,,.578,24.1,21.7,.157,,.492,13.2,86.2,.117

2023-03-04,,Mount St. Mary's,L,69,74,101.5,108.8,68.2,.104,.313,.491,40.0,43.3,11.8,8.6,,.493,7.9,24.2,.045,,.547,17.9,59.3,.302

2023-03-07,N,Marist,L,50,61,76.9,93.8,65.2,.180,.443,.378,55.3,35.0,6.2,19.4,,.361,15.3,32.5,.098,,.446,11.1,80.6,.196

