Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,Radford,W,79,69,98.8,86.3,80.2,.424,.322,.557,55.1,66.7,11.3,7.9,,.500,20.3,25.0,.339,,.452,16.2,81.1,.190

2022-11-10,,Central Michigan,W,97,73,116.9,88.0,82.9,.409,.576,.615,47.7,77.1,15.7,2.9,,.629,14.2,21.2,.212,,.509,23.6,75.0,.241

2022-11-15,@,Purdue,L,70,75,102.9,110.3,68.4,.097,.486,.465,51.5,63.0,5.9,3.4,,.451,9.6,30.0,.069,,.563,8.5,82.1,.214

2022-11-17,,LIU,W,95,58,115.9,70.7,81.5,.294,.515,.613,51.4,85.3,14.6,15.0,,.581,13.4,25.8,.235,,.373,22.5,70.7,.175

2022-11-21,N,Mississippi State,L,55,58,82.1,86.6,67.2,.157,.549,.502,39.4,42.9,10.4,5.1,,.490,22.6,12.9,.098,,.427,18.8,62.9,.200

2022-11-23,N,Georgia Tech,W,84,60,115.1,82.2,72.6,.361,.377,.588,51.5,48.3,9.6,14.3,,.549,12.3,25.8,.279,,.392,14.7,73.0,.138

2022-11-26,,Chicago State,W,82,68,109.3,90.7,74.9,.526,.351,.575,50.0,69.0,16.0,17.6,,.561,14.4,25.7,.316,,.481,21.4,84.0,.321

2022-11-29,,Baylor,W,96,70,139.1,101.4,69.4,.250,.417,.715,44.0,65.7,17.4,12.5,,.683,11.8,25.0,.233,,.563,22.9,61.5,.125

2022-12-03,,Wisconsin,L (1 OT),77,80,111.6,115.9,61.2,.377,.377,.616,45.5,51.9,14.5,3.1,,.594,16.1,24.1,.264,,.610,16.6,69.2,.136

2022-12-06,,North Carolina Central,W,90,78,121.6,105.4,74.2,.281,.404,.697,46.4,69.4,9.5,16.3,,.711,18.8,23.1,.158,,.532,18.9,66.7,.175

2022-12-11,@,Notre Dame,W,79,64,127.4,103.2,62.4,.194,.343,.540,56.3,40.6,4.8,10.0,,.522,3.9,37.5,.134,,.509,11.6,75.0,.145

2022-12-16,,Creighton,W,69,58,95.8,80.6,71.5,.233,.350,.518,45.2,48.1,13.9,8.8,,.500,13.0,8.8,.150,,.500,22.1,89.3,.074

2022-12-20,@,Providence,L (2 OT),98,103,111.4,117.0,70.8,.253,.280,.583,37.7,23.1,12.5,9.5,,.567,12.5,20.0,.173,,.523,13.7,55.9,.538

2022-12-27,,Seton Hall,W,83,69,129.7,107.8,64.3,.180,.410,.627,46.0,63.6,17.2,12.9,,.615,9.6,27.6,.131,,.528,15.7,61.8,.222

2022-12-31,@,Villanova,W,68,66,104.6,101.5,65.2,.123,.456,.564,42.1,59.3,10.8,12.5,,.561,11.7,10.3,.070,,.526,15.4,75.0,.105

2023-01-03,@,St. John's (NY),W,96,85,123.1,109.0,77.5,.419,.371,.646,47.5,54.5,15.4,4.1,,.613,14.9,32.1,.323,,.576,18.0,61.3,.136

