Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,Central Connecticut,W,94,67,123.7,88.2,75.8,.169,.268,.613,65.2,63.2,10.5,13.5,,.599,14.5,43.8,.127,,.477,15.9,83.8,.061

2022-11-10,,Towson,L,55,67,83.3,101.5,65.7,.379,.241,.402,43.5,55.0,10.6,3.2,,.371,12.7,30.8,.207,,.606,21.9,65.2,.213

2022-11-17,N,Colorado,W,66,63,86.8,82.9,76.3,.415,.208,.520,52.8,36.0,7.9,16.7,,.500,22.1,26.7,.245,,.384,13.2,71.4,.096

2022-11-18,N,Murray State,W,71,69,97.3,94.5,72.6,.257,.351,.428,56.6,62.5,4.1,6.1,,.399,7.8,34.9,.162,,.500,13.3,84.8,.211

2022-11-20,N,Charlotte,W,60,54,96.8,87.1,62.0,.157,.255,.547,64.2,73.9,6.5,10.7,,.520,20.3,37.5,.137,,.418,14.8,86.2,.265

2022-11-29,@,South Florida,W,73,67,94.8,87.0,77.3,.263,.368,.569,47.8,74.1,10.4,17.8,,.553,23.8,21.9,.175,,.443,19.4,71.4,.213

2022-12-02,@,Harvard,W,71,68,102.9,98.6,69.5,.254,.286,.503,44.4,29.6,10.1,3.1,,.476,13.5,27.0,.175,,.522,22.6,69.2,.467

2022-12-05,,Albany (NY),W,87,73,107.4,90.1,80.9,.419,.242,.585,48.5,57.6,14.8,20.0,,.556,13.9,17.2,.290,,.484,19.9,73.0,.190

2022-12-08,,UMass-Lowell,L,80,85,100.0,106.3,79.9,.444,.238,.524,55.2,50.0,15.0,11.8,,.452,21.6,41.2,.365,,.664,23.0,75.0,.218

2022-12-11,N,Hofstra,W,71,56,97.3,76.7,72.8,.212,.212,.489,59.4,46.7,13.7,13.3,,.492,14.2,36.4,.091,,.418,20.0,80.6,.082

2022-12-17,N,North Texas,L,44,62,64.7,91.2,68.0,.540,.200,.350,52.8,66.7,8.8,3.6,,.240,22.3,33.3,.400,,.346,11.7,72.2,.500

2022-12-20,,Dartmouth,W,68,57,95.8,80.3,71.1,.467,.433,.464,58.9,81.0,8.5,14.7,,.408,13.0,42.9,.317,,.380,19.3,73.7,.296

2022-12-31,@,St. Bonaventure,L,64,83,92.8,120.3,69.5,.633,.408,.502,57.6,42.1,7.2,3.3,,.439,20.1,37.9,.429,,.598,14.2,76.7,.164

2023-01-04,,Saint Louis,W,90,81,115.4,103.8,77.9,.415,.323,.578,49.3,56.7,6.4,17.1,,.538,10.4,24.3,.308,,.583,16.7,80.0,.183

2023-01-07,@,George Washington,L,73,81,96.1,106.6,75.6,.136,.333,.519,47.0,65.5,11.8,14.7,,.508,18.5,25.7,.091,,.535,16.9,71.0,.351

2023-01-11,,La Salle,L,77,78,113.2,114.7,68.2,.279,.311,.557,58.7,62.1,5.9,8.6,,.541,17.8,48.6,.180,,.607,16.8,71.4,.066

