Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,Champion Christian,W,110,54,137.5,67.5,79.7,.157,.373,.617,63.2,53.2,17.5,10.7,,.633,11.0,52.5,.060,,.407,28.0,75.0,.102

2022-11-11,@,Tulane,L,58,75,77.3,100.0,75.1,.094,.359,.434,46.2,33.3,12.0,8.8,,.430,19.3,18.9,.047,,.538,18.9,82.1,.340

2022-11-18,,Western Carolina,L,69,88,101.5,129.4,67.8,.397,.241,.501,45.3,36.0,10.3,10.0,,.474,13.8,31.6,.241,,.690,15.6,65.4,.380

2022-11-19,,Lindenwood,L,60,78,85.7,111.4,69.6,.345,.509,.469,54.7,26.3,10.0,2.7,,.418,21.9,29.4,.255,,.596,11.1,83.3,.175

2022-11-20,,Lamar,W,66,57,101.5,87.7,65.5,.302,.660,.545,50.7,72.7,13.8,8.1,,.528,17.7,30.0,.189,,.426,17.9,67.6,.082

2022-11-23,@,Baylor,L,60,89,87.0,129.0,68.8,.308,.404,.503,49.2,65.0,13.0,6.7,,.471,25.1,34.4,.212,,.667,13.9,65.5,.150

2022-11-28,@,UT-Martin,L,83,86,116.9,121.1,70.8,.429,.413,.547,52.1,46.9,11.3,10.3,,.595,10.6,35.0,.127,,.578,10.0,72.7,.328

2022-11-30,@,Tennessee,L,40,76,61.5,116.9,65.2,.196,.304,.327,47.2,25.0,12.3,16.0,,.304,24.6,42.1,.107,,.528,13.6,52.9,.352

2022-12-09,@,Northern Iowa,W,52,49,80.0,75.4,65.4,.167,.563,.502,45.2,45.0,15.4,0.0,,.500,28.8,25.9,.083,,.355,20.2,60.0,.182

2022-12-11,@,Iowa State,L,40,77,60.6,116.7,66.0,.289,.553,.463,50.9,57.1,13.6,0.0,,.461,39.3,25.0,.132,,.636,18.7,72.4,.127

2022-12-15,,Louisiana,L,70,78,104.5,116.4,67.1,.182,.379,.488,48.3,25.9,7.5,3.4,,.462,11.2,34.2,.136,,.673,20.7,72.7,.245

2022-12-18,@,Southern Miss,L,67,86,89.3,114.7,74.8,.300,.400,.489,45.3,43.5,12.0,2.9,,.450,17.0,23.1,.217,,.561,14.9,69.4,.182

2022-12-21,@,Houston,L,44,83,71.0,133.9,62.1,.102,.490,.428,29.5,55.6,14.5,3.6,,.429,22.6,12.9,.041,,.639,15.4,46.7,.082

2022-12-31,@,Lamar,W,81,62,120.9,92.5,66.8,.143,.508,.602,58.1,50.0,16.4,0.0,,.611,15.1,35.5,.063,,.466,19.6,80.6,.477

2023-01-05,,Northwestern State,W,92,77,133.3,111.6,68.8,.220,.559,.706,51.9,53.1,11.6,6.9,,.669,17.7,37.5,.220,,.587,19.4,64.3,.308

2023-01-07,,Texas A&M-Commerce,L (1 OT),80,82,115.9,118.8,61.7,.086,.414,.549,51.5,53.1,14.5,0.0,,.529,12.1,38.2,.086,,.588,16.3,65.6,.263

