Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,@,Vanderbilt,W,76,67,111.8,98.5,67.6,.358,.358,.613,56.9,51.9,11.8,7.7,,.557,17.3,30.4,.321,,.518,17.1,74.3,.161

2022-11-15,@,Saint Louis,L,84,90,106.3,113.9,79.2,.371,.443,.510,50.0,64.3,7.6,15.0,,.464,10.8,33.3,.271,,.525,12.5,73.3,.450

2022-11-20,,VCU,W,62,47,88.6,67.1,70.2,.228,.263,.491,50.7,62.5,12.9,19.4,,.465,22.2,25.8,.158,,.345,21.7,71.1,.164

2022-11-24,N,Seton Hall,L,69,70,93.2,94.6,74.4,.569,.275,.533,54.1,43.5,12.2,14.8,,.490,19.8,25.0,.373,,.480,19.7,78.8,.412

2022-11-25,N,Nebraska,W,73,61,109.0,91.0,67.5,.186,.373,.568,48.2,58.6,19.4,18.5,,.568,15.7,31.0,.102,,.520,26.1,66.7,.157

2022-11-27,N,Stanford,W,56,48,87.5,75.0,63.5,.204,.333,.473,44.8,66.7,10.9,16.0,,.444,14.4,19.4,.148,,.379,19.8,66.7,.069

2022-11-30,,North Alabama,W,87,68,119.2,93.2,73.1,.283,.283,.639,57.7,63.6,9.6,16.3,,.617,12.8,22.7,.217,,.476,12.8,83.3,.145

2022-12-03,,Ole Miss,W,68,57,98.6,82.6,69.4,.232,.217,.444,51.4,55.6,10.1,16.3,,.399,11.5,48.6,.188,,.373,18.8,54.3,.159

2022-12-06,,Little Rock,W,87,71,110.1,89.9,79.1,.302,.190,.604,50.0,52.9,20.3,8.1,,.587,17.2,32.3,.206,,.414,17.9,64.1,.186

2022-12-10,N,Auburn,W,82,73,105.1,93.6,78.1,.417,.183,.570,55.6,46.7,11.5,5.1,,.533,20.9,38.2,.300,,.429,16.8,71.1,.302

2022-12-13,@,Alabama,L,88,91,103.5,107.1,84.9,.316,.152,.484,46.6,29.4,15.3,7.4,,.437,9.9,31.0,.241,,.574,20.7,67.7,.537

2022-12-17,,Texas A&M,W,83,79,109.2,103.9,76.8,.577,.269,.626,40.0,72.4,14.5,20.6,,.606,16.4,19.2,.385,,.448,18.7,58.6,.466

2022-12-21,,Alabama State,W,83,61,106.4,78.2,78.4,.267,.250,.614,50.7,54.5,9.0,32.6,,.592,17.2,19.2,.200,,.347,15.0,69.8,.153

2022-12-29,,South Florida,W,93,86,108.1,100.0,85.5,.530,.212,.563,45.7,68.8,14.0,8.5,,.515,14.5,31.3,.379,,.493,19.9,57.9,.243

2023-01-01,@,Tulane,L,89,96,101.1,109.1,88.2,.441,.338,.541,53.7,58.6,12.5,20.6,,.500,14.5,25.0,.309,,.575,18.3,87.1,.450

2023-01-07,,East Carolina,W,69,59,95.8,81.9,72.4,.288,.220,.514,50.9,50.0,20.8,19.2,,.492,17.3,30.0,.186,,.491,27.6,74.1,.111

