Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-08,@,East Carolina,L,75,77,108.7,111.6,69.5,.411,.250,.560,48.1,64.3,10.1,10.3,,.554,14.1,36.7,.232,,.552,16.1,62.5,.224

2022-11-11,,Milligan,W,118,64,149.4,81.0,79.0,.221,.351,.694,61.3,67.4,16.5,8.3,,.669,8.6,42.9,.195,,.455,23.5,76.5,.255

2022-11-15,@,Georgia State,L (1 OT),83,85,102.5,104.9,71.8,.525,.271,.563,52.2,46.7,7.4,1.9,,.551,17.8,28.6,.305,,.462,13.1,69.2,.364

2022-11-19,,Winthrop,W,77,68,114.9,101.5,67.3,.268,.464,.610,56.4,82.8,7.5,5.1,,.598,12.5,24.0,.179,,.509,15.0,83.3,.241

2022-11-21,@,Florida State,L,72,81,104.3,117.4,69.0,.227,.379,.492,43.3,73.1,2.9,2.2,,.470,8.7,25.7,.152,,.525,8.9,62.5,.300

2022-11-25,N,Robert Morris,W,72,66,98.6,90.4,73.0,.404,.175,.530,53.8,54.2,12.3,2.3,,.465,19.1,38.7,.333,,.434,18.8,67.6,.213

2022-11-26,N,Fairfield,W,60,58,95.2,92.1,63.2,.300,.220,.525,50.0,26.1,9.5,5.6,,.480,17.4,25.0,.240,,.415,12.3,71.9,.153

2022-11-27,N,Towson,L,60,70,95.2,111.1,63.3,.327,.469,.530,44.4,78.9,3.2,4.7,,.490,15.0,20.0,.245,,.467,11.7,66.7,.233

2022-12-02,,Kennesaw State,L,63,66,94.0,98.5,66.7,.260,.260,.561,56.9,48.0,6.0,4.8,,.540,22.2,24.0,.180,,.474,12.3,81.8,.211

2022-12-06,,Middle Georgia State,W,100,62,142.9,88.6,69.9,.328,.422,.676,57.6,79.5,11.4,7.5,,.695,7.5,37.9,.172,,.474,20.6,76.7,.140

2022-12-10,@,Florida Gulf Coast,L,62,67,91.2,98.5,68.4,.385,.308,.504,51.6,47.6,5.9,5.7,,.442,18.5,21.9,.308,,.452,12.1,81.3,.385

2022-12-17,,Morehead State,W,79,52,129.5,85.2,60.7,.306,.327,.704,55.8,65.5,13.1,8.3,,.673,13.8,23.8,.265,,.360,17.6,77.4,.488

2022-12-21,@,Troy,W,82,79,120.6,116.2,67.6,.340,.283,.666,58.0,46.7,7.4,5.6,,.642,17.4,40.9,.264,,.542,11.6,71.4,.233

2022-12-28,@,Samford,L,69,78,115.0,130.0,59.9,.231,.250,.598,50.9,55.6,5.0,6.9,,.577,17.2,34.6,.173,,.625,11.8,66.7,.250

2022-12-31,,Chattanooga,L,51,80,75.0,117.6,67.7,.129,.242,.388,51.6,31.8,5.9,0.0,,.363,17.5,33.3,.097,,.611,13.6,80.0,.259

2023-01-04,,Wofford,L,52,53,85.2,86.9,60.7,.319,.213,.480,56.6,47.4,4.9,4.7,,.436,16.9,28.0,.234,,.411,11.7,82.1,.125

