Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,Northern Arizona,W,73,55,105.8,79.7,69.0,.123,.415,.531,56.8,58.6,8.7,20.0,,.515,11.6,28.6,.092,,.383,14.3,82.1,.150

2022-11-11,N,Gonzaga,L,63,64,85.1,86.5,74.4,.538,.308,.482,43.1,52.4,12.2,2.7,,.433,18.7,17.6,.346,,.455,21.6,71.0,.255

2022-11-15,N,Kentucky,W (2 OT),86,77,98.9,88.5,69.7,.391,.275,.526,53.3,67.9,6.9,6.7,,.457,18.0,32.4,.333,,.436,15.6,73.7,.229

2022-11-18,,Villanova,W,73,71,114.1,110.9,63.9,.111,.463,.642,54.7,78.6,6.3,4.2,,.639,17.4,20.0,.074,,.528,8.8,85.7,.283

2022-11-24,N,Alabama,L,70,81,94.6,109.5,74.1,.403,.226,.474,47.4,37.5,6.8,12.5,,.419,13.0,25.6,.290,,.508,11.8,70.3,.270

2022-11-26,N,Oregon,W,74,70,113.8,107.7,65.3,.197,.475,.555,50.0,74.1,3.1,3.2,,.516,9.5,31.3,.180,,.508,13.0,68.8,.095

2022-11-27,@,Portland,W,78,77,121.9,120.3,64.0,.186,.237,.607,54.0,54.8,1.6,9.4,,.593,11.1,36.0,.136,,.533,7.0,72.0,.197

2022-11-30,@,Notre Dame,L,52,70,85.2,114.8,61.3,.111,.222,.457,50.0,38.1,6.6,7.1,,.426,11.0,7.4,.111,,.602,9.4,89.7,.093

2022-12-04,,Northwestern,L,63,70,94.0,104.5,67.1,.218,.400,.519,47.4,69.6,10.4,15.4,,.491,17.6,19.4,.164,,.500,15.4,80.8,.429

2022-12-07,@,Penn State,W,67,58,98.5,85.3,68.4,.183,.233,.514,53.5,50.0,2.9,10.7,,.483,10.9,12.5,.150,,.418,12.4,87.2,.218

2022-12-10,,Brown,W,68,50,109.7,80.6,61.8,.094,.344,.509,52.1,77.8,9.7,10.0,,.484,8.2,30.3,.094,,.367,9.8,71.1,.100

2022-12-21,,Oakland,W,67,54,103.1,83.1,65.4,.314,.431,.572,59.1,76.0,7.7,15.8,,.588,19.3,30.8,.137,,.373,9.3,77.5,.111

2022-12-30,,Buffalo,W,89,68,117.1,89.5,76.0,.508,.322,.608,52.2,70.0,7.9,6.0,,.576,12.0,23.3,.356,,.462,16.5,75.7,.106

2023-01-03,,Nebraska,W,74,56,112.1,84.8,66.2,.092,.385,.545,59.7,77.4,10.6,10.3,,.538,11.7,35.5,.062,,.436,12.2,80.6,.145

2023-01-07,,Michigan,W,59,53,88.1,79.1,67.4,.232,.339,.474,54.7,57.1,3.0,2.9,,.429,13.9,18.8,.196,,.373,12.6,90.6,.218

2023-01-10,@,Wisconsin,W,69,65,113.1,106.6,61.4,.386,.295,.663,64.0,43.5,4.9,9.4,,.602,20.0,16.7,.364,,.536,7.8,90.6,.109

