Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,Brescia,W,79,52,119.7,78.8,65.9,.242,.290,.571,62.9,40.6,10.6,7.1,,.556,17.8,60.0,.161,,.364,18.8,65.0,.153

2022-11-12,@,Winthrop,L,68,76,86.1,96.2,79.3,.453,.422,.437,53.2,33.3,11.4,31.0,,.414,16.2,27.0,.234,,.533,21.9,92.0,.587

2022-11-15,,Rice,W,81,46,124.6,70.8,65.1,.321,.464,.627,57.1,69.0,15.4,6.9,,.634,12.2,25.0,.179,,.419,24.0,89.3,.233

2022-11-19,@,Missouri State,L,51,75,78.5,115.4,64.7,.447,.404,.448,50.0,25.0,4.6,10.3,,.372,21.9,27.6,.340,,.607,16.8,74.1,.125

2022-11-25,N,Hofstra,W,64,54,97.0,81.8,66.0,.109,.297,.475,55.9,50.0,10.6,12.1,,.453,14.0,33.3,.094,,.423,17.2,79.3,.192

2022-11-26,N,Stephen F. Austin,W,75,63,98.7,82.9,75.7,.659,.386,.649,50.9,65.2,13.2,17.8,,.602,27.6,26.1,.500,,.426,22.8,68.8,.180

2022-11-27,N,Montana State,W,72,71,101.4,100.0,71.0,.490,.327,.596,47.6,29.2,18.3,9.4,,.541,20.9,25.0,.388,,.620,29.1,77.8,.304

2022-11-30,@,St. Bonaventure,L,64,71,97.0,107.6,66.4,.310,.310,.481,52.7,33.3,12.1,13.8,,.483,15.3,40.6,.138,,.556,20.2,69.6,.467

2022-12-03,,Maryville (TN),W,69,46,101.5,67.6,68.1,.129,.468,.524,63.6,46.4,14.7,13.3,,.516,21.5,44.4,.081,,.412,26.3,86.7,.078

2022-12-10,@,Belmont,W (1 OT),85,75,106.3,93.8,71.4,.435,.217,.511,58.7,37.5,15.0,46.4,,.507,12.6,41.7,.217,,.500,18.8,74.4,.230

2022-12-15,,Chattanooga,L,73,82,107.4,120.6,67.5,.177,.355,.543,38.5,44.8,10.3,14.8,,.524,6.9,18.8,.129,,.674,21.4,70.0,.435

2022-12-21,,Murray State,W,83,67,125.8,101.5,66.1,.246,.386,.652,55.6,40.6,10.6,9.7,,.632,13.6,30.4,.193,,.567,21.6,81.8,.356

2022-12-29,@,Charlotte,L,67,82,108.1,132.3,62.1,.190,.397,.530,50.0,32.0,8.1,10.8,,.483,12.5,34.5,.190,,.660,14.5,69.6,.426

2022-12-31,,Western Kentucky,W,65,60,95.6,88.2,68.0,.200,.338,.457,56.8,62.5,8.8,8.3,,.431,12.3,32.5,.138,,.475,12.4,85.3,.068

2023-01-05,@,UTSA,L,72,75,107.5,111.9,67.2,.308,.327,.604,52.0,40.7,4.5,15.4,,.606,19.0,30.8,.173,,.500,9.4,75.0,.364

2023-01-07,,North Texas,L,51,56,87.9,96.6,57.7,.310,.310,.529,44.9,38.9,10.3,4.3,,.476,23.7,16.7,.262,,.512,22.2,72.0,.310

