Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,Milwaukee Engineering,W,102,46,147.8,66.7,69.2,.355,.274,.704,69.5,68.4,18.8,25.7,,.677,11.0,47.8,.290,,.418,24.3,83.3,.000

2022-11-08,@,Purdue,L,53,84,68.8,109.1,76.9,.150,.317,.412,34.7,43.5,9.1,13.2,,.408,23.7,9.4,.067,,.458,10.8,53.5,.250

2022-11-12,,Cardinal Stritch,W,112,38,140.0,47.5,80.5,.429,.338,.604,61.4,48.8,21.3,8.3,,.584,6.1,44.7,.286,,.250,24.9,74.0,.094

2022-11-20,@,Iowa State,L,53,68,74.6,95.8,71.3,.419,.465,.514,48.4,47.1,11.3,7.7,,.477,32.7,24.0,.279,,.433,13.9,64.1,.149

2022-11-23,,St. Thomas,L,72,76,98.6,104.1,72.7,.148,.279,.552,61.4,44.8,8.2,31.0,,.549,20.7,35.5,.082,,.604,19.7,92.3,.226

2022-11-26,,UC-Davis,W,87,85,106.1,103.7,81.6,.433,.267,.601,47.5,43.3,9.8,13.2,,.583,21.7,34.3,.283,,.566,19.8,66.7,.262

2022-11-27,,Boston University,W,67,46,101.5,69.7,66.0,.415,.472,.528,53.6,45.5,9.1,12.5,,.472,14.8,28.6,.321,,.284,14.2,70.7,.224

2022-11-28,,Southeast Missouri State,W,84,68,105.0,85.0,81.1,.647,.294,.630,61.5,57.7,11.3,28.6,,.569,24.0,29.6,.510,,.435,17.2,84.2,.226

2022-12-01,@,Green Bay,W,81,67,117.4,97.1,69.2,.309,.291,.642,51.7,33.3,10.1,20.6,,.600,17.1,28.6,.273,,.439,13.5,64.9,.298

2022-12-03,,IUPUI,W,74,61,113.8,93.8,64.6,.315,.519,.596,50.9,68.0,15.4,22.6,,.556,12.7,24.1,.259,,.531,23.9,78.6,.208

2022-12-06,@,Chattanooga,L,76,88,108.6,125.7,69.9,.113,.548,.582,52.2,46.4,5.7,9.4,,.565,17.6,34.4,.097,,.553,8.5,68.6,.227

2022-12-11,,North Park,W,92,63,124.3,85.1,73.8,.508,.333,.588,60.0,63.3,9.5,21.9,,.540,12.3,42.9,.381,,.429,18.0,75.0,.268

2022-12-22,@,Rhode Island,,,,,,,,,,,,,,,,,,,,,,,

2022-12-29,@,Oakland,L,61,83,88.4,120.3,69.1,.145,.371,.460,51.6,56.5,2.9,10.3,,.427,17.4,31.6,.129,,.579,9.3,80.8,.298

2022-12-31,@,Detroit Mercy,W,84,81,115.1,111.0,73.1,.254,.441,.635,53.4,40.0,5.5,10.8,,.610,12.0,16.7,.203,,.515,9.7,79.4,.179

2023-01-05,@,Cleveland State,W (1 OT),68,64,89.5,84.2,67.9,.123,.438,.440,49.4,40.7,6.6,15.4,,.432,15.3,34.1,.068,,.357,13.3,65.9,.200

2023-01-07,@,Purdue Fort Wayne,W,74,70,102.8,97.2,72.3,.241,.431,.572,47.5,42.9,8.3,18.2,,.543,13.4,14.3,.190,,.460,13.4,75.8,.210

