Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,Western Michigan,W,61,60,91.0,89.6,67.4,.451,.353,.493,54.9,72.7,6.0,14.3,,.510,20.5,38.2,.176,,.406,12.4,70.3,.058

2022-11-11,,St. Francis (NY),W,72,54,118.0,88.5,61.2,.388,.306,.620,56.9,55.6,3.3,2.7,,.602,17.1,36.4,.265,,.447,15.4,69.4,.053

2022-11-14,,DePaul,L,53,69,80.3,104.5,65.9,.426,.296,.408,37.7,66.7,12.1,8.9,,.370,15.6,25.7,.241,,.492,16.1,50.0,.094

2022-11-17,,Central Michigan,W,68,60,93.2,82.2,73.3,.563,.375,.559,50.0,69.6,6.8,19.1,,.552,20.8,18.2,.313,,.347,10.4,67.5,.139

2022-11-21,N,California Baptist,W (1 OT),62,61,88.6,87.1,61.9,.364,.327,.481,53.7,39.1,7.1,0.0,,.464,15.7,21.2,.200,,.483,16.0,85.3,.068

2022-11-23,N,UNLV,L,62,71,88.6,101.4,70.0,.333,.544,.470,51.2,47.6,5.7,2.6,,.447,20.5,33.3,.193,,.446,10.7,67.4,.200

2022-11-28,@,Virginia Tech,L,57,67,85.1,100.0,67.2,.233,.383,.428,37.7,50.0,10.4,14.0,,.417,9.5,14.3,.117,,.535,17.6,69.2,.105

2022-12-04,@,Purdue,L,70,89,101.4,129.0,69.2,.136,.441,.557,33.3,50.0,4.3,10.4,,.551,11.3,9.7,.085,,.562,8.7,61.5,.246

2022-12-08,,Michigan,L,75,90,100.0,120.0,74.9,.436,.273,.565,51.6,63.0,6.7,11.1,,.545,19.4,25.0,.273,,.603,10.9,78.1,.222

2022-12-11,,Mississippi State,L,51,69,78.5,106.2,65.1,.327,.423,.424,49.2,80.0,4.6,17.9,,.356,16.6,25.7,.269,,.528,15.3,80.8,.245

2022-12-14,,Arkansas-Pine Bluff,W,72,56,104.3,81.2,68.9,.383,.574,.648,53.2,91.3,10.1,16.7,,.617,22.4,20.8,.298,,.386,14.8,73.7,.076

2022-12-22,,Chicago State,W,58,55,96.7,91.7,59.9,.196,.357,.474,53.1,76.0,10.0,12.0,,.482,15.2,32.4,.071,,.456,18.3,76.7,.311

2022-12-29,,Alcorn State,,,,,,,,,,,,,,,,,,,,,,,

2023-01-03,@,Wisconsin,L,60,63,88.2,92.6,68.3,.200,.255,.498,60.7,29.2,7.4,5.7,,.482,24.9,29.0,.127,,.509,11.9,93.3,.127

2023-01-07,,Nebraska,L (1 OT),79,81,112.9,115.7,62.5,.156,.422,.575,45.0,64.5,7.1,13.6,,.563,9.2,19.4,.109,,.551,12.7,72.4,.271

2023-01-12,@,Ohio State,W,70,67,102.9,98.5,68.4,.296,.407,.568,49.2,44.4,4.4,11.8,,.565,12.7,14.8,.167,,.422,11.2,73.7,.203

2023-01-16,,Illinois,L,60,78,85.7,111.4,70.3,.431,.224,.429,34.8,61.9,7.1,4.2,,.388,6.7,14.3,.259,,.539,12.4,66.7,.141

