Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,Southern Indiana,W,97,91,115.5,108.3,83.9,.384,.384,.562,55.1,57.1,14.3,13.3,,.527,11.3,37.8,.274,,.608,22.7,75.0,.300

2022-11-11,,Penn,W,92,85,129.6,119.7,71.3,.426,.574,.627,45.5,71.4,21.1,0.0,,.590,10.9,36.7,.328,,.627,21.9,56.0,.186

2022-11-13,,Lindenwood,W,82,53,110.8,71.6,74.4,.127,.429,.614,57.6,70.6,9.5,12.5,,.603,19.3,32.1,.095,,.313,20.3,76.3,.321

2022-11-15,,SIU-Edwardsville,W,105,80,131.3,100.0,79.9,.181,.306,.672,50.0,51.2,18.8,8.1,,.660,16.1,41.9,.139,,.431,21.1,57.1,.517

2022-11-20,,Mississippi Valley State,W,83,62,110.7,82.7,74.9,.156,.469,.604,46.8,65.6,21.3,20.0,,.578,15.9,29.0,.141,,.424,25.0,64.5,.203

2022-11-23,,Coastal Carolina,W,89,51,111.3,63.8,80.2,.107,.440,.565,49.4,77.1,20.0,15.8,,.547,10.3,28.2,.093,,.295,28.2,70.0,.246

2022-11-26,,Houston Christian,W,105,69,141.9,93.2,74.1,.149,.373,.732,48.1,67.4,21.6,16.1,,.724,12.2,33.3,.119,,.491,24.3,60.0,.250

2022-11-29,@,Wichita State,W (1 OT),88,84,107.3,102.4,73.2,.269,.423,.500,50.0,42.4,19.5,6.3,,.468,7.4,28.3,.192,,.639,22.8,83.3,.098

2022-12-04,,Southeast Missouri State,W,96,89,121.5,112.7,79.0,.377,.443,.667,52.8,50.0,17.7,2.7,,.648,15.3,29.2,.279,,.643,20.4,72.4,.127

2022-12-10,,Kansas,L,67,95,87.0,123.4,77.5,.404,.351,.493,46.0,34.8,6.5,5.1,,.456,23.6,27.0,.263,,.656,15.7,73.1,.246

2022-12-17,N,UCF,W,68,66,107.9,104.8,62.7,.283,.543,.652,46.8,65.2,12.7,12.5,,.641,22.3,20.0,.196,,.548,16.9,66.7,.173

2022-12-22,N,Illinois,W,93,71,134.8,102.9,69.3,.305,.339,.688,40.7,65.7,18.8,6.5,,.678,12.9,32.0,.220,,.460,18.4,47.1,.226

2022-12-28,,Kentucky,W,89,75,127.1,107.1,69.9,.491,.439,.633,37.9,64.3,12.9,12.1,,.579,9.1,20.7,.404,,.536,17.2,55.2,.268

2023-01-04,@,Arkansas,L,68,74,103.0,112.1,66.5,.389,.352,.531,37.3,50.0,10.6,6.1,,.500,12.3,25.0,.259,,.537,19.8,51.9,.296

2023-01-07,,Vanderbilt,W,85,82,118.1,113.9,72.2,.544,.456,.593,36.8,66.7,11.1,7.3,,.509,5.3,12.1,.474,,.544,15.0,60.0,.118

2023-01-11,@,Texas A&M,L,64,82,90.1,115.5,70.6,.356,.525,.464,33.9,52.4,12.7,4.5,,.415,11.5,13.9,.254,,.644,23.0,61.5,.533

