Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,@,Indiana,L,53,88,73.6,122.2,72.2,.093,.556,.470,45.5,40.0,5.6,2.1,,.454,26.2,19.4,.074,,.644,12.7,79.2,.203

2022-11-10,,Campbellsville,W,99,58,132.0,77.3,75.4,.253,.320,.589,66.7,55.0,16.0,12.8,,.587,7.7,44.1,.147,,.481,24.8,93.1,.154

2022-11-12,,Bellarmine,W,62,55,95.4,84.6,65.4,.627,.627,.468,60.0,73.3,7.7,8.1,,.373,15.3,37.5,.471,,.358,8.3,78.9,.200

2022-11-15,@,West Virginia,L,57,75,80.3,105.6,70.9,.300,.300,.499,50.8,45.0,8.5,4.4,,.440,25.9,22.2,.260,,.500,12.6,73.5,.210

2022-11-18,@,Vanderbilt,L,43,76,61.4,108.6,70.4,.143,.429,.320,36.8,41.2,7.1,5.6,,.294,10.6,7.3,.095,,.559,14.0,71.4,.169

2022-11-22,,Kentucky State,W,114,49,129.5,55.7,87.7,.453,.333,.625,60.0,71.8,12.5,11.4,,.607,9.9,35.9,.307,,.349,28.9,86.1,.226

2022-11-26,@,Marshall,L,59,83,81.9,115.3,71.7,.283,.367,.433,46.0,30.0,8.3,2.7,,.392,17.1,28.6,.200,,.603,16.2,67.9,.111

2022-11-29,,Kentucky Christian,W,109,62,138.0,78.5,79.5,.477,.354,.684,64.1,66.7,12.7,24.4,,.662,11.1,40.0,.354,,.444,22.0,85.3,.113

2022-12-03,,North Alabama,L,75,81,101.4,109.5,73.9,.317,.367,.543,49.2,59.3,5.4,7.7,,.517,14.8,20.0,.217,,.537,14.1,85.7,.426

2022-12-11,,ETSU,W,61,57,105.2,98.3,58.4,.383,.383,.549,58.2,50.0,8.6,17.1,,.521,15.3,36.0,.255,,.481,13.4,76.7,.135

2022-12-14,@,Georgia Southern,W,74,71,112.1,107.6,65.5,.921,.368,.677,43.1,55.0,6.1,4.8,,.618,19.2,13.6,.711,,.382,7.1,58.1,.279

2022-12-17,@,Mercer,L,52,79,85.2,129.5,60.7,.651,.442,.462,44.2,53.8,4.9,3.0,,.360,17.6,22.6,.488,,.673,13.8,76.2,.265

2022-12-21,,Alice Lloyd,W,66,50,97.1,73.5,68.0,.188,.438,.473,64.4,64.0,8.8,17.6,,.438,12.5,36.1,.156,,.383,12.4,91.9,.067

2022-12-29,@,Tennessee State,W,83,75,120.3,108.7,69.3,.310,.397,.624,60.7,51.7,5.8,8.3,,.595,13.1,29.6,.241,,.525,8.0,85.3,.200

2022-12-31,@,UT-Martin,L,57,64,82.6,92.8,69.0,.442,.346,.453,48.6,50.0,8.7,6.8,,.346,16.0,16.7,.404,,.424,10.5,80.6,.237

2023-01-05,,Southern Indiana,W,84,80,115.1,109.6,73.1,.633,.286,.659,41.9,69.2,9.6,13.2,,.612,15.8,11.1,.490,,.517,16.4,65.7,.300

