Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,@,William & Mary,W,74,59,119.4,95.2,62.3,.097,.339,.571,55.7,50.0,4.8,5.6,,.565,12.2,37.9,.065,,.456,12.7,71.9,.123

2022-11-11,,Princeton,W,74,73,108.8,107.4,68.0,.429,.327,.627,40.7,57.7,8.8,8.1,,.622,15.7,12.0,.265,,.589,19.0,65.5,.125

2022-11-14,@,Coppin State,L,68,75,93.2,102.7,72.8,.218,.618,.560,54.5,64.0,9.6,9.7,,.564,24.8,27.6,.109,,.475,13.4,75.7,.322

2022-11-18,,UC-San Diego,W (1 OT),78,69,100.0,88.5,69.5,.173,.413,.480,53.5,64.3,10.3,3.2,,.447,11.0,31.0,.147,,.500,20.7,86.2,.190

2022-11-20,,Youngstown State,W,80,67,117.6,98.5,68.4,.327,.408,.707,50.9,65.5,8.8,5.0,,.694,15.0,16.7,.245,,.439,13.1,68.6,.136

2022-11-26,,Mount St. Mary's,W,75,59,117.2,92.2,63.8,.129,.387,.570,54.5,50.0,12.5,0.0,,.581,9.6,32.1,.048,,.500,20.1,77.8,.180

2022-11-30,@,Lipscomb,L,77,82,111.6,118.8,69.3,.273,.382,.620,58.7,55.6,2.9,5.7,,.591,22.5,42.9,.218,,.516,8.8,71.4,.311

2022-12-03,@,VMI,L,72,80,109.1,121.2,66.0,.082,.459,.568,54.4,48.3,4.5,20.6,,.549,14.8,28.6,.082,,.593,8.4,79.3,.169

2022-12-07,@,West Virginia,L,64,85,100.0,132.8,64.0,.143,.411,.535,38.3,53.8,7.8,5.9,,.545,13.1,15.6,.054,,.647,10.9,64.3,.172

2022-12-11,@,Towson,W (1 OT),71,69,100.0,97.2,62.8,.129,.355,.540,48.4,48.3,11.3,0.0,,.524,16.5,29.0,.097,,.491,20.9,67.7,.321

2022-12-18,,Washington College,W,93,54,127.4,74.0,72.8,.183,.433,.713,71.2,70.3,15.1,23.8,,.708,19.7,45.0,.133,,.427,23.3,87.5,.127

2022-12-21,@,VCU,L,52,74,81.3,115.6,63.8,.109,.309,.449,53.7,55.0,7.8,0.0,,.436,22.7,40.0,.073,,.571,12.6,70.8,.179

2022-12-30,@,Boston University,W,75,58,119.0,92.1,63.3,.460,.400,.616,47.6,39.1,9.5,7.7,,.540,11.6,25.9,.420,,.419,11.6,63.9,.097

2023-01-02,,Holy Cross,L,63,74,92.6,108.8,67.6,.297,.297,.431,56.9,76.2,10.3,8.3,,.383,12.0,35.1,.219,,.644,17.3,85.7,.135

2023-01-05,@,Colgate,L,73,87,107.4,127.9,68.4,.102,.458,.590,55.9,59.3,8.8,7.1,,.568,16.2,26.9,.102,,.629,10.4,78.8,.241

2023-01-08,,Lehigh,L,73,78,104.3,111.4,70.1,.288,.356,.544,54.0,63.0,5.7,13.2,,.525,14.1,25.0,.186,,.560,12.0,83.9,.224

