Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,Southern Utah,W,89,81,112.7,102.5,78.6,.600,.317,.577,45.9,58.6,11.4,8.8,,.542,13.5,28.9,.400,,.553,21.7,63.9,.121

2022-11-11,,South Alabama,W,80,74,106.7,98.7,74.9,.348,.288,.520,50.9,65.5,5.3,2.4,,.485,7.2,23.3,.242,,.566,19.0,81.5,.082

2022-11-15,@,SMU,W,84,63,109.1,81.8,77.0,.424,.288,.593,54.4,67.7,11.7,13.3,,.568,10.1,17.2,.288,,.406,16.1,82.1,.172

2022-11-19,,New Mexico State,,,,,,,,,,,,,,,,,,,,,,,

2022-11-25,,Jacksonville State,W,79,61,108.2,83.6,73.3,.444,.238,.518,58.5,50.0,8.2,5.9,,.468,9.5,30.3,.317,,.466,17.1,87.5,.121

2022-11-26,,North Dakota State,W,76,55,104.1,75.3,73.4,.518,.161,.545,50.0,57.7,12.3,16.0,,.491,13.6,18.8,.375,,.364,14.8,76.3,.203

2022-11-27,,Northern Colorado,W,98,74,130.7,98.7,74.9,.299,.239,.641,63.2,47.2,10.7,24.1,,.590,14.5,48.3,.284,,.596,22.4,78.6,.105

2022-11-30,@,Saint Mary's,W,69,65,98.6,92.9,69.7,.314,.196,.589,50.0,28.0,15.7,6.9,,.539,22.5,16.7,.275,,.511,20.0,76.7,.362

2022-12-03,@,New Mexico State,,,,,,,,,,,,,,,,,,,,,,,

2022-12-06,,Western New Mexico,W,102,63,121.4,75.0,84.3,.400,.271,.612,64.6,60.5,8.3,21.3,,.579,9.8,33.3,.300,,.371,15.0,87.0,.212

2022-12-10,,UTSA,W,94,76,123.7,100.0,75.9,.885,.308,.636,55.4,61.5,9.2,21.1,,.558,9.8,25.9,.692,,.475,16.3,76.3,.295

2022-12-12,N,San Francisco,W,67,64,101.5,97.0,66.4,.316,.193,.511,50.0,40.0,10.6,6.5,,.465,13.2,28.1,.246,,.458,13.1,70.6,.150

2022-12-18,,Iona,W,82,74,106.5,96.1,76.7,.580,.340,.643,46.8,67.9,6.5,6.4,,.610,19.0,13.0,.420,,.430,13.2,66.7,.183

2022-12-20,,Prairie View,W,94,63,110.6,74.1,85.5,.530,.348,.569,68.6,62.5,4.7,26.9,,.545,18.7,48.5,.333,,.317,12.6,81.1,.254

2022-12-28,,Colorado State,W,88,69,127.5,100.0,69.4,.300,.417,.642,54.5,56.7,13.0,2.9,,.625,12.7,29.6,.217,,.536,16.2,78.6,.161

2022-12-31,@,Wyoming,W,76,75,107.0,105.6,71.0,.328,.344,.539,50.7,44.4,12.7,11.1,,.508,13.5,26.5,.230,,.564,16.8,75.8,.236

2023-01-03,@,Fresno State,L,67,71,94.4,100.0,70.9,.193,.175,.538,48.3,22.2,15.5,3.2,,.509,20.5,19.4,.158,,.567,20.1,81.5,.231

2023-01-07,,UNLV,L,77,84,97.5,106.3,78.9,.328,.284,.497,54.1,44.8,10.1,2.9,,.470,17.1,32.4,.209,,.589,16.2,81.5,.321

