Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA

2022-11-07,@,Butler,L,53,89,66.3,111.3,79.9,.157,.314,.484,44.6,57.1,8.8,5.0,,.471,35.4,20.7,.098,,.594,16.9,70.4,.203
2022-11-12,,St. Francis (IL),W,65,63,85.5,82.9,75.6,.419,.290,.437,40.6,68.2,18.4,8.0,,.403,17.7,28.6,.242,,.612,37.1,63.6,.061
2022-11-17,@,LSU,L,62,91,82.7,121.3,75.4,.400,.340,.521,43.1,52.2,4.0,3.3,,.530,27.9,20.7,.180,,.621,16.6,65.5,.328
2022-11-23,,The Citadel,L,65,72,82.3,91.1,78.9,.417,.333,.452,44.9,60.0,15.2,3.0,,.375,17.3,18.9,.333,,.465,20.9,75.0,.333
2022-11-24,,IUPUI,W,87,84,119.2,115.1,72.8,.379,.345,.636,51.0,74.2,11.0,2.3,,.612,18.0,35.7,.276,,.670,20.2,69.6,.161
2022-11-25,,Denver,L,76,77,102.7,104.1,74.0,.217,.250,.574,52.7,66.7,8.1,8.6,,.550,21.4,35.5,.167,,.582,22.3,75.0,.408
2022-12-03,,Louisiana,L,77,78,105.5,106.8,72.8,.345,.236,.601,41.7,63.3,5.5,4.7,,.582,20.0,23.1,.236,,.457,13.9,55.9,.431
2022-12-10,@,Portland,L,61,100,73.5,120.5,82.7,.197,.242,.423,50.0,47.8,8.4,4.0,,.386,23.4,24.4,.152,,.700,15.1,83.9,.267
2022-12-13,@,Boise State,L,50,91,69.4,126.4,71.8,.200,.183,.381,32.3,36.8,9.7,6.5,,.342,13.2,7.7,.150,,.655,14.0,69.2,.345
2022-12-19,,Dillard,W,79,71,101.3,91.0,77.9,.760,.300,.580,52.3,71.4,5.1,4.2,,.480,19.0,21.4,.620,,.456,13.8,75.7,.132
2022-12-21,@,Purdue,L,53,74,100.0,139.6,53.3,.268,.390,.573,40.0,47.4,1.9,3.8,,.537,20.6,25.0,.220,,.611,9.6,55.0,.422
2022-12-30,@,Houston Christian,L�(1 OT),96,101,114.3,120.2,74.6,.359,.266,.641,45.2,57.1,8.3,4.7,,.648,20.2,29.4,.203,,.633,20.2,64.3,.313
2023-01-05,,Lamar,W,81,55,117.4,79.7,69.3,.404,.474,.596,55.1,66.7,7.2,6.1,,.544,11.7,30.0,.333,,.383,13.6,74.4,.094
2023-01-07,,Houston Christian,W,82,59,113.9,81.9,72.2,.219,.297,.580,50.0,60.6,15.3,6.7,,.594,14.5,34.4,.094,,.365,24.8,64.7,.500
2023-01-12,@,Incarnate Word,W�(1 OT),85,79,102.4,95.2,81.3,.509,.273,.622,50.0,33.3,8.4,7.0,,.573,23.5,22.2,.400,,.441,17.3,66.7,.279
2023-01-14,@,Texas A&M-Corpus Christi,L,79,97,105.3,129.3,74.6,.615,.327,.588,42.2,57.7,6.7,4.9,,.577,20.2,30.0,.365,,.646,17.8,52.9,.200
2023-01-19,,Texas A&M-Commerce,L,58,63,85.3,92.6,68.1,.500,.409,.533,58.6,65.0,8.8,0.0,,.511,24.8,13.0,.295,,.491,12.7,88.6,.103
2023-01-21,,Northwestern State,L,65,88,94.2,127.5,69.1,.360,.360,.555,48.4,75.0,2.9,7.0,,.540,21.5,21.4,.220,,.543,5.0,70.6,.171
2023-01-26,@,Southeastern Louisiana,L,87,92,116.0,122.7,75.3,.213,.377,.648,56.4,52.9,5.3,9.8,,.648,21.1,37.0,.131,,.605,12.1,75.0,.274
2023-01-28,,Southeastern Louisiana,L,64,80,88.9,111.1,71.9,.170,.245,.559,51.9,60.0,8.3,2.4,,.547,29.5,35.7,.113,,.554,18.6,69.2,.321


2023-02-02,,Texas A&M-Corpus Christi,L,69,86,94.5,117.8,73.2,.627,.275,.521,39.7,61.9,13.7,12.5,,.451,18.5,27.3,.451,,.536,18.2,53.3,.464
2023-02-04,,Incarnate Word,L,70,78,100.0,111.4,69.6,.345,.241,.519,52.9,52.0,7.1,11.1,,.483,19.2,36.7,.241,,.578,18.1,76.2,.578
2023-02-09,@,Nicholls State,L,59,84,72.0,102.4,81.6,.767,.256,.503,50.9,40.0,11.0,7.7,,.372,30.7,17.9,.628,,.556,18.3,85.2,.222
2023-02-11,,McNeese State,L,78,79,114.7,116.2,68.2,.321,.264,.639,54.9,70.0,10.3,6.5,,.623,20.8,37.5,.226,,.567,17.0,70.4,.385
2023-02-16,@,Texas A&M-Commerce,W,84,78,113.5,105.4,73.6,.509,.309,.615,52.9,58.6,8.1,10.0,,.582,14.9,28.6,.364,,.508,14.6,70.0,.283
2023-02-18,@,Northwestern State,W,68,65,100.0,95.6,68.1,.440,.260,.562,51.8,26.1,7.4,10.0,,.510,20.9,34.5,.340,,.482,19.3,70.4,.196
2023-02-23,,Nicholls State,W,88,82,111.4,103.8,79.3,.467,.333,.600,52.9,60.0,7.6,7.9,,.558,18.8,41.4,.350,,.445,17.7,61.0,.391
2023-02-25,@,Lamar,W,84,79,118.3,111.3,71.1,.483,.350,.569,48.1,46.4,19.7,6.3,,.500,13.0,46.7,.400,,.558,24.0,50.0,.404
2023-03-01,@,McNeese State,L,73,80,100.0,109.6,73.3,.232,.357,.587,34.9,42.3,6.8,2.3,,.554,18.4,11.1,.196,,.485,14.4,52.8,.262
2023-03-05,N,Houston Christian,W,90,69,113.9,87.3,79.2,.375,.172,.597,60.3,47.2,8.9,4.9,,.609,13.7,31.0,.188,,.454,16.8,79.5,.154
2023-03-06,N,Southeastern Louisiana,W,82,78,107.9,102.6,75.9,.400,.185,.530,52.9,51.7,11.8,2.6,,.477,16.2,42.1,.308,,.526,19.7,65.6,.316
2023-03-07,N,Northwestern State,L,70,74,102.9,108.8,68.3,.228,.140,.554,50.0,50.0,8.8,8.3,,.500,18.1,32.1,.228,,.571,22.2,69.2,.367
