Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,@,Arizona,L,75,117,83.3,130.0,89.7,.306,.250,.455,33.8,37.9,18.9,2.9,,.451,16.3,18.2,.139,,.821,25.0,66.7,.566

2022-11-10,@,Wyoming,L,68,79,85.0,98.8,79.8,.076,.379,.497,43.5,32.1,10.0,9.1,,.477,19.9,17.6,.076,,.509,21.9,68.6,.418

2022-11-19,@,BYU,L,73,87,92.4,110.1,78.9,.271,.429,.462,33.3,69.2,17.7,3.4,,.450,12.2,20.0,.143,,.548,20.3,48.6,.306

2022-11-22,,Jarvis Christian,W,97,52,126.0,67.5,77.4,.164,.466,.616,59.2,57.9,22.1,6.1,,.610,14.2,40.0,.110,,.412,29.4,77.8,.196

2022-11-25,N,UC-Irvine,L,56,83,72.7,107.8,76.9,.373,.339,.403,28.6,55.6,13.0,4.1,,.314,13.7,8.3,.322,,.524,19.3,50.0,.270

2022-11-26,N,San Diego,W,72,70,105.9,102.9,68.0,.413,.370,.654,41.5,61.5,7.4,7.3,,.652,22.5,23.8,.261,,.419,14.1,53.1,.290

2022-11-29,,Champion Christian,W,115,50,133.7,58.1,86.1,.253,.267,.684,74.0,39.1,12.8,24.2,,.667,16.0,44.4,.200,,.359,21.5,91.3,.063

2022-12-07,@,Texas Tech,L,71,78,94.7,104.0,75.5,.274,.371,.507,45.2,50.0,13.3,19.2,,.476,15.6,20.0,.194,,.583,21.0,77.8,.690

2022-12-11,,Rust,W,85,65,107.6,82.3,79.2,.232,.362,.555,65.7,57.6,12.7,10.7,,.543,19.9,44.4,.145,,.480,23.2,90.3,.314

2022-12-15,,Southeastern Louisiana,W,88,73,114.3,94.8,76.5,.564,.418,.631,54.2,53.6,10.4,5.9,,.618,17.7,25.0,.364,,.500,17.2,80.6,.327

2022-12-17,@,Mississippi State,L,66,68,94.3,97.1,70.0,.141,.391,.483,42.6,44.4,10.0,2.9,,.469,14.9,29.7,.094,,.408,21.5,58.1,.571

2022-12-19,,Trinity Baptist,W,90,46,125.0,63.9,72.0,.406,.391,.589,63.6,65.6,16.7,13.3,,.578,11.6,40.6,.250,,.398,26.4,85.3,.143

2022-12-28,@,Baylor,L,56,85,70.0,106.3,80.1,.258,.290,.402,41.3,65.2,11.3,2.9,,.387,22.3,22.5,.129,,.526,19.4,62.9,.414

2023-01-05,@,Texas A&M-Commerce,W,66,63,100.0,95.5,65.9,.241,.315,.548,49.1,42.3,9.1,8.0,,.546,15.5,20.7,.130,,.539,20.6,78.6,.157

2023-01-07,@,Northwestern State,L,48,68,71.6,101.5,66.9,.259,.389,.396,46.2,47.4,6.0,21.2,,.389,22.9,38.7,.111,,.590,22.5,57.1,.180

2023-01-12,@,Lamar,L,66,69,97.1,101.5,68.2,.418,.493,.411,43.2,52.4,13.2,11.9,,.366,4.7,32.6,.254,,.436,19.2,60.7,.596

