Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,@,UCF,W (2 OT),98,95,111.4,108.0,70.2,.394,.439,.625,47.1,38.2,9.1,12.5,,.598,19.5,27.6,.288,,.519,13.7,61.0,.136

2022-11-12,,Brevard,W,94,46,122.1,59.7,77.1,.368,.421,.702,55.6,34.3,13.0,7.5,,.693,15.2,19.2,.263,,.297,19.7,76.1,.072

2022-11-18,N,Texas A&M-Commerce,W,72,64,98.6,87.7,72.9,.254,.424,.544,51.3,48.0,8.2,17.9,,.525,16.4,19.4,.169,,.425,11.0,80.0,.104

2022-11-19,N,Eastern Kentucky,L,75,77,101.4,104.1,74.3,.262,.385,.513,39.7,50.0,16.2,4.7,,.508,11.0,18.4,.138,,.533,17.9,66.7,.197

2022-11-20,@,Georgia State,L,68,74,93.2,101.4,73.3,.250,.438,.475,49.2,33.3,5.5,22.2,,.445,12.3,26.5,.172,,.475,12.6,80.0,.262

2022-11-26,,Western Carolina,W,73,61,97.3,81.3,75.2,.566,.208,.543,54.8,20.0,8.0,7.9,,.519,18.2,19.4,.340,,.450,16.4,89.2,.117

2022-11-29,@,North Carolina Central,L,66,79,100.0,119.7,66.3,.348,.391,.616,48.9,79.2,6.1,12.1,,.620,25.1,30.4,.196,,.618,21.3,68.2,.314

2022-12-03,,UT-Martin,W,90,83,123.3,113.7,73.3,.436,.327,.678,55.4,48.4,8.2,11.9,,.627,19.4,36.0,.382,,.577,14.6,71.0,.123

2022-12-07,,Warren Wilson,W,122,70,135.6,77.8,90.2,.431,.375,.703,69.9,56.8,11.1,10.5,,.694,18.7,46.7,.306,,.428,19.2,86.0,.159

2022-12-10,@,Dayton,L,56,79,81.2,114.5,68.9,.230,.361,.414,35.4,38.1,18.8,4.5,,.385,11.7,23.1,.148,,.603,21.9,53.8,.155

2022-12-13,@,South Carolina State,W,94,84,119.0,106.3,79.1,.528,.415,.709,57.1,66.7,2.5,6.9,,.717,24.1,34.6,.340,,.407,5.2,68.6,.222

2022-12-17,@,ETSU,W,74,73,104.2,102.8,71.3,.358,.358,.597,47.2,37.0,12.7,13.6,,.575,21.5,32.0,.245,,.518,21.8,60.7,.246

2022-12-21,@,Arkansas,L,51,85,71.8,119.7,71.0,.360,.240,.436,43.9,45.0,4.2,8.5,,.420,25.5,23.3,.180,,.575,11.3,66.7,.267

2022-12-29,,Radford,W,62,58,89.9,84.1,69.5,.283,.370,.594,49.1,59.1,10.1,5.3,,.576,26.7,11.5,.196,,.456,18.5,82.8,.105

2022-12-31,@,Winthrop,L,60,62,100.0,103.3,59.5,.132,.415,.533,43.5,66.7,6.7,18.2,,.519,11.1,14.3,.094,,.500,12.7,67.6,.088

2023-01-04,@,High Point,W,76,72,102.7,97.3,73.7,.593,.500,.549,45.8,69.6,6.8,5.3,,.509,14.8,21.6,.389,,.491,15.4,71.4,.304

