Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,Robert Morris,W,91,53,128.2,74.6,71.0,.344,.344,.641,64.7,52.9,8.5,12.8,,.639,15.5,48.1,.213,,.349,12.3,75.6,.143

2022-11-10,,Charleston Southern,W,82,56,120.6,82.4,68.2,.300,.250,.598,63.0,35.5,2.9,4.7,,.550,17.0,46.7,.267,,.377,11.4,74.4,.108

2022-11-16,,Eastern Illinois,W,65,43,86.7,57.3,75.3,.316,.491,.496,61.7,60.9,5.3,13.6,,.474,20.6,28.6,.193,,.281,15.5,87.0,.109

2022-11-21,N,San Diego State,L,77,88,105.5,120.5,72.8,.227,.333,.526,46.0,32.1,5.5,10.0,,.477,9.9,20.0,.212,,.590,9.0,78.6,.262

2022-11-22,N,Cincinnati,W,81,53,130.6,85.5,62.3,.281,.313,.558,58.7,23.3,4.8,5.9,,.516,7.6,48.4,.234,,.423,16.9,68.8,.173

2022-11-23,N,Texas Tech,W,80,73,129.0,117.7,61.9,.346,.385,.661,49.0,55.6,9.7,5.4,,.596,14.2,33.3,.346,,.555,12.8,64.0,.218

2022-11-30,@,Duke,L,72,81,102.9,115.7,70.4,.400,.236,.550,48.4,23.1,5.7,9.5,,.500,19.6,35.5,.309,,.500,15.8,61.3,.473

2022-12-03,,Saint Francis (PA),W,96,59,143.3,88.1,67.4,.257,.329,.611,66.2,57.1,4.5,12.5,,.593,8.2,48.6,.186,,.458,13.8,85.3,.085

2022-12-08,,Rutgers,W,67,66,101.5,100.0,66.1,.214,.339,.543,55.4,53.8,9.1,8.1,,.536,18.5,33.3,.125,,.565,18.4,80.8,.093

2022-12-17,N,UNC,L (1 OT),84,89,101.2,107.2,74.0,.189,.324,.521,45.1,50.0,9.6,6.8,,.520,14.8,27.9,.095,,.486,13.3,64.1,.264

2022-12-21,,Maine,W,95,61,135.7,87.1,70.1,.104,.284,.675,66.1,56.1,8.6,12.8,,.672,7.9,40.9,.075,,.438,15.2,82.4,.078

2022-12-29,,Alabama A&M,W,90,59,123.3,80.8,72.6,.475,.410,.602,58.2,59.4,6.8,15.9,,.598,11.8,37.5,.279,,.435,18.7,77.1,.081

2023-01-01,@,Northwestern,W,73,57,104.3,81.4,70.3,.357,.268,.557,55.3,57.7,7.1,19.4,,.518,15.5,24.1,.268,,.351,8.5,74.5,.149

2023-01-05,,Purdue,L,69,71,111.3,114.5,62.0,.121,.241,.563,44.8,37.9,12.9,14.8,,.552,10.2,31.0,.086,,.543,18.2,58.6,.138

2023-01-08,@,Maryland,L,73,80,107.4,117.6,67.9,.345,.345,.570,40.0,33.3,10.3,7.7,,.518,15.8,21.2,.291,,.510,15.1,59.4,.519

2023-01-12,,Minnesota,L,67,70,98.5,102.9,68.4,.234,.203,.471,50.8,20.8,7.4,9.4,,.422,11.2,26.3,.203,,.565,12.7,85.2,.167

