Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,Winthrop,W,93,68,132.9,97.1,69.9,.217,.633,.703,56.6,72.7,11.4,20.8,,.700,14.3,23.1,.150,,.561,22.3,88.9,.265

2022-11-10,,Loyola (MD),W,90,65,138.5,100.0,65.0,.193,.526,.723,55.6,63.6,6.2,0.0,,.719,11.4,20.8,.140,,.518,12.9,83.3,.125

2022-11-14,,Butler,W,68,62,97.1,88.6,70.0,.085,.407,.554,52.1,66.7,7.1,4.5,,.542,15.2,9.7,.068,,.381,6.4,83.3,.164

2022-11-17,N,Furman,W,73,68,112.3,104.6,65.3,.153,.458,.577,44.1,59.3,4.6,6.7,,.551,11.2,18.8,.136,,.508,12.9,66.7,.047

2022-11-18,N,Virginia Tech,L,59,61,90.8,93.8,64.6,.071,.536,.509,50.0,65.2,9.2,0.0,,.509,19.5,24.2,.036,,.474,12.6,79.3,.103

2022-11-20,N,Colorado State,W,68,56,100.0,82.4,68.4,.309,.509,.539,44.9,30.4,4.4,2.9,,.500,10.0,9.1,.236,,.375,11.6,77.8,.125

2022-11-25,,Lafayette,W,70,57,112.9,91.9,62.2,.107,.482,.595,44.1,63.0,9.7,6.7,,.580,12.0,17.9,.089,,.388,14.2,62.5,.207

2022-11-29,@,Clemson,L (2 OT),94,101,109.3,117.4,68.9,.408,.507,.554,54.3,41.4,5.8,4.8,,.486,9.6,22.2,.352,,.595,11.0,88.2,.413

2022-12-07,,Michigan State,L,58,67,85.3,98.5,68.4,.327,.491,.456,46.5,57.9,5.9,8.7,,.418,12.4,12.8,.218,,.483,10.9,87.5,.150

2022-12-10,@,Illinois,W,74,59,117.5,93.7,63.2,.185,.444,.630,44.6,48.1,14.3,3.4,,.611,13.3,11.1,.148,,.510,16.0,75.9,.115

2022-12-18,,Canisius,W,97,67,136.6,94.4,70.7,.116,.319,.666,49.3,55.0,8.5,7.7,,.674,4.0,20.0,.058,,.451,15.9,73.0,.197

2022-12-22,,Quinnipiac,W,77,68,105.5,93.2,72.6,.250,.426,.506,46.8,60.7,4.1,17.5,,.456,3.8,17.6,.221,,.394,9.3,68.9,.169

2022-12-29,,Delaware State,W,60,46,90.9,69.7,65.6,.150,.600,.467,51.4,63.6,10.6,8.6,,.442,13.5,23.5,.117,,.375,19.2,77.8,.071

2023-01-01,,Iowa,W,83,79,116.9,111.3,71.0,.291,.345,.663,45.8,40.0,7.0,5.3,,.627,12.6,4.2,.255,,.500,8.7,74.3,.254

2023-01-04,@,Michigan,L,69,79,103.0,117.9,66.6,.190,.483,.546,45.3,23.1,3.0,5.1,,.526,10.0,12.1,.138,,.534,4.1,80.6,.293

2023-01-08,,Purdue,L,63,76,100.0,120.6,62.9,.048,.355,.497,40.0,46.2,11.1,2.6,,.484,11.2,22.6,.048,,.625,15.6,62.5,.107

