Date,,Opp,W/L,Tm,Opp,ORtg,DRtg,Pace,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,,eFG%,TOV%,ORB%,FT/FGA,,eFG%,TOV%,DRB%,FT/FGA



2022-11-07,,Carolina,W,76,42,107.0,59.2,70.8,.348,.333,.494,61.1,57.1,9.9,11.5,,.455,11.5,42.1,.242,,.394,28.7,82.4,.106

2022-11-10,@,The Citadel,L,58,70,89.2,107.7,64.7,.246,.410,.426,54.8,40.9,9.2,17.1,,.410,13.9,38.9,.131,,.555,14.2,76.9,.164

2022-11-12,@,East Carolina,L,57,77,78.1,105.5,72.9,.446,.304,.420,47.0,31.6,5.5,18.5,,.375,19.1,33.3,.268,,.518,19.1,66.7,.364

2022-11-16,@,UAB,L,61,92,78.2,117.9,78.3,.393,.328,.421,41.8,52.4,9.0,6.7,,.377,20.8,26.8,.246,,.607,13.0,65.4,.295

2022-11-21,N,Bucknell,L,65,66,103.2,104.8,63.0,.407,.356,.462,44.8,52.2,12.7,7.1,,.432,10.2,39.5,.237,,.574,21.0,55.0,.255

2022-11-22,N,Albany (NY),L,65,68,95.6,100.0,68.3,.400,.200,.497,50.0,16.7,8.8,4.9,,.436,15.5,28.1,.309,,.500,13.9,69.4,.115

2022-11-26,@,Charlotte,L,42,69,75.0,123.2,56.1,.220,.439,.464,47.3,46.7,3.6,6.5,,.463,22.3,11.5,.098,,.571,6.4,79.3,.089

2022-11-29,,VMI,W,72,57,104.3,82.6,69.3,.379,.397,.526,58.8,64.0,8.7,18.4,,.500,16.0,38.2,.241,,.408,14.3,79.4,.133

2022-12-01,@,Wofford,L,63,76,96.9,116.9,65.0,.060,.380,.613,45.2,66.7,9.2,5.6,,.630,23.7,9.5,.000,,.610,16.0,81.0,.300

2022-12-06,,College of Charleston,L,62,67,93.9,101.5,60.5,.309,.291,.491,43.9,39.1,7.6,10.3,,.464,17.1,27.3,.200,,.461,15.4,60.6,.392

2022-12-11,@,South Carolina,L,57,68,100.0,119.3,56.5,.152,.283,.578,48.9,45.8,5.3,6.1,,.576,18.2,21.1,.087,,.564,9.1,67.9,.109

2022-12-15,,Elon,W,69,63,109.5,100.0,63.2,.653,.592,.537,58.3,60.0,4.8,16.1,,.520,14.6,40.0,.367,,.491,12.8,76.7,.164

2022-12-19,,Allen,W,90,70,116.9,90.9,76.9,.492,.328,.598,57.6,65.6,13.0,4.8,,.574,14.7,37.9,.328,,.444,16.2,73.0,.242

2022-12-29,,Campbell,W,82,72,120.6,105.9,68.2,.350,.333,.586,50.8,37.9,5.9,7.1,,.550,9.1,31.3,.267,,.474,11.6,72.4,.316

2022-12-31,@,Radford,L,51,69,83.6,113.1,61.1,.391,.435,.467,38.6,38.9,6.6,0.0,,.435,19.2,20.0,.239,,.558,15.4,59.3,.212

2023-01-04,@,Winthrop,L,72,82,114.3,130.2,62.8,.379,.293,.526,58.6,39.3,7.9,7.4,,.526,17.0,50.0,.190,,.706,14.9,72.7,.196

2023-01-07,,Charleston Southern,L,61,67,96.8,106.3,63.4,.673,.449,.472,50.0,31.3,9.5,8.1,,.357,15.7,37.1,.531,,.510,16.4,65.5,.269

